[ T-Deposit ]
    title = Bragg peak in pouch, ahora con radio 1
     mesh =  r-z            # mesh type is r-z scoring mesh
       x0 =   0.000000      # center x-position of r-z mesh
       y0 =   0.000000      # center y-position of r-z mesh
   r-type =    2            # r-mesh is linear given by rmin, rmax and nr
     rmin =   0.000000      # minimum value of r-mesh points
     rmax =   1.000000      # maximum value of r-mesh points
#    rdel =  1.0000000E-02  # mesh width of r-mesh points
       nr =    100          # number of r-mesh points
#    data = ( r(i), i = 1, nr + 1 )
#           0.00000E+00  1.00000E-02  2.00000E-02  3.00000E-02  4.00000E-02
#           5.00000E-02  6.00000E-02  7.00000E-02  8.00000E-02  9.00000E-02
#           1.00000E-01  1.10000E-01  1.20000E-01  1.30000E-01  1.40000E-01
#           1.50000E-01  1.60000E-01  1.70000E-01  1.80000E-01  1.90000E-01
#           2.00000E-01  2.10000E-01  2.20000E-01  2.30000E-01  2.40000E-01
#           2.50000E-01  2.60000E-01  2.70000E-01  2.80000E-01  2.90000E-01
#           3.00000E-01  3.10000E-01  3.20000E-01  3.30000E-01  3.40000E-01
#           3.50000E-01  3.60000E-01  3.70000E-01  3.80000E-01  3.90000E-01
#           4.00000E-01  4.10000E-01  4.20000E-01  4.30000E-01  4.40000E-01
#           4.50000E-01  4.60000E-01  4.70000E-01  4.80000E-01  4.90000E-01
#           5.00000E-01  5.10000E-01  5.20000E-01  5.30000E-01  5.40000E-01
#           5.50000E-01  5.60000E-01  5.70000E-01  5.80000E-01  5.90000E-01
#           6.00000E-01  6.10000E-01  6.20000E-01  6.30000E-01  6.40000E-01
#           6.50000E-01  6.60000E-01  6.70000E-01  6.80000E-01  6.90000E-01
#           7.00000E-01  7.10000E-01  7.20000E-01  7.30000E-01  7.40000E-01
#           7.50000E-01  7.60000E-01  7.70000E-01  7.80000E-01  7.90000E-01
#           8.00000E-01  8.10000E-01  8.20000E-01  8.30000E-01  8.40000E-01
#           8.50000E-01  8.60000E-01  8.70000E-01  8.80000E-01  8.90000E-01
#           9.00000E-01  9.10000E-01  9.20000E-01  9.30000E-01  9.40000E-01
#           9.50000E-01  9.60000E-01  9.70000E-01  9.80000E-01  9.90000E-01
#           1.00000E+00
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =   98.38000      # minimum value of z-mesh points
     zmax =   98.58000      # maximum value of z-mesh points
#    zdel =  0.2000000      # mesh width of z-mesh points
       nz =      1          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#           9.83800E+01  9.85800E+01
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =     r           # axis of output
     file = bragg_pouch_rcilindJesus.out  # file name of output for the above axis
     part =  proton   
# kf/name :  2212     
   epsout =    1            # (D=0) generate eps file by ANGEL
   mother =  all            # (D=all) number of specific mother
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         106 (  0)           0 (  0)         106 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   iz  =  1
#   z = (   9.8380E+01  -   9.8580E+01  )

x: r [cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(proton  ),hh0l n 
#  r-lower      r-upper        proton    r.err 
   0.0000E+00   1.0000E-02   9.4520E-03  0.1819
   1.0000E-02   2.0000E-02   7.2767E-03  0.1142
   2.0000E-02   3.0000E-02   7.5497E-03  0.0872
   3.0000E-02   4.0000E-02   7.8582E-03  0.0716
   4.0000E-02   5.0000E-02   7.9466E-03  0.0627
   5.0000E-02   6.0000E-02   7.2909E-03  0.0601
   6.0000E-02   7.0000E-02   7.1738E-03  0.0556
   7.0000E-02   8.0000E-02   7.1905E-03  0.0509
   8.0000E-02   9.0000E-02   7.7084E-03  0.0468
   9.0000E-02   1.0000E-01   7.5687E-03  0.0450
   1.0000E-01   1.1000E-01   7.4472E-03  0.0432
   1.1000E-01   1.2000E-01   7.8175E-03  0.0401
   1.2000E-01   1.3000E-01   7.4913E-03  0.0394
   1.3000E-01   1.4000E-01   7.3691E-03  0.0378
   1.4000E-01   1.5000E-01   7.8851E-03  0.0356
   1.5000E-01   1.6000E-01   7.6863E-03  0.0345
   1.6000E-01   1.7000E-01   7.4495E-03  0.0339
   1.7000E-01   1.8000E-01   7.5254E-03  0.0331
   1.8000E-01   1.9000E-01   7.0345E-03  0.0331
   1.9000E-01   2.0000E-01   7.6177E-03  0.0312
   2.0000E-01   2.1000E-01   7.2226E-03  0.0310
   2.1000E-01   2.2000E-01   7.0917E-03  0.0307
   2.2000E-01   2.3000E-01   7.4002E-03  0.0295
   2.3000E-01   2.4000E-01   7.5586E-03  0.0286
   2.4000E-01   2.5000E-01   7.1313E-03  0.0286
   2.5000E-01   2.6000E-01   6.9611E-03  0.0284
   2.6000E-01   2.7000E-01   7.1022E-03  0.0276
   2.7000E-01   2.8000E-01   6.9672E-03  0.0272
   2.8000E-01   2.9000E-01   7.2742E-03  0.0262
   2.9000E-01   3.0000E-01   7.1689E-03  0.0261
   3.0000E-01   3.1000E-01   7.2874E-03  0.0254
   3.1000E-01   3.2000E-01   7.5742E-03  0.0245
   3.2000E-01   3.3000E-01   7.4414E-03  0.0244
   3.3000E-01   3.4000E-01   7.5405E-03  0.0240
   3.4000E-01   3.5000E-01   7.1757E-03  0.0240
   3.5000E-01   3.6000E-01   7.3184E-03  0.0235
   3.6000E-01   3.7000E-01   7.6885E-03  0.0227
   3.7000E-01   3.8000E-01   7.4517E-03  0.0226
   3.8000E-01   3.9000E-01   7.2025E-03  0.0227
   3.9000E-01   4.0000E-01   7.5470E-03  0.0220
   4.0000E-01   4.1000E-01   7.2517E-03  0.0220
   4.1000E-01   4.2000E-01   7.5420E-03  0.0215
   4.2000E-01   4.3000E-01   7.3810E-03  0.0215
   4.3000E-01   4.4000E-01   6.9565E-03  0.0217
   4.4000E-01   4.5000E-01   7.2515E-03  0.0211
   4.5000E-01   4.6000E-01   7.2748E-03  0.0209
   4.6000E-01   4.7000E-01   7.4297E-03  0.0204
   4.7000E-01   4.8000E-01   7.3714E-03  0.0202
   4.8000E-01   4.9000E-01   7.3933E-03  0.0200
   4.9000E-01   5.0000E-01   7.5655E-03  0.0196
   5.0000E-01   5.1000E-01   7.3895E-03  0.0195
   5.1000E-01   5.2000E-01   7.5377E-03  0.0192
   5.2000E-01   5.3000E-01   7.3658E-03  0.0193
   5.3000E-01   5.4000E-01   7.3470E-03  0.0191
   5.4000E-01   5.5000E-01   7.2449E-03  0.0191
   5.5000E-01   5.6000E-01   7.2578E-03  0.0188
