[ T-Track ]
    title = Espectro de energia justo antes del pouch
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin =  -6.000000      # minimum value of x-mesh points
     xmax =   6.000000      # maximum value of x-mesh points
#    xdel =   12.00000      # mesh width of x-mesh points
       nx =      1          # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -6.00000E+00  6.00000E+00
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =  -6.000000      # minimum value of y-mesh points
     ymax =   6.000000      # maximum value of y-mesh points
#    ydel =   12.00000      # mesh width of y-mesh points
       ny =      1          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
#          -6.00000E+00  6.00000E+00
   z-type =    1            # z-mesh is given by the below data
       nz =      1          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
            6.03700E+01  6.03900E+01
   e-type =    3            # e-mesh is log given by emin, emax and ne
     emin =  1.0000000E-02  # minimum value of e-mesh points
     emax =   25.00000      # maximum value of e-mesh points
#    edel =  7.8240460E-02  # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-02  1.08138E-02  1.16939E-02  1.26456E-02  1.36747E-02
#           1.47876E-02  1.59910E-02  1.72924E-02  1.86997E-02  2.02216E-02
#           2.18672E-02  2.36469E-02  2.55713E-02  2.76524E-02  2.99028E-02
#           3.23364E-02  3.49680E-02  3.78138E-02  4.08911E-02  4.42190E-02
#           4.78176E-02  5.17092E-02  5.59174E-02  6.04681E-02  6.53891E-02
#           7.07107E-02  7.64653E-02  8.26883E-02  8.94176E-02  9.66947E-02
#           1.04564E-01  1.13074E-01  1.22276E-01  1.32227E-01  1.42988E-01
#           1.54625E-01  1.67209E-01  1.80816E-01  1.95532E-01  2.11445E-01
#           2.28653E-01  2.47261E-01  2.67384E-01  2.89144E-01  3.12675E-01
#           3.38122E-01  3.65639E-01  3.95396E-01  4.27574E-01  4.62371E-01
#           5.00000E-01  5.40691E-01  5.84694E-01  6.32278E-01  6.83735E-01
#           7.39379E-01  7.99551E-01  8.64621E-01  9.34986E-01  1.01108E+00
#           1.09336E+00  1.18234E+00  1.27856E+00  1.38262E+00  1.49514E+00
#           1.61682E+00  1.74840E+00  1.89069E+00  2.04456E+00  2.21095E+00
#           2.39088E+00  2.58546E+00  2.79587E+00  3.02340E+00  3.26946E+00
#           3.53553E+00  3.82327E+00  4.13441E+00  4.47088E+00  4.83473E+00
#           5.22820E+00  5.65368E+00  6.11379E+00  6.61135E+00  7.14940E+00
#           7.73124E+00  8.36043E+00  9.04082E+00  9.77659E+00  1.05722E+01
#           1.14326E+01  1.23630E+01  1.33692E+01  1.44572E+01  1.56338E+01
#           1.69061E+01  1.82819E+01  1.97698E+01  2.13787E+01  2.31186E+01
#           2.50000E+01
     unit =    1            # unit is [1/cm^2/source]
 material =  all            # (D=all) number of specific material
     axis =     eng            # axis of output
     file = espectro_antes_pouch_M0.out  # file name of output for the above axis
     part =  proton     neutron    alpha      photon     positron 
# kf/name :  2212       2112       2000004    22         -11      
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         111 (  0)           0 (  0)         111 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ix  =  1   iy  =  1   iz  =  1
#   x = (  -6.0000E+00  -   6.0000E+00  )
#   y = (  -6.0000E+00  -   6.0000E+00  )
#   z = (   6.0370E+01  -   6.0390E+01  )

x: Energy [MeV]
y: Flux [1/cm^2/source]              
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(proton  ),hh0l n y(neutron ),hh0dr n y(alpha   ),hh0ub n y(photon  ),hh0mg n y(positron),hh0qrr n 
#  e-lower      e-upper        proton    r.err      neutron   r.err      alpha     r.err      photon    r.err      positron  r.err 
   1.0000E-02   1.0814E-02   5.2424E-01  0.0866   5.6488E-01  0.6636   1.0124E-02  0.6907   4.6584E-02  1.0000   0.0000E+00  0.0000
   1.0814E-02   1.1694E-02   5.2917E-01  0.0871   5.0801E-01  0.3492   4.7060E-03  0.6643   1.7919E-01  0.5001   0.0000E+00  0.0000
   1.1694E-02   1.2646E-02   5.4680E-01  0.0922   2.0539E-01  0.5101   2.3177E-04  0.1559   4.5017E-02  1.0000   0.0000E+00  0.0000
   1.2646E-02   1.3675E-02   5.8245E-01  0.0837   4.7626E-01  0.5063   3.3672E-04  0.2277   2.0354E-01  0.6222   0.0000E+00  0.0000
   1.3675E-02   1.4788E-02   5.8323E-01  0.0835   1.7800E-01  0.5986   4.1673E-04  0.2348   2.2438E-01  0.6199   0.0000E+00  0.0000
   1.4788E-02   1.5991E-02   6.5147E-01  0.0879   5.4622E-02  1.0000   3.9970E-04  0.2323   2.4222E-01  0.5990   0.0000E+00  0.0000
   1.5991E-02   1.7292E-02   6.6110E-01  0.0855   7.0490E-01  0.3001   4.3146E-04  0.2391   6.1938E-02  1.0000   0.0000E+00  0.0000
   1.7292E-02   1.8700E-02   6.9719E-01  0.0863   7.3159E-01  0.5628   3.9741E-04  0.2160   1.9280E-01  0.7565   0.0000E+00  0.0000
   1.8700E-02   2.0222E-02   7.4110E-01  0.0842   4.8816E-01  0.5348   4.9025E-04  0.2432   9.9743E-01  0.4398   0.0000E+00  0.0000
   2.0222E-02   2.1867E-02   8.0604E-01  0.0818   4.1277E-01  0.5040   5.2702E-04  0.2368   4.2510E-01  0.6312   0.0000E+00  0.0000
   2.1867E-02   2.3647E-02   8.2944E-01  0.0797   5.8481E-01  0.4379   7.3012E-04  0.2532   1.4097E-01  0.7462   0.0000E+00  0.0000
   2.3647E-02   2.5571E-02   8.2885E-01  0.0801   1.2547E+00  0.2751   4.4211E-04  0.1455   2.3167E-01  0.5150   0.0000E+00  0.0000
   2.5571E-02   2.7652E-02   8.9542E-01  0.0795   1.5279E+00  0.3214   5.5526E-04  0.2084   7.4301E-01  0.4094   0.0000E+00  0.0000
   2.7652E-02   2.9903E-02   9.7268E-01  0.0793   2.0952E-01  0.5775   6.8848E-04  0.2306   1.7124E+00  0.3833   0.0000E+00  0.0000
   2.9903E-02   3.2336E-02   9.3467E-01  0.0807   4.1045E-01  0.4381   6.2874E-04  0.2073   1.6501E+00  0.2696   0.0000E+00  0.0000
   3.2336E-02   3.4968E-02   9.2943E-01  0.0835   9.4608E-01  0.4780   7.1161E-03  0.8908   1.4450E+00  0.2178   0.0000E+00  0.0000
   3.4968E-02   3.7814E-02   1.0054E+00  0.0824   6.8684E-01  0.3465   9.3688E-03  0.9243   2.0455E+00  0.2193   0.0000E+00  0.0000
   3.7814E-02   4.0891E-02   1.0173E+00  0.0832   7.1487E-01  0.3134   9.7054E-03  0.9228   3.3689E+00  0.1177   0.0000E+00  0.0000
   4.0891E-02   4.4219E-02   1.1150E+00  0.0843   9.9856E-01  0.2956   1.0056E-02  0.9212   5.2884E+00  0.1121   0.0000E+00  0.0000
   4.4219E-02   4.7818E-02   1.2338E+00  0.0819   6.1151E-01  0.3278   1.0277E-02  0.9325   7.5889E+00  0.1257   0.0000E+00  0.0000
   4.7818E-02   5.1709E-02   1.3386E+00  0.0800   6.0395E-01  0.3113   1.0640E-02  0.9320   1.0168E+01  0.0849   0.0000E+00  0.0000
   5.1709E-02   5.5917E-02   1.4214E+00  0.0803   9.3286E-01  0.3643   1.0610E-02  0.7744   1.2056E+01  0.0835   0.0000E+00  0.0000
   5.5917E-02   6.0468E-02   1.4825E+00  0.0812   1.0571E+00  0.2597   1.1583E-02  0.9171   1.3921E+01  0.0736   0.0000E+00  0.0000
