[ T-Track ]
    title = Espectro de energia justo en el medio del pouch
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin =  -6.000000      # minimum value of x-mesh points
     xmax =   6.000000      # maximum value of x-mesh points
#    xdel =   12.00000      # mesh width of x-mesh points
       nx =      1          # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -6.00000E+00  6.00000E+00
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =  -6.000000      # minimum value of y-mesh points
     ymax =   6.000000      # maximum value of y-mesh points
#    ydel =   12.00000      # mesh width of y-mesh points
       ny =      1          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
#          -6.00000E+00  6.00000E+00
   z-type =    1            # z-mesh is given by the below data
       nz =      1          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
            9.82050E+01  9.82250E+01
   e-type =    3            # e-mesh is log given by emin, emax and ne
     emin =  1.0000000E-02  # minimum value of e-mesh points
     emax =   25.00000      # maximum value of e-mesh points
#    edel =  7.8240460E-02  # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-02  1.08138E-02  1.16939E-02  1.26456E-02  1.36747E-02
#           1.47876E-02  1.59910E-02  1.72924E-02  1.86997E-02  2.02216E-02
#           2.18672E-02  2.36469E-02  2.55713E-02  2.76524E-02  2.99028E-02
#           3.23364E-02  3.49680E-02  3.78138E-02  4.08911E-02  4.42190E-02
#           4.78176E-02  5.17092E-02  5.59174E-02  6.04681E-02  6.53891E-02
#           7.07107E-02  7.64653E-02  8.26883E-02  8.94176E-02  9.66947E-02
#           1.04564E-01  1.13074E-01  1.22276E-01  1.32227E-01  1.42988E-01
#           1.54625E-01  1.67209E-01  1.80816E-01  1.95532E-01  2.11445E-01
#           2.28653E-01  2.47261E-01  2.67384E-01  2.89144E-01  3.12675E-01
#           3.38122E-01  3.65639E-01  3.95396E-01  4.27574E-01  4.62371E-01
#           5.00000E-01  5.40691E-01  5.84694E-01  6.32278E-01  6.83735E-01
#           7.39379E-01  7.99551E-01  8.64621E-01  9.34986E-01  1.01108E+00
#           1.09336E+00  1.18234E+00  1.27856E+00  1.38262E+00  1.49514E+00
#           1.61682E+00  1.74840E+00  1.89069E+00  2.04456E+00  2.21095E+00
#           2.39088E+00  2.58546E+00  2.79587E+00  3.02340E+00  3.26946E+00
#           3.53553E+00  3.82327E+00  4.13441E+00  4.47088E+00  4.83473E+00
#           5.22820E+00  5.65368E+00  6.11379E+00  6.61135E+00  7.14940E+00
#           7.73124E+00  8.36043E+00  9.04082E+00  9.77659E+00  1.05722E+01
#           1.14326E+01  1.23630E+01  1.33692E+01  1.44572E+01  1.56338E+01
#           1.69061E+01  1.82819E+01  1.97698E+01  2.13787E+01  2.31186E+01
#           2.50000E+01
     unit =    1            # unit is [1/cm^2/source]
 material =  all            # (D=all) number of specific material
     axis =     eng            # axis of output
     file = espectro_medio_pouch_M0.out  # file name of output for the above axis
     part =  proton     neutron    alpha      photon     positron 
# kf/name :  2212       2112       2000004    22         -11      
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         111 (  0)           0 (  0)         111 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ix  =  1   iy  =  1   iz  =  1
#   x = (  -6.0000E+00  -   6.0000E+00  )
#   y = (  -6.0000E+00  -   6.0000E+00  )
#   z = (   9.8205E+01  -   9.8225E+01  )

x: Energy [MeV]
y: Flux [1/cm^2/source]              
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(proton  ),hh0l n y(neutron ),hh0dr n y(alpha   ),hh0ub n y(photon  ),hh0mg n y(positron),hh0qrr n 
#  e-lower      e-upper        proton    r.err      neutron   r.err      alpha     r.err      photon    r.err      positron  r.err 
   1.0000E-02   1.0814E-02   5.4275E-01  0.1146   0.0000E+00  0.0000   1.2793E-02  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0814E-02   1.1694E-02   6.1196E-01  0.1216   5.0537E-01  0.6238   1.3308E-02  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.1694E-02   1.2646E-02   5.9917E-01  0.1131   0.0000E+00  0.0000   1.3830E-02  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2646E-02   1.3675E-02   6.0129E-01  0.1138   0.0000E+00  0.0000   1.4358E-02  1.0000   2.3413E-01  1.0000   0.0000E+00  0.0000
   1.3675E-02   1.4788E-02   6.2653E-01  0.1170   0.0000E+00  0.0000   1.4894E-02  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4788E-02   1.5991E-02   6.7317E-01  0.1165   0.0000E+00  0.0000   1.5438E-02  1.0000   1.3234E-01  1.0000   0.0000E+00  0.0000
   1.5991E-02   1.7292E-02   6.5225E-01  0.1116   1.3275E-01  1.0000   1.5992E-02  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.7292E-02   1.8700E-02   7.1168E-01  0.1171   1.3985E-01  1.0000   1.6557E-02  1.0000   2.7792E-01  0.7075   0.0000E+00  0.0000
   1.8700E-02   2.0222E-02   7.6739E-01  0.1101   1.2749E-01  1.0000   1.7134E-02  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.0222E-02   2.1867E-02   7.7993E-01  0.1090   1.8354E-01  1.0000   1.7725E-02  1.0000   1.1508E-01  1.0000   0.0000E+00  0.0000
   2.1867E-02   2.3647E-02   8.2026E-01  0.1162   0.0000E+00  0.0000   1.8332E-02  1.0000   3.3736E+00  1.0000   0.0000E+00  0.0000
   2.3647E-02   2.5571E-02   8.3058E-01  0.1096   1.6128E+00  0.5888   4.3026E-03  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.5571E-02   2.7652E-02   8.2540E-01  0.1067   3.3383E-01  0.7149   0.0000E+00  0.0000   1.3598E-01  1.0000   0.0000E+00  0.0000
   2.7652E-02   2.9903E-02   8.9402E-01  0.1061   8.4486E-01  0.5301   0.0000E+00  0.0000   9.3595E-01  0.5585   0.0000E+00  0.0000
   2.9903E-02   3.2336E-02   9.5141E-01  0.1058   2.4963E-01  1.0000   0.0000E+00  0.0000   1.1225E-01  1.0000   0.0000E+00  0.0000
   3.2336E-02   3.4968E-02   9.6946E-01  0.1071   3.1347E-01  0.7240   0.0000E+00  0.0000   2.6713E-01  0.7159   0.0000E+00  0.0000
   3.4968E-02   3.7814E-02   1.0409E+00  0.1027   1.3224E+00  0.6845   0.0000E+00  0.0000   7.8855E-01  0.3780   0.0000E+00  0.0000
   3.7814E-02   4.0891E-02   1.2230E+00  0.1121   1.2096E-01  1.0000   0.0000E+00  0.0000   1.2445E+00  0.3016   0.0000E+00  0.0000
   4.0891E-02   4.4219E-02   1.2916E+00  0.1065   7.9778E-01  0.6651   0.0000E+00  0.0000   2.2308E+00  0.4107   0.0000E+00  0.0000
   4.4219E-02   4.7818E-02   1.3217E+00  0.1078   1.2071E-01  1.0000   0.0000E+00  0.0000   2.8012E+00  0.2921   0.0000E+00  0.0000
   4.7818E-02   5.1709E-02   1.4284E+00  0.1034   5.1161E-01  0.5071   0.0000E+00  0.0000   2.7697E+00  0.2615   0.0000E+00  0.0000
   5.1709E-02   5.5917E-02   1.5120E+00  0.1061   1.8154E+00  0.4053   0.0000E+00  0.0000   2.9052E+00  0.2022   0.0000E+00  0.0000
   5.5917E-02   6.0468E-02   1.5645E+00  0.1084   8.0564E-01  0.4742   0.0000E+00  0.0000   3.8578E+00  0.1895   0.0000E+00  0.0000
