[ T-Deposit ]
    title = Bragg peak in medium
     mesh =  r-z            # mesh type is r-z scoring mesh
       x0 =   0.000000      # center x-position of r-z mesh
       y0 =   0.000000      # center y-position of r-z mesh
   r-type =    1            # r-mesh is given by the below data
       nr =      4          # number of r-mesh points
#    data = ( r(i), i = 1, nr + 1 )
            0.00000E+00  8.57500E-01  1.21250E+00  1.48519E+00  1.71500E+00
   z-type =    4            # z-mesh is linear given by zmin, zmax and zdel
     zmin =   0.000000      # minimum value of z-mesh points
     zmax =  0.2748528      # maximum value of z-mesh points
     zdel =  1.1000000E-03  # mesh width of z-mesh points
#      nz =  250            # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#           0.00000E+00  1.10000E-03  2.20000E-03  3.30000E-03  4.40000E-03
#           5.50000E-03  6.60000E-03  7.70000E-03  8.80000E-03  9.90000E-03
#           1.10000E-02  1.21000E-02  1.32000E-02  1.43000E-02  1.54000E-02
#           1.65000E-02  1.76000E-02  1.87000E-02  1.98000E-02  2.09000E-02
#           2.20000E-02  2.31000E-02  2.42000E-02  2.53000E-02  2.64000E-02
#           2.75000E-02  2.86000E-02  2.97000E-02  3.08000E-02  3.19000E-02
#           3.30000E-02  3.41000E-02  3.52000E-02  3.63000E-02  3.74000E-02
#           3.85000E-02  3.96000E-02  4.07000E-02  4.18000E-02  4.29000E-02
#           4.40000E-02  4.51000E-02  4.62000E-02  4.73000E-02  4.84000E-02
#           4.95000E-02  5.06000E-02  5.17000E-02  5.28000E-02  5.39000E-02
#           5.50000E-02  5.61000E-02  5.72000E-02  5.83000E-02  5.94000E-02
#           6.05000E-02  6.16000E-02  6.27000E-02  6.38000E-02  6.49000E-02
#           6.60000E-02  6.71000E-02  6.82000E-02  6.93000E-02  7.04000E-02
#           7.15000E-02  7.26000E-02  7.37000E-02  7.48000E-02  7.59000E-02
#           7.70000E-02  7.81000E-02  7.92000E-02  8.03000E-02  8.14000E-02
#           8.25000E-02  8.36000E-02  8.47000E-02  8.58000E-02  8.69000E-02
#           8.80000E-02  8.91000E-02  9.02000E-02  9.13000E-02  9.24000E-02
#           9.35000E-02  9.46000E-02  9.57000E-02  9.68000E-02  9.79000E-02
#           9.90000E-02  1.00100E-01  1.01200E-01  1.02300E-01  1.03400E-01
#           1.04500E-01  1.05600E-01  1.06700E-01  1.07800E-01  1.08900E-01
#           1.10000E-01  1.11100E-01  1.12200E-01  1.13300E-01  1.14400E-01
#           1.15500E-01  1.16600E-01  1.17700E-01  1.18800E-01  1.19900E-01
#           1.21000E-01  1.22100E-01  1.23200E-01  1.24300E-01  1.25400E-01
#           1.26500E-01  1.27600E-01  1.28700E-01  1.29800E-01  1.30900E-01
#           1.32000E-01  1.33100E-01  1.34200E-01  1.35300E-01  1.36400E-01
#           1.37500E-01  1.38600E-01  1.39700E-01  1.40800E-01  1.41900E-01
#           1.43000E-01  1.44100E-01  1.45200E-01  1.46300E-01  1.47400E-01
#           1.48500E-01  1.49600E-01  1.50700E-01  1.51800E-01  1.52900E-01
#           1.54000E-01  1.55100E-01  1.56200E-01  1.57300E-01  1.58400E-01
#           1.59500E-01  1.60600E-01  1.61700E-01  1.62800E-01  1.63900E-01
#           1.65000E-01  1.66100E-01  1.67200E-01  1.68300E-01  1.69400E-01
#           1.70500E-01  1.71600E-01  1.72700E-01  1.73800E-01  1.74900E-01
#           1.76000E-01  1.77100E-01  1.78200E-01  1.79300E-01  1.80400E-01
#           1.81500E-01  1.82600E-01  1.83700E-01  1.84800E-01  1.85900E-01
#           1.87000E-01  1.88100E-01  1.89200E-01  1.90300E-01  1.91400E-01
#           1.92500E-01  1.93600E-01  1.94700E-01  1.95800E-01  1.96900E-01
#           1.98000E-01  1.99100E-01  2.00200E-01  2.01300E-01  2.02400E-01
#           2.03500E-01  2.04600E-01  2.05700E-01  2.06800E-01  2.07900E-01
#           2.09000E-01  2.10100E-01  2.11200E-01  2.12300E-01  2.13400E-01
#           2.14500E-01  2.15600E-01  2.16700E-01  2.17800E-01  2.18900E-01
#           2.20000E-01  2.21100E-01  2.22200E-01  2.23300E-01  2.24400E-01
#           2.25500E-01  2.26600E-01  2.27700E-01  2.28800E-01  2.29900E-01
#           2.31000E-01  2.32100E-01  2.33200E-01  2.34300E-01  2.35400E-01
#           2.36500E-01  2.37600E-01  2.38700E-01  2.39800E-01  2.40900E-01
#           2.42000E-01  2.43100E-01  2.44200E-01  2.45300E-01  2.46400E-01
#           2.47500E-01  2.48600E-01  2.49700E-01  2.50800E-01  2.51900E-01
#           2.53000E-01  2.54100E-01  2.55200E-01  2.56300E-01  2.57400E-01
#           2.58500E-01  2.59600E-01  2.60700E-01  2.61800E-01  2.62900E-01
#           2.64000E-01  2.65100E-01  2.66200E-01  2.67300E-01  2.68400E-01
#           2.69500E-01  2.70600E-01  2.71700E-01  2.72800E-01  2.73900E-01
#           2.75000E-01
     trcl =     62          # transform ID
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =    2            # (D=all) number of specific material
                8    12
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =     z           # axis of output
     file = Bragg_peak_21MeV_dchain.out  # file name of output for the above axis
     part =  all      
# kf/name :  0        
    angel = ylin
   epsout =    2            # (D=0) generate eps file by ANGEL
   stdcut = 1.0000000E-02   # (D=-1) threshold value of STD cutoff
   mother =  all            # (D=all) number of specific mother
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         260 (  0)           0 (  0)         260 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ir  =  1
#   r = (   0.0000E+00  -   8.5750E-01  )

x: z [cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
p: ylin
h: n            x            y1(all     ),hh0l ny2 dy1=[y1*y2] 
#  z-lower      z-upper        all       r.err 
   0.0000E+00   1.1000E-03   0.0000E+00  0.0000
   1.1000E-03   2.2000E-03   0.0000E+00  0.0000
   2.2000E-03   3.3000E-03   0.0000E+00  0.0000
   3.3000E-03   4.4000E-03   0.0000E+00  0.0000
   4.4000E-03   5.5000E-03   0.0000E+00  0.0000
   5.5000E-03   6.6000E-03   0.0000E+00  0.0000
   6.6000E-03   7.7000E-03   0.0000E+00  0.0000
   7.7000E-03   8.8000E-03   0.0000E+00  0.0000
   8.8000E-03   9.9000E-03   0.0000E+00  0.0000
   9.9000E-03   1.1000E-02   0.0000E+00  0.0000
   1.1000E-02   1.2100E-02   0.0000E+00  0.0000
   1.2100E-02   1.3200E-02   0.0000E+00  0.0000
   1.3200E-02   1.4300E-02   0.0000E+00  0.0000
   1.4300E-02   1.5400E-02   0.0000E+00  0.0000
   1.5400E-02   1.6500E-02   0.0000E+00  0.0000
   1.6500E-02   1.7600E-02   0.0000E+00  0.0000
   1.7600E-02   1.8700E-02   0.0000E+00  0.0000
   1.8700E-02   1.9800E-02   0.0000E+00  0.0000
   1.9800E-02   2.0900E-02   0.0000E+00  0.0000
   2.0900E-02   2.2000E-02   0.0000E+00  0.0000
   2.2000E-02   2.3100E-02   0.0000E+00  0.0000
   2.3100E-02   2.4200E-02   0.0000E+00  0.0000
   2.4200E-02   2.5300E-02   0.0000E+00  0.0000
   2.5300E-02   2.6400E-02   0.0000E+00  0.0000
   2.6400E-02   2.7500E-02   0.0000E+00  0.0000
   2.7500E-02   2.8600E-02   0.0000E+00  0.0000
   2.8600E-02   2.9700E-02   0.0000E+00  0.0000
   2.9700E-02   3.0800E-02   0.0000E+00  0.0000
   3.0800E-02   3.1900E-02   0.0000E+00  0.0000
   3.1900E-02   3.3000E-02   0.0000E+00  0.0000
   3.3000E-02   3.4100E-02   0.0000E+00  0.0000
   3.4100E-02   3.5200E-02   0.0000E+00  0.0000
   3.5200E-02   3.6300E-02   0.0000E+00  0.0000
   3.6300E-02   3.7400E-02   0.0000E+00  0.0000
   3.7400E-02   3.8500E-02   0.0000E+00  0.0000
   3.8500E-02   3.9600E-02   0.0000E+00  0.0000
   3.9600E-02   4.0700E-02   0.0000E+00  0.0000
   4.0700E-02   4.1800E-02   0.0000E+00  0.0000
   4.1800E-02   4.2900E-02   0.0000E+00  0.0000
   4.2900E-02   4.4000E-02   0.0000E+00  0.0000
   4.4000E-02   4.5100E-02   0.0000E+00  0.0000
   4.5100E-02   4.6200E-02   0.0000E+00  0.0000
   4.6200E-02   4.7300E-02   0.0000E+00  0.0000
   4.7300E-02   4.8400E-02   0.0000E+00  0.0000
   4.8400E-02   4.9500E-02   0.0000E+00  0.0000
   4.9500E-02   5.0600E-02   0.0000E+00  0.0000
   5.0600E-02   5.1700E-02   0.0000E+00  0.0000
   5.1700E-02   5.2800E-02   0.0000E+00  0.0000
   5.2800E-02   5.3900E-02   0.0000E+00  0.0000
   5.3900E-02   5.5000E-02   0.0000E+00  0.0000
   5.5000E-02   5.6100E-02   0.0000E+00  0.0000
   5.6100E-02   5.7200E-02   0.0000E+00  0.0000
   5.7200E-02   5.8300E-02   0.0000E+00  0.0000
   5.8300E-02   5.9400E-02   0.0000E+00  0.0000
   5.9400E-02   6.0500E-02   0.0000E+00  0.0000
   6.0500E-02   6.1600E-02   0.0000E+00  0.0000
   6.1600E-02   6.2700E-02   0.0000E+00  0.0000
   6.2700E-02   6.3800E-02   0.0000E+00  0.0000
   6.3800E-02   6.4900E-02   0.0000E+00  0.0000
   6.4900E-02   6.6000E-02   0.0000E+00  0.0000
   6.6000E-02   6.7100E-02   0.0000E+00  0.0000
   6.7100E-02   6.8200E-02   0.0000E+00  0.0000
   6.8200E-02   6.9300E-02   0.0000E+00  0.0000
   6.9300E-02   7.0400E-02   0.0000E+00  0.0000
   7.0400E-02   7.1500E-02   0.0000E+00  0.0000
   7.1500E-02   7.2600E-02   0.0000E+00  0.0000
   7.2600E-02   7.3700E-02   0.0000E+00  0.0000
   7.3700E-02   7.4800E-02   0.0000E+00  0.0000
   7.4800E-02   7.5900E-02   0.0000E+00  0.0000
   7.5900E-02   7.7000E-02   0.0000E+00  0.0000
   7.7000E-02   7.8100E-02   0.0000E+00  0.0000
   7.8100E-02   7.9200E-02   0.0000E+00  0.0000
   7.9200E-02   8.0300E-02   0.0000E+00  0.0000
   8.0300E-02   8.1400E-02   0.0000E+00  0.0000
   8.1400E-02   8.2500E-02   0.0000E+00  0.0000
   8.2500E-02   8.3600E-02   0.0000E+00  0.0000
   8.3600E-02   8.4700E-02   0.0000E+00  0.0000
   8.4700E-02   8.5800E-02   0.0000E+00  0.0000
   8.5800E-02   8.6900E-02   0.0000E+00  0.0000
   8.6900E-02   8.8000E-02   0.0000E+00  0.0000
   8.8000E-02   8.9100E-02   0.0000E+00  0.0000
   8.9100E-02   9.0200E-02   0.0000E+00  0.0000
   9.0200E-02   9.1300E-02   0.0000E+00  0.0000
   9.1300E-02   9.2400E-02   0.0000E+00  0.0000
   9.2400E-02   9.3500E-02   0.0000E+00  0.0000
   9.3500E-02   9.4600E-02   0.0000E+00  0.0000
   9.4600E-02   9.5700E-02   0.0000E+00  0.0000
   9.5700E-02   9.6800E-02   0.0000E+00  0.0000
   9.6800E-02   9.7900E-02   0.0000E+00  0.0000
   9.7900E-02   9.9000E-02   0.0000E+00  0.0000
   9.9000E-02   1.0010E-01   0.0000E+00  0.0000
   1.0010E-01   1.0120E-01   0.0000E+00  0.0000
   1.0120E-01   1.0230E-01   0.0000E+00  0.0000
   1.0230E-01   1.0340E-01   0.0000E+00  0.0000
   1.0340E-01   1.0450E-01   0.0000E+00  0.0000
   1.0450E-01   1.0560E-01   0.0000E+00  0.0000
   1.0560E-01   1.0670E-01   0.0000E+00  0.0000
   1.0670E-01   1.0780E-01   0.0000E+00  0.0000
