[ T-Cross ]
    title = Espectro de energia en z = 1.3
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    4            # x-mesh is linear given by xmin, xmax and xdel
     xmin =  -6.670000      # minimum value of x-mesh points
     xmax =   6.670000      # maximum value of x-mesh points
     xdel =  0.1000000      # mesh width of x-mesh points
#      nx =  134            # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -6.67000E+00 -6.57000E+00 -6.47000E+00 -6.37000E+00 -6.27000E+00
#          -6.17000E+00 -6.07000E+00 -5.97000E+00 -5.87000E+00 -5.77000E+00
#          -5.67000E+00 -5.57000E+00 -5.47000E+00 -5.37000E+00 -5.27000E+00
#          -5.17000E+00 -5.07000E+00 -4.97000E+00 -4.87000E+00 -4.77000E+00
#          -4.67000E+00 -4.57000E+00 -4.47000E+00 -4.37000E+00 -4.27000E+00
#          -4.17000E+00 -4.07000E+00 -3.97000E+00 -3.87000E+00 -3.77000E+00
#          -3.67000E+00 -3.57000E+00 -3.47000E+00 -3.37000E+00 -3.27000E+00
#          -3.17000E+00 -3.07000E+00 -2.97000E+00 -2.87000E+00 -2.77000E+00
#          -2.67000E+00 -2.57000E+00 -2.47000E+00 -2.37000E+00 -2.27000E+00
#          -2.17000E+00 -2.07000E+00 -1.97000E+00 -1.87000E+00 -1.77000E+00
#          -1.67000E+00 -1.57000E+00 -1.47000E+00 -1.37000E+00 -1.27000E+00
#          -1.17000E+00 -1.07000E+00 -9.70000E-01 -8.70000E-01 -7.70000E-01
#          -6.70000E-01 -5.70000E-01 -4.70000E-01 -3.70000E-01 -2.70000E-01
#          -1.70000E-01 -7.00000E-02  3.00000E-02  1.30000E-01  2.30000E-01
#           3.30000E-01  4.30000E-01  5.30000E-01  6.30000E-01  7.30000E-01
#           8.30000E-01  9.30000E-01  1.03000E+00  1.13000E+00  1.23000E+00
#           1.33000E+00  1.43000E+00  1.53000E+00  1.63000E+00  1.73000E+00
#           1.83000E+00  1.93000E+00  2.03000E+00  2.13000E+00  2.23000E+00
#           2.33000E+00  2.43000E+00  2.53000E+00  2.63000E+00  2.73000E+00
#           2.83000E+00  2.93000E+00  3.03000E+00  3.13000E+00  3.23000E+00
#           3.33000E+00  3.43000E+00  3.53000E+00  3.63000E+00  3.73000E+00
#           3.83000E+00  3.93000E+00  4.03000E+00  4.13000E+00  4.23000E+00
#           4.33000E+00  4.43000E+00  4.53000E+00  4.63000E+00  4.73000E+00
#           4.83000E+00  4.93000E+00  5.03000E+00  5.13000E+00  5.23000E+00
#           5.33000E+00  5.43000E+00  5.53000E+00  5.63000E+00  5.73000E+00
#           5.83000E+00  5.93000E+00  6.03000E+00  6.13000E+00  6.23000E+00
#           6.33000E+00  6.43000E+00  6.53000E+00  6.63000E+00  6.73000E+00
   y-type =    1            # y-mesh is given by the below data
       ny =      1          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
           -6.67000E+00  6.67000E+00
   z-type =    1            # z-mesh is given by the below data
       nz =      1          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
           -5.00000E+00  1.30000E+00
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =   0.000000      # minimum value of e-mesh points
     emax =   1000.000      # maximum value of e-mesh points
#    edel =   10.00000      # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           0.00000E+00  1.00000E+01  2.00000E+01  3.00000E+01  4.00000E+01
#           5.00000E+01  6.00000E+01  7.00000E+01  8.00000E+01  9.00000E+01
#           1.00000E+02  1.10000E+02  1.20000E+02  1.30000E+02  1.40000E+02
#           1.50000E+02  1.60000E+02  1.70000E+02  1.80000E+02  1.90000E+02
#           2.00000E+02  2.10000E+02  2.20000E+02  2.30000E+02  2.40000E+02
#           2.50000E+02  2.60000E+02  2.70000E+02  2.80000E+02  2.90000E+02
#           3.00000E+02  3.10000E+02  3.20000E+02  3.30000E+02  3.40000E+02
#           3.50000E+02  3.60000E+02  3.70000E+02  3.80000E+02  3.90000E+02
#           4.00000E+02  4.10000E+02  4.20000E+02  4.30000E+02  4.40000E+02
#           4.50000E+02  4.60000E+02  4.70000E+02  4.80000E+02  4.90000E+02
#           5.00000E+02  5.10000E+02  5.20000E+02  5.30000E+02  5.40000E+02
#           5.50000E+02  5.60000E+02  5.70000E+02  5.80000E+02  5.90000E+02
#           6.00000E+02  6.10000E+02  6.20000E+02  6.30000E+02  6.40000E+02
#           6.50000E+02  6.60000E+02  6.70000E+02  6.80000E+02  6.90000E+02
#           7.00000E+02  7.10000E+02  7.20000E+02  7.30000E+02  7.40000E+02
#           7.50000E+02  7.60000E+02  7.70000E+02  7.80000E+02  7.90000E+02
#           8.00000E+02  8.10000E+02  8.20000E+02  8.30000E+02  8.40000E+02
#           8.50000E+02  8.60000E+02  8.70000E+02  8.80000E+02  8.90000E+02
#           9.00000E+02  9.10000E+02  9.20000E+02  9.30000E+02  9.40000E+02
#           9.50000E+02  9.60000E+02  9.70000E+02  9.80000E+02  9.90000E+02
#           1.00000E+03
  eng2let =    0            # (D=0) Flag to convert energy to LET, 0: not convert, 1: convert
     unit =    1            # unit is [1/cm^2/source]
     axis =  eng            # axis of output
     file = EnergyZ13.out   # file name of output for the above axis
   output = current         # surface crossing current spectrum
     part =  proton   
# kf/name :  2212     
   epsout =    2            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         244 (  0)           0 (  0)         244 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   iz surf =  1   ix  =  1   iy  =  1
#   zmesh =   -5.0000E+00
#   x = (  -6.6700E+00  -  -6.5700E+00  )
#   y = (  -6.6700E+00  -   6.6700E+00  )

x: Energy [MeV]
y: Current [1/cm^2/source]                 
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y1(proton  ),hh0l ny2 dy1=[y1*y2] 
#  e-lower      e-upper        proton    r.err 
   0.0000E+00   1.0000E+01   0.0000E+00  0.0000
   1.0000E+01   2.0000E+01   0.0000E+00  0.0000
   2.0000E+01   3.0000E+01   0.0000E+00  0.0000
   3.0000E+01   4.0000E+01   0.0000E+00  0.0000
   4.0000E+01   5.0000E+01   0.0000E+00  0.0000
   5.0000E+01   6.0000E+01   0.0000E+00  0.0000
   6.0000E+01   7.0000E+01   0.0000E+00  0.0000
   7.0000E+01   8.0000E+01   0.0000E+00  0.0000
   8.0000E+01   9.0000E+01   0.0000E+00  0.0000
   9.0000E+01   1.0000E+02   0.0000E+00  0.0000
   1.0000E+02   1.1000E+02   0.0000E+00  0.0000
   1.1000E+02   1.2000E+02   0.0000E+00  0.0000
   1.2000E+02   1.3000E+02   0.0000E+00  0.0000
   1.3000E+02   1.4000E+02   0.0000E+00  0.0000
   1.4000E+02   1.5000E+02   0.0000E+00  0.0000
   1.5000E+02   1.6000E+02   0.0000E+00  0.0000
   1.6000E+02   1.7000E+02   0.0000E+00  0.0000
   1.7000E+02   1.8000E+02   0.0000E+00  0.0000
   1.8000E+02   1.9000E+02   0.0000E+00  0.0000
   1.9000E+02   2.0000E+02   0.0000E+00  0.0000
   2.0000E+02   2.1000E+02   0.0000E+00  0.0000
   2.1000E+02   2.2000E+02   0.0000E+00  0.0000
   2.2000E+02   2.3000E+02   0.0000E+00  0.0000
   2.3000E+02   2.4000E+02   0.0000E+00  0.0000
   2.4000E+02   2.5000E+02   0.0000E+00  0.0000
   2.5000E+02   2.6000E+02   0.0000E+00  0.0000
   2.6000E+02   2.7000E+02   0.0000E+00  0.0000
   2.7000E+02   2.8000E+02   0.0000E+00  0.0000
   2.8000E+02   2.9000E+02   0.0000E+00  0.0000
   2.9000E+02   3.0000E+02   0.0000E+00  0.0000
   3.0000E+02   3.1000E+02   0.0000E+00  0.0000
   3.1000E+02   3.2000E+02   0.0000E+00  0.0000
   3.2000E+02   3.3000E+02   0.0000E+00  0.0000
   3.3000E+02   3.4000E+02   0.0000E+00  0.0000
   3.4000E+02   3.5000E+02   0.0000E+00  0.0000
   3.5000E+02   3.6000E+02   0.0000E+00  0.0000
   3.6000E+02   3.7000E+02   0.0000E+00  0.0000
   3.7000E+02   3.8000E+02   0.0000E+00  0.0000
   3.8000E+02   3.9000E+02   0.0000E+00  0.0000
   3.9000E+02   4.0000E+02   0.0000E+00  0.0000
   4.0000E+02   4.1000E+02   0.0000E+00  0.0000
   4.1000E+02   4.2000E+02   0.0000E+00  0.0000
   4.2000E+02   4.3000E+02   0.0000E+00  0.0000
   4.3000E+02   4.4000E+02   0.0000E+00  0.0000
   4.4000E+02   4.5000E+02   0.0000E+00  0.0000
   4.5000E+02   4.6000E+02   0.0000E+00  0.0000
   4.6000E+02   4.7000E+02   0.0000E+00  0.0000
   4.7000E+02   4.8000E+02   0.0000E+00  0.0000
   4.8000E+02   4.9000E+02   0.0000E+00  0.0000
   4.9000E+02   5.0000E+02   0.0000E+00  0.0000
   5.0000E+02   5.1000E+02   0.0000E+00  0.0000
   5.1000E+02   5.2000E+02   0.0000E+00  0.0000
   5.2000E+02   5.3000E+02   0.0000E+00  0.0000
   5.3000E+02   5.4000E+02   0.0000E+00  0.0000
   5.4000E+02   5.5000E+02   0.0000E+00  0.0000
   5.5000E+02   5.6000E+02   0.0000E+00  0.0000
   5.6000E+02   5.7000E+02   0.0000E+00  0.0000
   5.7000E+02   5.8000E+02   0.0000E+00  0.0000
   5.8000E+02   5.9000E+02   0.0000E+00  0.0000
   5.9000E+02   6.0000E+02   0.0000E+00  0.0000
   6.0000E+02   6.1000E+02   0.0000E+00  0.0000
   6.1000E+02   6.2000E+02   0.0000E+00  0.0000
   6.2000E+02   6.3000E+02   0.0000E+00  0.0000
   6.3000E+02   6.4000E+02   0.0000E+00  0.0000
   6.4000E+02   6.5000E+02   0.0000E+00  0.0000
   6.5000E+02   6.6000E+02   0.0000E+00  0.0000
   6.6000E+02   6.7000E+02   0.0000E+00  0.0000
   6.7000E+02   6.8000E+02   0.0000E+00  0.0000
   6.8000E+02   6.9000E+02   0.0000E+00  0.0000
   6.9000E+02   7.0000E+02   0.0000E+00  0.0000
   7.0000E+02   7.1000E+02   0.0000E+00  0.0000
   7.1000E+02   7.2000E+02   0.0000E+00  0.0000
   7.2000E+02   7.3000E+02   0.0000E+00  0.0000
   7.3000E+02   7.4000E+02   0.0000E+00  0.0000
   7.4000E+02   7.5000E+02   0.0000E+00  0.0000
   7.5000E+02   7.6000E+02   0.0000E+00  0.0000
   7.6000E+02   7.7000E+02   0.0000E+00  0.0000
   7.7000E+02   7.8000E+02   0.0000E+00  0.0000
   7.8000E+02   7.9000E+02   0.0000E+00  0.0000
   7.9000E+02   8.0000E+02   0.0000E+00  0.0000
   8.0000E+02   8.1000E+02   0.0000E+00  0.0000
   8.1000E+02   8.2000E+02   0.0000E+00  0.0000
   8.2000E+02   8.3000E+02   0.0000E+00  0.0000
   8.3000E+02   8.4000E+02   0.0000E+00  0.0000
   8.4000E+02   8.5000E+02   0.0000E+00  0.0000
   8.5000E+02   8.6000E+02   0.0000E+00  0.0000
   8.6000E+02   8.7000E+02   0.0000E+00  0.0000
   8.7000E+02   8.8000E+02   0.0000E+00  0.0000
   8.8000E+02   8.9000E+02   0.0000E+00  0.0000
   8.9000E+02   9.0000E+02   0.0000E+00  0.0000
   9.0000E+02   9.1000E+02   0.0000E+00  0.0000
   9.1000E+02   9.2000E+02   0.0000E+00  0.0000
   9.2000E+02   9.3000E+02   0.0000E+00  0.0000
   9.3000E+02   9.4000E+02   0.0000E+00  0.0000
   9.4000E+02   9.5000E+02   0.0000E+00  0.0000
   9.5000E+02   9.6000E+02   0.0000E+00  0.0000
   9.6000E+02   9.7000E+02   0.0000E+00  0.0000
   9.7000E+02   9.8000E+02   0.0000E+00  0.0000
