[ T-Track ]
    title = Espectro de energia justo antes del gel
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin =  -6.000000      # minimum value of x-mesh points
     xmax =   6.000000      # maximum value of x-mesh points
#    xdel =   12.00000      # mesh width of x-mesh points
       nx =      1          # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -6.00000E+00  6.00000E+00
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =  -6.000000      # minimum value of y-mesh points
     ymax =   6.000000      # maximum value of y-mesh points
#    ydel =   12.00000      # mesh width of y-mesh points
       ny =      1          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
#          -6.00000E+00  6.00000E+00
   z-type =    1            # z-mesh is given by the below data
       nz =      1          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
            6.04700E+01  6.04900E+01
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =   1.000000      # minimum value of e-mesh points
     emax =   25.00000      # maximum value of e-mesh points
#    edel =  0.2400000      # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E+00  1.24000E+00  1.48000E+00  1.72000E+00  1.96000E+00
#           2.20000E+00  2.44000E+00  2.68000E+00  2.92000E+00  3.16000E+00
#           3.40000E+00  3.64000E+00  3.88000E+00  4.12000E+00  4.36000E+00
#           4.60000E+00  4.84000E+00  5.08000E+00  5.32000E+00  5.56000E+00
#           5.80000E+00  6.04000E+00  6.28000E+00  6.52000E+00  6.76000E+00
#           7.00000E+00  7.24000E+00  7.48000E+00  7.72000E+00  7.96000E+00
#           8.20000E+00  8.44000E+00  8.68000E+00  8.92000E+00  9.16000E+00
#           9.40000E+00  9.64000E+00  9.88000E+00  1.01200E+01  1.03600E+01
#           1.06000E+01  1.08400E+01  1.10800E+01  1.13200E+01  1.15600E+01
#           1.18000E+01  1.20400E+01  1.22800E+01  1.25200E+01  1.27600E+01
#           1.30000E+01  1.32400E+01  1.34800E+01  1.37200E+01  1.39600E+01
#           1.42000E+01  1.44400E+01  1.46800E+01  1.49200E+01  1.51600E+01
#           1.54000E+01  1.56400E+01  1.58800E+01  1.61200E+01  1.63600E+01
#           1.66000E+01  1.68400E+01  1.70800E+01  1.73200E+01  1.75600E+01
#           1.78000E+01  1.80400E+01  1.82800E+01  1.85200E+01  1.87600E+01
#           1.90000E+01  1.92400E+01  1.94800E+01  1.97200E+01  1.99600E+01
#           2.02000E+01  2.04400E+01  2.06800E+01  2.09200E+01  2.11600E+01
#           2.14000E+01  2.16400E+01  2.18800E+01  2.21200E+01  2.23600E+01
#           2.26000E+01  2.28400E+01  2.30800E+01  2.33200E+01  2.35600E+01
#           2.38000E+01  2.40400E+01  2.42800E+01  2.45200E+01  2.47600E+01
#           2.50000E+01
     unit =    1            # unit is [1/cm^2/source]
 material =  all            # (D=all) number of specific material
     axis =     eng            # axis of output
     file = energia_pre_impacto.out  # file name of output for the above axis
     part =  proton     neutron    alpha      photon     positron 
# kf/name :  2212       2112       2000004    22         -11      
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         111 (  0)           0 (  0)         111 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ix  =  1   iy  =  1   iz  =  1
#   x = (  -6.0000E+00  -   6.0000E+00  )
#   y = (  -6.0000E+00  -   6.0000E+00  )
#   z = (   6.0470E+01  -   6.0490E+01  )

x: Energy [MeV]
y: Flux [1/cm^2/source]              
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(proton  ),hh0l n y(neutron ),hh0dr n y(alpha   ),hh0ub n y(photon  ),hh0mg n y(positron),hh0qrr n 
#  e-lower      e-upper        proton    r.err      neutron   r.err      alpha     r.err      photon    r.err      positron  r.err 
   1.0000E+00   1.2400E+00   2.2188E+02  0.1310   5.3165E+01  0.5563   3.1926E-01  0.2773   9.9246E+02  0.3245   0.0000E+00  0.0000
   1.2400E+00   1.4800E+00   2.8862E+02  0.1160   9.3862E+01  0.4209   3.4148E-01  0.2773   4.3136E+02  0.2514   0.0000E+00  0.0000
   1.4800E+00   1.7200E+00   3.4552E+02  0.1057   7.1527E+01  0.3387   3.5572E-01  0.2790   1.8712E+02  0.2637   0.0000E+00  0.0000
   1.7200E+00   1.9600E+00   4.0394E+02  0.0985   7.7124E+01  0.3266   3.6381E-01  0.2887   1.5190E+03  0.4657   0.0000E+00  0.0000
   1.9600E+00   2.2000E+00   4.0927E+02  0.0968   2.0174E+01  0.5140   3.6555E-01  0.2955   6.0177E+02  0.5409   0.0000E+00  0.0000
   2.2000E+00   2.4400E+00   5.1844E+02  0.0876   6.7712E+01  0.6680   3.8089E-01  0.3015   3.8861E+02  0.3523   0.0000E+00  0.0000
   2.4400E+00   2.6800E+00   4.5949E+02  0.0912   1.7765E+01  0.5003   4.0458E-01  0.3015   1.9508E+02  0.5268   0.0000E+00  0.0000
   2.6800E+00   2.9200E+00   6.0278E+02  0.0807   1.3058E+01  0.5774   3.9609E-01  0.3111   2.3151E+02  0.4049   0.0000E+00  0.0000
   2.9200E+00   3.1600E+00   5.7906E+02  0.0832   5.3433E+00  1.0000   1.6155E+01  0.9746   1.7055E+02  0.3076   0.0000E+00  0.0000
   3.1600E+00   3.4000E+00   5.7067E+02  0.0820   2.2779E+01  0.4481   9.4298E+00  0.9574   1.0576E+03  0.8905   0.0000E+00  0.0000
   3.4000E+00   3.6400E+00   5.7841E+02  0.0811   1.3233E+01  0.5774   3.5238E-01  0.3464   1.0113E+03  0.7049   0.0000E+00  0.0000
   3.6400E+00   3.8800E+00   8.3690E+02  0.0686   1.0540E+01  0.6100   2.8315E-01  0.4075   1.1680E+02  0.3760   0.0000E+00  0.0000
   3.8800E+00   4.1200E+00   7.8717E+02  0.0752   1.3072E+01  0.5774   3.1170E-01  0.3833   6.6373E+01  0.4914   0.0000E+00  0.0000
   4.1200E+00   4.3600E+00   7.8241E+02  0.0702   2.3057E+01  0.4501   2.4469E-01  0.4488   5.0040E+01  0.3396   0.0000E+00  0.0000
   4.3600E+00   4.6000E+00   9.1654E+02  0.0654   1.3931E+01  0.5785   2.1169E-01  0.5000   3.3365E+02  0.2624   0.0000E+00  0.0000
   4.6000E+00   4.8400E+00   8.4044E+02  0.0682   8.7772E+00  0.7072   1.9262E-01  0.5141   1.2704E+02  0.4993   0.0000E+00  0.0000
   4.8400E+00   5.0800E+00   8.3502E+02  0.0684   1.3065E+01  0.5774   1.3067E-01  0.6275   4.4925E+01  0.4973   0.0000E+00  0.0000
   5.0800E+00   5.3200E+00   9.9480E+02  0.0625   2.1520E+01  0.5265   1.1703E-01  0.7071   4.5666E+01  0.3190   0.0000E+00  0.0000
   5.3200E+00   5.5600E+00   9.8512E+02  0.0630   1.2477E+01  0.7388   1.2067E-01  0.7071   4.3524E+01  0.3162   0.0000E+00  0.0000
   5.5600E+00   5.8000E+00   1.0108E+03  0.0621   4.3579E+00  1.0000   1.2428E-01  0.7071   8.5809E+01  0.8165   0.0000E+00  0.0000
   5.8000E+00   6.0400E+00   1.0729E+03  0.0604   4.3454E+00  1.0000   1.2786E-01  0.7071   9.0714E+01  0.5261   0.0000E+00  0.0000
   6.0400E+00   6.2800E+00   1.1115E+03  0.0599   4.3463E+00  1.0000   1.3141E-01  0.7071   4.9473E+01  0.3250   0.0000E+00  0.0000
   6.2800E+00   6.5200E+00   1.0637E+03  0.0609   8.7559E+00  0.7071   8.2542E-02  0.8375   1.0576E+02  0.6027   0.0000E+00  0.0000
