[ T-Track ]
    title = Espectro de energía
     mesh =  reg            # mesh type is region-wise
      reg = 600
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
    1      600   1.0000E+00 # 600
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =  1.0000000E-09  # minimum value of e-mesh points
     emax =   25.00000      # maximum value of e-mesh points
#    edel =  0.2500000      # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-09  2.50000E-01  5.00000E-01  7.50000E-01  1.00000E+00
#           1.25000E+00  1.50000E+00  1.75000E+00  2.00000E+00  2.25000E+00
#           2.50000E+00  2.75000E+00  3.00000E+00  3.25000E+00  3.50000E+00
#           3.75000E+00  4.00000E+00  4.25000E+00  4.50000E+00  4.75000E+00
#           5.00000E+00  5.25000E+00  5.50000E+00  5.75000E+00  6.00000E+00
#           6.25000E+00  6.50000E+00  6.75000E+00  7.00000E+00  7.25000E+00
#           7.50000E+00  7.75000E+00  8.00000E+00  8.25000E+00  8.50000E+00
#           8.75000E+00  9.00000E+00  9.25000E+00  9.50000E+00  9.75000E+00
#           1.00000E+01  1.02500E+01  1.05000E+01  1.07500E+01  1.10000E+01
#           1.12500E+01  1.15000E+01  1.17500E+01  1.20000E+01  1.22500E+01
#           1.25000E+01  1.27500E+01  1.30000E+01  1.32500E+01  1.35000E+01
#           1.37500E+01  1.40000E+01  1.42500E+01  1.45000E+01  1.47500E+01
#           1.50000E+01  1.52500E+01  1.55000E+01  1.57500E+01  1.60000E+01
#           1.62500E+01  1.65000E+01  1.67500E+01  1.70000E+01  1.72500E+01
#           1.75000E+01  1.77500E+01  1.80000E+01  1.82500E+01  1.85000E+01
#           1.87500E+01  1.90000E+01  1.92500E+01  1.95000E+01  1.97500E+01
#           2.00000E+01  2.02500E+01  2.05000E+01  2.07500E+01  2.10000E+01
#           2.12500E+01  2.15000E+01  2.17500E+01  2.20000E+01  2.22500E+01
#           2.25000E+01  2.27500E+01  2.30000E+01  2.32500E+01  2.35000E+01
#           2.37500E+01  2.40000E+01  2.42500E+01  2.45000E+01  2.47500E+01
#           2.50000E+01
     unit =    1            # unit is [1/cm^2/source]
 material =  all            # (D=all) number of specific material
     axis =     eng            # axis of output
     file = energy_pouchgel.out  # file name of output for the above axis
     part =  proton     neutron    alpha      photon     positron 
# kf/name :  2212       2112       2000004    22         -11      
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         107 (  0)           0 (  0)         107 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    600

x: Energy [MeV]
y: Flux [1/cm^2/source]              
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(proton  ),hh0l n  y(neutron ),hh0dr n  y(alpha   ),hh0ub n  y(photon  ),hh0mg n  y(positron),hh0qrr n  
#  e-lower      e-upper        proton    r.err      neutron   r.err      alpha     r.err      photon    r.err      positron  r.err 
   1.0000E-09   2.5000E-01   1.7930E+03  0.0121   1.0903E+02  1.0000   9.7872E+00  0.1171   1.2397E+04  0.2775   0.0000E+00  0.0000
   2.5000E-01   5.0000E-01   2.1708E+03  0.0119   1.5170E+02  0.7204   5.3631E+00  0.1189   2.0655E+04  0.2365   0.0000E+00  0.0000
   5.0000E-01   7.5000E-01   3.0920E+03  0.0117   2.9509E+02  0.6497   4.8109E+00  0.1197   1.5428E+04  0.2349   0.0000E+00  0.0000
   7.5000E-01   1.0000E+00   4.0048E+03  0.0116   0.0000E+00  0.0000   4.7185E+00  0.1215   7.1436E+03  0.5149   0.0000E+00  0.0000
   1.0000E+00   1.2500E+00   4.9448E+03  0.0113   0.0000E+00  0.0000   4.9063E+00  0.1223   5.2600E+03  0.3691   0.0000E+00  0.0000
   1.2500E+00   1.5000E+00   5.9168E+03  0.0111   6.2300E+01  1.0000   5.1046E+00  0.1242   1.4663E+03  0.4017   0.0000E+00  0.0000
   1.5000E+00   1.7500E+00   6.9084E+03  0.0109   0.0000E+00  0.0000   5.2787E+00  0.1266   2.9869E+03  0.5739   0.0000E+00  0.0000
   1.7500E+00   2.0000E+00   7.9056E+03  0.0107   0.0000E+00  0.0000   5.3037E+00  0.1303   5.3537E+03  0.5398   0.0000E+00  0.0000
   2.0000E+00   2.2500E+00   8.8583E+03  0.0106   1.2488E+02  0.7071   5.1443E+00  0.1376   3.0436E+03  0.5587   0.0000E+00  0.0000
   2.2500E+00   2.5000E+00   9.7543E+03  0.0105   0.0000E+00  0.0000   4.9604E+00  0.1438   6.1175E+02  0.4107   0.0000E+00  0.0000
   2.5000E+00   2.7500E+00   1.0600E+04  0.0105   6.2428E+01  1.0000   4.6634E+00  0.1535   7.9285E+02  0.6277   0.0000E+00  0.0000
   2.7500E+00   3.0000E+00   1.1384E+04  0.0105   0.0000E+00  0.0000   4.4137E+00  0.1631   8.1508E+02  0.5645   0.0000E+00  0.0000
   3.0000E+00   3.2500E+00   1.2207E+04  0.0104   0.0000E+00  0.0000   4.3084E+00  0.1688   1.2654E+03  0.5965   0.0000E+00  0.0000
   3.2500E+00   3.5000E+00   1.3076E+04  0.0104   0.0000E+00  0.0000   3.7316E+00  0.1843   6.0886E+02  0.6523   0.0000E+00  0.0000
   3.5000E+00   3.7500E+00   1.4140E+04  0.0102   0.0000E+00  0.0000   2.9471E+00  0.2131   1.3236E+03  0.6466   0.0000E+00  0.0000
   3.7500E+00   4.0000E+00   1.5654E+04  0.0099   0.0000E+00  0.0000   2.1816E+00  0.2507   1.8774E+03  0.8375   0.0000E+00  0.0000
   4.0000E+00   4.2500E+00   1.7606E+04  0.0096   0.0000E+00  0.0000   1.7022E+00  0.2850   2.4474E+02  0.7522   0.0000E+00  0.0000
   4.2500E+00   4.5000E+00   1.9774E+04  0.0092   0.0000E+00  0.0000   1.1785E+00  0.3530   6.9228E+02  0.5308   0.0000E+00  0.0000
