[ T-Track ]
    title = Espectro de energía
     mesh =  reg            # mesh type is region-wise
      reg = 510
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
    1      510   1.6080E+00 # 510
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =  1.0000000E-09  # minimum value of e-mesh points
     emax =   25.00000      # maximum value of e-mesh points
#    edel =  0.2500000      # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-09  2.50000E-01  5.00000E-01  7.50000E-01  1.00000E+00
#           1.25000E+00  1.50000E+00  1.75000E+00  2.00000E+00  2.25000E+00
#           2.50000E+00  2.75000E+00  3.00000E+00  3.25000E+00  3.50000E+00
#           3.75000E+00  4.00000E+00  4.25000E+00  4.50000E+00  4.75000E+00
#           5.00000E+00  5.25000E+00  5.50000E+00  5.75000E+00  6.00000E+00
#           6.25000E+00  6.50000E+00  6.75000E+00  7.00000E+00  7.25000E+00
#           7.50000E+00  7.75000E+00  8.00000E+00  8.25000E+00  8.50000E+00
#           8.75000E+00  9.00000E+00  9.25000E+00  9.50000E+00  9.75000E+00
#           1.00000E+01  1.02500E+01  1.05000E+01  1.07500E+01  1.10000E+01
#           1.12500E+01  1.15000E+01  1.17500E+01  1.20000E+01  1.22500E+01
#           1.25000E+01  1.27500E+01  1.30000E+01  1.32500E+01  1.35000E+01
#           1.37500E+01  1.40000E+01  1.42500E+01  1.45000E+01  1.47500E+01
#           1.50000E+01  1.52500E+01  1.55000E+01  1.57500E+01  1.60000E+01
#           1.62500E+01  1.65000E+01  1.67500E+01  1.70000E+01  1.72500E+01
#           1.75000E+01  1.77500E+01  1.80000E+01  1.82500E+01  1.85000E+01
#           1.87500E+01  1.90000E+01  1.92500E+01  1.95000E+01  1.97500E+01
#           2.00000E+01  2.02500E+01  2.05000E+01  2.07500E+01  2.10000E+01
#           2.12500E+01  2.15000E+01  2.17500E+01  2.20000E+01  2.22500E+01
#           2.25000E+01  2.27500E+01  2.30000E+01  2.32500E+01  2.35000E+01
#           2.37500E+01  2.40000E+01  2.42500E+01  2.45000E+01  2.47500E+01
#           2.50000E+01
     unit =    1            # unit is [1/cm^2/source]
 material =  all            # (D=all) number of specific material
     axis =     eng            # axis of output
     file = energy_pouch.out  # file name of output for the above axis
     part =  proton     neutron    alpha      photon     positron 
# kf/name :  2212       2112       2000004    22         -11      
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         107 (  0)           0 (  0)         107 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    510

x: Energy [MeV]
y: Flux [1/cm^2/source]              
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(proton  ),hh0l n  y(neutron ),hh0dr n  y(alpha   ),hh0ub n  y(photon  ),hh0mg n  y(positron),hh0qrr n  
#  e-lower      e-upper        proton    r.err      neutron   r.err      alpha     r.err      photon    r.err      positron  r.err 
   1.0000E-09   2.5000E-01   1.5990E+03  0.0010   7.0675E+01  0.1719   2.6225E+00  0.0173   5.2798E+03  0.0369   0.0000E+00  0.0000
   2.5000E-01   5.0000E-01   1.9475E+03  0.0010   3.7404E+01  0.2018   1.4263E+00  0.0179   8.9056E+03  0.0296   0.0000E+00  0.0000
   5.0000E-01   7.5000E-01   2.7140E+03  0.0010   2.6235E+01  0.2219   1.2154E+00  0.0186   6.4175E+03  0.0367   0.0000E+00  0.0000
   7.5000E-01   1.0000E+00   3.4278E+03  0.0010   1.2660E+01  0.2528   1.1643E+00  0.0192   2.6655E+03  0.0546   0.0000E+00  0.0000
   1.0000E+00   1.2500E+00   4.0871E+03  0.0010   1.9097E+01  0.3027   1.1614E+00  0.0198   1.9230E+03  0.0680   0.0000E+00  0.0000
   1.2500E+00   1.5000E+00   4.7078E+03  0.0010   1.8863E+01  0.2330   1.1799E+00  0.0204   1.4553E+03  0.0794   0.0000E+00  0.0000
   1.5000E+00   1.7500E+00   5.3000E+03  0.0010   2.4114E+01  0.2468   1.1776E+00  0.0211   1.0448E+03  0.0855   0.0000E+00  0.0000
   1.7500E+00   2.0000E+00   5.8717E+03  0.0010   1.4550E+01  0.2641   1.1498E+00  0.0222   7.4930E+02  0.0916   0.0000E+00  0.0000
   2.0000E+00   2.2500E+00   6.4320E+03  0.0010   1.8294E+01  0.2384   1.1115E+00  0.0233   7.6310E+02  0.0957   0.0000E+00  0.0000
   2.2500E+00   2.5000E+00   6.9916E+03  0.0010   1.4380E+01  0.3955   1.0486E+00  0.0248   6.8129E+02  0.1033   0.0000E+00  0.0000
   2.5000E+00   2.7500E+00   7.5802E+03  0.0010   9.2127E+00  0.3603   9.5196E-01  0.0268   4.8742E+02  0.1117   0.0000E+00  0.0000
   2.7500E+00   3.0000E+00   8.2467E+03  0.0010   6.4410E+00  0.3933   8.5301E-01  0.0290   4.2061E+02  0.1211   0.0000E+00  0.0000
   3.0000E+00   3.2500E+00   9.0598E+03  0.0010   1.0003E+01  0.2901   7.4197E-01  0.0320   4.0667E+02  0.1468   0.0000E+00  0.0000
   3.2500E+00   3.5000E+00   1.0067E+04  0.0009   1.4671E+01  0.3730   6.3847E-01  0.0353   3.4058E+02  0.1444   0.0000E+00  0.0000
   3.5000E+00   3.7500E+00   1.1210E+04  0.0009   5.7690E+00  0.3595   5.3546E-01  0.0394   3.4729E+02  0.1773   0.0000E+00  0.0000
   3.7500E+00   4.0000E+00   1.2329E+04  0.0009   7.7250E+00  0.3448   4.3383E-01  0.0445   2.4959E+02  0.1380   0.0000E+00  0.0000
   4.0000E+00   4.2500E+00   1.3280E+04  0.0009   5.7468E+00  0.4137   3.5089E-01  0.0506   2.1267E+02  0.2246   0.0000E+00  0.0000
   4.2500E+00   4.5000E+00   1.4046E+04  0.0009   6.7992E+00  0.3341   2.8905E-01  0.0570   8.1586E+02  0.0814   0.0000E+00  0.0000
   4.5000E+00   4.7500E+00   1.4711E+04  0.0009   5.4093E+00  0.4094   2.4010E-01  0.0636   6.4865E+02  0.0856   0.0000E+00  0.0000
   4.7500E+00   5.0000E+00   1.5409E+04  0.0009   8.0858E+00  0.3398   1.8767E-01  0.0727   1.0748E+02  0.2159   0.0000E+00  0.0000
   5.0000E+00   5.2500E+00   1.6472E+04  0.0009   4.5000E+00  0.3911   1.4250E-01  0.0854   9.9329E+01  0.2091   0.0000E+00  0.0000
   5.2500E+00   5.5000E+00   1.8449E+04  0.0008   4.9484E+00  0.4099   1.1813E-01  0.0961   1.3495E+02  0.2423   0.0000E+00  0.0000
