[ T-Track ]
    title = Espectro de energia
     mesh =  reg            # mesh type is region-wise
      reg = 700
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
    1      700   1.0000E+00 # 700
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =  1.0000000E-09  # minimum value of e-mesh points
     emax =   25.00000      # maximum value of e-mesh points
#    edel =  0.2500000      # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-09  2.50000E-01  5.00000E-01  7.50000E-01  1.00000E+00
#           1.25000E+00  1.50000E+00  1.75000E+00  2.00000E+00  2.25000E+00
#           2.50000E+00  2.75000E+00  3.00000E+00  3.25000E+00  3.50000E+00
#           3.75000E+00  4.00000E+00  4.25000E+00  4.50000E+00  4.75000E+00
#           5.00000E+00  5.25000E+00  5.50000E+00  5.75000E+00  6.00000E+00
#           6.25000E+00  6.50000E+00  6.75000E+00  7.00000E+00  7.25000E+00
#           7.50000E+00  7.75000E+00  8.00000E+00  8.25000E+00  8.50000E+00
#           8.75000E+00  9.00000E+00  9.25000E+00  9.50000E+00  9.75000E+00
#           1.00000E+01  1.02500E+01  1.05000E+01  1.07500E+01  1.10000E+01
#           1.12500E+01  1.15000E+01  1.17500E+01  1.20000E+01  1.22500E+01
#           1.25000E+01  1.27500E+01  1.30000E+01  1.32500E+01  1.35000E+01
#           1.37500E+01  1.40000E+01  1.42500E+01  1.45000E+01  1.47500E+01
#           1.50000E+01  1.52500E+01  1.55000E+01  1.57500E+01  1.60000E+01
#           1.62500E+01  1.65000E+01  1.67500E+01  1.70000E+01  1.72500E+01
#           1.75000E+01  1.77500E+01  1.80000E+01  1.82500E+01  1.85000E+01
#           1.87500E+01  1.90000E+01  1.92500E+01  1.95000E+01  1.97500E+01
#           2.00000E+01  2.02500E+01  2.05000E+01  2.07500E+01  2.10000E+01
#           2.12500E+01  2.15000E+01  2.17500E+01  2.20000E+01  2.22500E+01
#           2.25000E+01  2.27500E+01  2.30000E+01  2.32500E+01  2.35000E+01
#           2.37500E+01  2.40000E+01  2.42500E+01  2.45000E+01  2.47500E+01
#           2.50000E+01
     unit =    1            # unit is [1/cm^2/source]
 material =  all            # (D=all) number of specific material
     axis =     eng            # axis of output
     file = energy_hamster_L.out  # file name of output for the above axis
     part =  proton     neutron    alpha      photon     positron 
# kf/name :  2212       2112       2000004    22         -11      
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         107 (  0)           0 (  0)         107 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    700

x: Energy [MeV]
y: Flux [1/cm^2/source]              
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(proton  ),hh0l n  y(neutron ),hh0dr n  y(alpha   ),hh0ub n  y(photon  ),hh0mg n  y(positron),hh0qrr n  
#  e-lower      e-upper        proton    r.err      neutron   r.err      alpha     r.err      photon    r.err      positron  r.err 
   1.0000E-09   2.5000E-01   2.2439E+00  0.1818   1.0963E+04  0.2945   0.0000E+00  0.0000   5.0906E+04  0.1345   0.0000E+00  0.0000
   2.5000E-01   5.0000E-01   2.5900E+00  0.1796   2.8306E+03  0.4026   0.0000E+00  0.0000   2.7754E+04  0.1473   0.0000E+00  0.0000
   5.0000E-01   7.5000E-01   3.5459E+00  0.1806   3.5409E+03  0.3410   0.0000E+00  0.0000   2.0955E+04  0.1717   0.0000E+00  0.0000
   7.5000E-01   1.0000E+00   4.3955E+00  0.1826   3.6851E+03  0.4076   0.0000E+00  0.0000   1.2627E+04  0.2064   0.0000E+00  0.0000
   1.0000E+00   1.2500E+00   5.2188E+00  0.1826   2.5656E+03  0.4561   0.0000E+00  0.0000   1.0630E+04  0.2458   0.0000E+00  0.0000
   1.2500E+00   1.5000E+00   5.9035E+00  0.1832   2.2712E+03  0.4529   0.0000E+00  0.0000   1.1322E+04  0.2256   0.0000E+00  0.0000
   1.5000E+00   1.7500E+00   6.4595E+00  0.1859   1.8798E+03  0.4652   0.0000E+00  0.0000   2.5172E+03  0.4351   0.0000E+00  0.0000
   1.7500E+00   2.0000E+00   6.8857E+00  0.1892   8.4233E+02  0.6443   0.0000E+00  0.0000   2.6208E+03  0.5173   0.0000E+00  0.0000
   2.0000E+00   2.2500E+00   7.3348E+00  0.1925   2.4123E+03  0.4897   0.0000E+00  0.0000   2.4637E+03  0.4265   0.0000E+00  0.0000
   2.2500E+00   2.5000E+00   7.8424E+00  0.1929   1.8601E+03  0.5213   0.0000E+00  0.0000   6.1820E+03  0.3455   0.0000E+00  0.0000
   2.5000E+00   2.7500E+00   8.2385E+00  0.1961   9.0701E+02  0.7032   0.0000E+00  0.0000   3.8942E+03  0.4674   0.0000E+00  0.0000
   2.7500E+00   3.0000E+00   8.8120E+00  0.1961   9.7876E+02  0.7262   0.0000E+00  0.0000   2.4350E+03  0.4681   0.0000E+00  0.0000
   3.0000E+00   3.2500E+00   9.4660E+00  0.1963   9.3300E+02  0.5995   0.0000E+00  0.0000   3.3860E+03  0.4263   0.0000E+00  0.0000
   3.2500E+00   3.5000E+00   9.9368E+00  0.1961   6.4443E+02  0.8010   0.0000E+00  0.0000   3.1780E+03  0.4178   0.0000E+00  0.0000
   3.5000E+00   3.7500E+00   1.0490E+01  0.1961   8.9688E+02  0.6921   0.0000E+00  0.0000   4.6606E+03  0.3959   0.0000E+00  0.0000
   3.7500E+00   4.0000E+00   1.1072E+01  0.1961   7.1979E+02  0.7249   0.0000E+00  0.0000   3.3014E+03  0.4153   0.0000E+00  0.0000
   4.0000E+00   4.2500E+00   1.1580E+01  0.1961   8.0288E+02  0.7000   0.0000E+00  0.0000   2.5513E+02  0.7273   0.0000E+00  0.0000
   4.2500E+00   4.5000E+00   1.2001E+01  0.1963   3.8881E+02  1.0000   0.0000E+00  0.0000   3.9517E+03  0.4467   0.0000E+00  0.0000
   4.5000E+00   4.7500E+00   1.2165E+01  0.2000   1.3674E+03  0.5767   0.0000E+00  0.0000   4.3434E+03  0.4079   0.0000E+00  0.0000
   4.7500E+00   5.0000E+00   1.2313E+01  0.2020   6.9970E+02  1.0000   0.0000E+00  0.0000   1.4261E+03  0.6303   0.0000E+00  0.0000
   5.0000E+00   5.2500E+00   1.2653E+01  0.2041   9.7337E+02  0.7214   0.0000E+00  0.0000   1.9168E+03  0.5965   0.0000E+00  0.0000
   5.2500E+00   5.5000E+00   1.3135E+01  0.2041   1.1380E+03  0.5285   0.0000E+00  0.0000   2.4998E+03  0.5073   0.0000E+00  0.0000
   5.5000E+00   5.7500E+00   1.3600E+01  0.2041   1.5484E+03  0.6027   0.0000E+00  0.0000   1.7440E+03  0.5780   0.0000E+00  0.0000
   5.7500E+00   6.0000E+00   1.3504E+01  0.2085   1.6704E+03  0.5817   0.0000E+00  0.0000   3.7131E+03  0.4915   0.0000E+00  0.0000
   6.0000E+00   6.2500E+00   1.2841E+01  0.2127   2.8906E+02  1.0000   0.0000E+00  0.0000   3.0226E+03  0.4500   0.0000E+00  0.0000
   6.2500E+00   6.5000E+00   1.0814E+01  0.2387   5.1434E+01  1.0000   0.0000E+00  0.0000   1.1486E+02  1.0000   0.0000E+00  0.0000
   6.5000E+00   6.7500E+00   1.0337E+01  0.2500   2.2838E+03  0.5284   0.0000E+00  0.0000   1.6014E+03  0.6206   0.0000E+00  0.0000
   6.7500E+00   7.0000E+00   1.0648E+01  0.2500   7.2381E+02  1.0000   0.0000E+00  0.0000   3.5886E+02  1.0000   0.0000E+00  0.0000
   7.0000E+00   7.2500E+00   1.0958E+01  0.2500   9.5731E+02  0.7592   0.0000E+00  0.0000   3.3280E+02  1.0000   0.0000E+00  0.0000
   7.2500E+00   7.5000E+00   1.0842E+01  0.2529   1.4776E+03  0.5934   0.0000E+00  0.0000   1.6339E+03  0.7187   0.0000E+00  0.0000
   7.5000E+00   7.7500E+00   9.9020E+00  0.2658   6.1970E+02  1.0000   0.0000E+00  0.0000   5.1112E+02  1.0000   0.0000E+00  0.0000
   7.7500E+00   8.0000E+00   7.1069E+00  0.3115   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.0000E+00   8.2500E+00   4.9813E+00  0.3792   7.1044E+02  1.0000   0.0000E+00  0.0000   4.7699E+02  1.0000   0.0000E+00  0.0000
   8.2500E+00   8.5000E+00   3.5214E+00  0.4565   7.2657E+02  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.5000E+00   8.7500E+00   2.5807E+00  0.5411   1.7327E+02  0.7728   0.0000E+00  0.0000   6.5564E+02  1.0000   0.0000E+00  0.0000
   8.7500E+00   9.0000E+00   2.4546E+00  0.5774   9.0163E+02  0.7152   0.0000E+00  0.0000   1.3470E+03  0.7071   0.0000E+00  0.0000
   9.0000E+00   9.2500E+00   2.5109E+00  0.5774   0.0000E+00  0.0000   0.0000E+00  0.0000   9.6257E+02  0.7275   0.0000E+00  0.0000
   9.2500E+00   9.5000E+00   2.5670E+00  0.5774   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.5000E+00   9.7500E+00   2.6229E+00  0.5774   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.7500E+00   1.0000E+01   2.6786E+00  0.5774   6.0425E+02  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0000E+01   1.0250E+01   2.7344E+00  0.5774   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0250E+01   1.0500E+01   2.7827E+00  0.5774   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0500E+01   1.0750E+01   1.8975E+00  0.7071   6.7008E+02  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0750E+01   1.1000E+01   1.9346E+00  0.7071   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.1000E+01   1.1250E+01   1.9717E+00  0.7071   0.0000E+00  0.0000   0.0000E+00  0.0000   7.1452E+02  1.0000   0.0000E+00  0.0000
   1.1250E+01   1.1500E+01   2.0086E+00  0.7071   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.1500E+01   1.1750E+01   2.0454E+00  0.7071   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.1750E+01   1.2000E+01   2.0822E+00  0.7071   4.3844E+02  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2000E+01   1.2250E+01   2.1188E+00  0.7071   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2250E+01   1.2500E+01   2.1553E+00  0.7071   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2500E+01   1.2750E+01   2.1918E+00  0.7071   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2750E+01   1.3000E+01   2.2281E+00  0.7071   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.3000E+01   1.3250E+01   2.2643E+00  0.7071   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.3250E+01   1.3500E+01   2.0863E+00  0.7108   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.3500E+01   1.3750E+01   1.1683E+00  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.3750E+01   1.4000E+01   1.1862E+00  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4000E+01   1.4250E+01   1.2042E+00  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4250E+01   1.4500E+01   1.0749E+00  1.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4500E+01   1.4750E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4750E+01   1.5000E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5000E+01   1.5250E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
