[ T-Track ]
    title = Track Detection using [T-track] tally
     mesh =  reg            # mesh type is region-wise
      reg = 102 200
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =   0.000000      # minimum value of e-mesh points
     emax =   201.0000      # maximum value of e-mesh points
#    edel =   2.010000      # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           0.00000E+00  2.01000E+00  4.02000E+00  6.03000E+00  8.04000E+00
#           1.00500E+01  1.20600E+01  1.40700E+01  1.60800E+01  1.80900E+01
#           2.01000E+01  2.21100E+01  2.41200E+01  2.61300E+01  2.81400E+01
#           3.01500E+01  3.21600E+01  3.41700E+01  3.61800E+01  3.81900E+01
#           4.02000E+01  4.22100E+01  4.42200E+01  4.62300E+01  4.82400E+01
#           5.02500E+01  5.22600E+01  5.42700E+01  5.62800E+01  5.82900E+01
#           6.03000E+01  6.23100E+01  6.43200E+01  6.63300E+01  6.83400E+01
#           7.03500E+01  7.23600E+01  7.43700E+01  7.63800E+01  7.83900E+01
#           8.04000E+01  8.24100E+01  8.44200E+01  8.64300E+01  8.84400E+01
#           9.04500E+01  9.24600E+01  9.44700E+01  9.64800E+01  9.84900E+01
#           1.00500E+02  1.02510E+02  1.04520E+02  1.06530E+02  1.08540E+02
#           1.10550E+02  1.12560E+02  1.14570E+02  1.16580E+02  1.18590E+02
#           1.20600E+02  1.22610E+02  1.24620E+02  1.26630E+02  1.28640E+02
#           1.30650E+02  1.32660E+02  1.34670E+02  1.36680E+02  1.38690E+02
#           1.40700E+02  1.42710E+02  1.44720E+02  1.46730E+02  1.48740E+02
#           1.50750E+02  1.52760E+02  1.54770E+02  1.56780E+02  1.58790E+02
#           1.60800E+02  1.62810E+02  1.64820E+02  1.66830E+02  1.68840E+02
#           1.70850E+02  1.72860E+02  1.74870E+02  1.76880E+02  1.78890E+02
#           1.80900E+02  1.82910E+02  1.84920E+02  1.86930E+02  1.88940E+02
#           1.90950E+02  1.92960E+02  1.94970E+02  1.96980E+02  1.98990E+02
#           2.01000E+02
     unit =    1            # unit is [1/cm^2/source]
 material =  all            # (D=all) number of specific material
     axis =     eng            # axis of output
     file = reg.out         # file name of output for the above axis
     part =  proton     neutron    photon     electron 
# kf/name :  2212       2112       22         11       
    gshow =    3            # 0: no 1:bnd, 2:bnd+mat, 3:bnd+reg 4:bnd+lat 5:bmp style
    resol =    1            # (D=1) resolution of gshow or rshow
    width = 0.5000000       # (D=0.5) width of lines for gshow or rshow
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         107 (  0)           0 (  0)         107 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    102

x: Energy [MeV]
y: Flux [1/cm^2/source]              
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(proton  ),hh0l n  y(neutron ),hh0dr n  y(photon  ),hh0ub n  y(electron),hh0mg n  
#  e-lower      e-upper        proton    r.err      neutron   r.err      photon    r.err      electron  r.err 
   0.0000E+00   2.0100E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   7.5836E-03  1.0000   0.0000E+00  0.0000
   2.0100E+00   4.0200E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.0200E+00   6.0300E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.0300E+00   8.0400E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.0400E+00   1.0050E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0050E+01   1.2060E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2060E+01   1.4070E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4070E+01   1.6080E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.6080E+01   1.8090E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.8090E+01   2.0100E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.0100E+01   2.2110E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.2110E+01   2.4120E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.4120E+01   2.6130E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.6130E+01   2.8140E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.8140E+01   3.0150E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.0150E+01   3.2160E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.2160E+01   3.4170E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.4170E+01   3.6180E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.6180E+01   3.8190E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.8190E+01   4.0200E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.0200E+01   4.2210E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.2210E+01   4.4220E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
