[ T-Deposit ]
    title = Energy deposition in xyz mesh
     mesh =  r-z            # mesh type is r-z scoring mesh
       x0 =   0.000000      # center x-position of r-z mesh
       y0 =   0.000000      # center y-position of r-z mesh
   r-type =    1            # r-mesh is given by the below data
       nr =      1          # number of r-mesh points
#    data = ( r(i), i = 1, nr + 1 )
            0.00000E+00  1.00000E+01
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =  -20.00000      # minimum value of z-mesh points
     zmax =   80.00000      # maximum value of z-mesh points
#    zdel =  0.5000000      # mesh width of z-mesh points
       nz =    200          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -2.00000E+01 -1.95000E+01 -1.90000E+01 -1.85000E+01 -1.80000E+01
#          -1.75000E+01 -1.70000E+01 -1.65000E+01 -1.60000E+01 -1.55000E+01
#          -1.50000E+01 -1.45000E+01 -1.40000E+01 -1.35000E+01 -1.30000E+01
#          -1.25000E+01 -1.20000E+01 -1.15000E+01 -1.10000E+01 -1.05000E+01
#          -1.00000E+01 -9.50000E+00 -9.00000E+00 -8.50000E+00 -8.00000E+00
#          -7.50000E+00 -7.00000E+00 -6.50000E+00 -6.00000E+00 -5.50000E+00
#          -5.00000E+00 -4.50000E+00 -4.00000E+00 -3.50000E+00 -3.00000E+00
#          -2.50000E+00 -2.00000E+00 -1.50000E+00 -1.00000E+00 -5.00000E-01
#           0.00000E+00  5.00000E-01  1.00000E+00  1.50000E+00  2.00000E+00
#           2.50000E+00  3.00000E+00  3.50000E+00  4.00000E+00  4.50000E+00
#           5.00000E+00  5.50000E+00  6.00000E+00  6.50000E+00  7.00000E+00
#           7.50000E+00  8.00000E+00  8.50000E+00  9.00000E+00  9.50000E+00
#           1.00000E+01  1.05000E+01  1.10000E+01  1.15000E+01  1.20000E+01
#           1.25000E+01  1.30000E+01  1.35000E+01  1.40000E+01  1.45000E+01
#           1.50000E+01  1.55000E+01  1.60000E+01  1.65000E+01  1.70000E+01
#           1.75000E+01  1.80000E+01  1.85000E+01  1.90000E+01  1.95000E+01
#           2.00000E+01  2.05000E+01  2.10000E+01  2.15000E+01  2.20000E+01
#           2.25000E+01  2.30000E+01  2.35000E+01  2.40000E+01  2.45000E+01
#           2.50000E+01  2.55000E+01  2.60000E+01  2.65000E+01  2.70000E+01
#           2.75000E+01  2.80000E+01  2.85000E+01  2.90000E+01  2.95000E+01
#           3.00000E+01  3.05000E+01  3.10000E+01  3.15000E+01  3.20000E+01
#           3.25000E+01  3.30000E+01  3.35000E+01  3.40000E+01  3.45000E+01
#           3.50000E+01  3.55000E+01  3.60000E+01  3.65000E+01  3.70000E+01
#           3.75000E+01  3.80000E+01  3.85000E+01  3.90000E+01  3.95000E+01
#           4.00000E+01  4.05000E+01  4.10000E+01  4.15000E+01  4.20000E+01
#           4.25000E+01  4.30000E+01  4.35000E+01  4.40000E+01  4.45000E+01
#           4.50000E+01  4.55000E+01  4.60000E+01  4.65000E+01  4.70000E+01
#           4.75000E+01  4.80000E+01  4.85000E+01  4.90000E+01  4.95000E+01
#           5.00000E+01  5.05000E+01  5.10000E+01  5.15000E+01  5.20000E+01
#           5.25000E+01  5.30000E+01  5.35000E+01  5.40000E+01  5.45000E+01
#           5.50000E+01  5.55000E+01  5.60000E+01  5.65000E+01  5.70000E+01
#           5.75000E+01  5.80000E+01  5.85000E+01  5.90000E+01  5.95000E+01
#           6.00000E+01  6.05000E+01  6.10000E+01  6.15000E+01  6.20000E+01
#           6.25000E+01  6.30000E+01  6.35000E+01  6.40000E+01  6.45000E+01
#           6.50000E+01  6.55000E+01  6.60000E+01  6.65000E+01  6.70000E+01
#           6.75000E+01  6.80000E+01  6.85000E+01  6.90000E+01  6.95000E+01
#           7.00000E+01  7.05000E+01  7.10000E+01  7.15000E+01  7.20000E+01
#           7.25000E+01  7.30000E+01  7.35000E+01  7.40000E+01  7.45000E+01
#           7.50000E+01  7.55000E+01  7.60000E+01  7.65000E+01  7.70000E+01
#           7.75000E+01  7.80000E+01  7.85000E+01  7.90000E+01  7.95000E+01
#           8.00000E+01
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =     z           # axis of output
     file = deposit.out     # file name of output for the above axis
     part =  all      
# kf/name :  0        
    gshow =    1            # 0: no 1:bnd, 2:bnd+mat, 3:bnd+reg 4:bnd+lat 5:bmp style
    resol =    1            # (D=1) resolution of gshow or rshow
    width = 0.5000000       # (D=0.5) width of lines for gshow or rshow
   epsout =    1            # (D=0) generate eps file by ANGEL
   mother =  all            # (D=all) number of specific mother
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         206 (  0)           0 (  0)         206 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ir  =  1
#   r = (   0.0000E+00  -   1.0000E+01  )

x: z [cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(all     ),hh0l n 
#  z-lower      z-upper        all       r.err 
  -2.0000E+01  -1.9500E+01   0.0000E+00  0.0000
  -1.9500E+01  -1.9000E+01   0.0000E+00  0.0000
  -1.9000E+01  -1.8500E+01   0.0000E+00  0.0000
  -1.8500E+01  -1.8000E+01   0.0000E+00  0.0000
  -1.8000E+01  -1.7500E+01   0.0000E+00  0.0000
  -1.7500E+01  -1.7000E+01   0.0000E+00  0.0000
  -1.7000E+01  -1.6500E+01   0.0000E+00  0.0000
  -1.6500E+01  -1.6000E+01   0.0000E+00  0.0000
  -1.6000E+01  -1.5500E+01   0.0000E+00  0.0000
  -1.5500E+01  -1.5000E+01   0.0000E+00  0.0000
  -1.5000E+01  -1.4500E+01   0.0000E+00  0.0000
  -1.4500E+01  -1.4000E+01   0.0000E+00  0.0000
  -1.4000E+01  -1.3500E+01   0.0000E+00  0.0000
  -1.3500E+01  -1.3000E+01   0.0000E+00  0.0000
  -1.3000E+01  -1.2500E+01   0.0000E+00  0.0000
  -1.2500E+01  -1.2000E+01   0.0000E+00  0.0000
  -1.2000E+01  -1.1500E+01   0.0000E+00  0.0000
  -1.1500E+01  -1.1000E+01   0.0000E+00  0.0000
  -1.1000E+01  -1.0500E+01   0.0000E+00  0.0000
  -1.0500E+01  -1.0000E+01   0.0000E+00  0.0000
  -1.0000E+01  -9.5000E+00   0.0000E+00  0.0000
  -9.5000E+00  -9.0000E+00   0.0000E+00  0.0000
  -9.0000E+00  -8.5000E+00   0.0000E+00  0.0000
  -8.5000E+00  -8.0000E+00   0.0000E+00  0.0000
  -8.0000E+00  -7.5000E+00   0.0000E+00  0.0000
  -7.5000E+00  -7.0000E+00   0.0000E+00  0.0000
  -7.0000E+00  -6.5000E+00   0.0000E+00  0.0000
  -6.5000E+00  -6.0000E+00   0.0000E+00  0.0000
  -6.0000E+00  -5.5000E+00   0.0000E+00  0.0000
  -5.5000E+00  -5.0000E+00   0.0000E+00  0.0000
  -5.0000E+00  -4.5000E+00   0.0000E+00  0.0000
  -4.5000E+00  -4.0000E+00   0.0000E+00  0.0000
  -4.0000E+00  -3.5000E+00   0.0000E+00  0.0000
  -3.5000E+00  -3.0000E+00   0.0000E+00  0.0000
  -3.0000E+00  -2.5000E+00   0.0000E+00  0.0000
  -2.5000E+00  -2.0000E+00   0.0000E+00  0.0000
  -2.0000E+00  -1.5000E+00   0.0000E+00  0.0000
  -1.5000E+00  -1.0000E+00   0.0000E+00  0.0000
  -1.0000E+00  -5.0000E-01   0.0000E+00  0.0000
  -5.0000E-01   0.0000E+00   0.0000E+00  0.0000
   0.0000E+00   5.0000E-01   7.2707E-11  0.0005
   5.0000E-01   1.0000E+00   7.3156E-11  0.0008
   1.0000E+00   1.5000E+00   7.3488E-11  0.0010
   1.5000E+00   2.0000E+00   7.3939E-11  0.0012
   2.0000E+00   2.5000E+00   7.4514E-11  0.0013
   2.5000E+00   3.0000E+00   7.5038E-11  0.0015
   3.0000E+00   3.5000E+00   7.5767E-11  0.0016
   3.5000E+00   4.0000E+00   7.6425E-11  0.0018
   4.0000E+00   4.5000E+00   7.7099E-11  0.0019
   4.5000E+00   5.0000E+00   7.8097E-11  0.0020
   5.0000E+00   5.5000E+00   7.9079E-11  0.0022
   5.5000E+00   6.0000E+00   8.0231E-11  0.0023
   6.0000E+00   6.5000E+00   8.1606E-11  0.0024
   6.5000E+00   7.0000E+00   8.3022E-11  0.0025
   7.0000E+00   7.5000E+00   8.4862E-11  0.0027
   7.5000E+00   8.0000E+00   8.6690E-11  0.0028
   8.0000E+00   8.5000E+00   8.9295E-11  0.0030
   8.5000E+00   9.0000E+00   9.2209E-11  0.0031
   9.0000E+00   9.5000E+00   9.6019E-11  0.0033
   9.5000E+00   1.0000E+01   1.0099E-10  0.0035
   1.0000E+01   1.0500E+01   1.0743E-10  0.0037
   1.0500E+01   1.1000E+01   1.1618E-10  0.0039
   1.1000E+01   1.1500E+01   1.2970E-10  0.0043
   1.1500E+01   1.2000E+01   1.5063E-10  0.0046
   1.2000E+01   1.2500E+01   2.0890E-10  0.0052
   1.2500E+01   1.3000E+01   1.5917E-10  0.0053
   1.3000E+01   1.3500E+01   2.0098E-11  0.0149
   1.3500E+01   1.4000E+01   1.8421E-11  0.0154
   1.4000E+01   1.4500E+01   1.6781E-11  0.0156
   1.4500E+01   1.5000E+01   1.5348E-11  0.0154
   1.5000E+01   1.5500E+01   1.4177E-11  0.0154
   1.5500E+01   1.6000E+01   1.3189E-11  0.0153
   1.6000E+01   1.6500E+01   1.2482E-11  0.0150
   1.6500E+01   1.7000E+01   1.1855E-11  0.0147
   1.7000E+01   1.7500E+01   1.1277E-11  0.0147
   1.7500E+01   1.8000E+01   1.0780E-11  0.0149
   1.8000E+01   1.8500E+01   1.0444E-11  0.0151
   1.8500E+01   1.9000E+01   9.9691E-12  0.0153
   1.9000E+01   1.9500E+01   9.7044E-12  0.0158
   1.9500E+01   2.0000E+01   9.2908E-12  0.0160
   2.0000E+01   2.0500E+01   8.8564E-12  0.0162
   2.0500E+01   2.1000E+01   8.5577E-12  0.0167
   2.1000E+01   2.1500E+01   8.1529E-12  0.0169
