[ T-Track ]
    title = Track Detection in xyz mesh
     mesh =  reg            # mesh type is region-wise
      reg = 1 100
   e-type =    3            # e-mesh is log given by emin, emax and ne
     emin =   1.000000      # minimum value of e-mesh points
     emax =   5000.000      # maximum value of e-mesh points
#    edel =  8.5171932E-02  # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E+00  1.08890E+00  1.18571E+00  1.29113E+00  1.40591E+00
#           1.53091E+00  1.66701E+00  1.81521E+00  1.97659E+00  2.15232E+00
#           2.34367E+00  2.55204E+00  2.77892E+00  3.02598E+00  3.29500E+00
#           3.58794E+00  3.90693E+00  4.25427E+00  4.63249E+00  5.04434E+00
#           5.49280E+00  5.98114E+00  6.51288E+00  7.09191E+00  7.72241E+00
#           8.40896E+00  9.15656E+00  9.97061E+00  1.08570E+01  1.18223E+01
#           1.28733E+01  1.40178E+01  1.52641E+01  1.66211E+01  1.80988E+01
#           1.97079E+01  2.14600E+01  2.33679E+01  2.54454E+01  2.77076E+01
#           3.01709E+01  3.28532E+01  3.57740E+01  3.89545E+01  4.24177E+01
#           4.61888E+01  5.02952E+01  5.47666E+01  5.96356E+01  6.49375E+01
#           7.07107E+01  7.69972E+01  8.38425E+01  9.12965E+01  9.94131E+01
#           1.08251E+02  1.17875E+02  1.28355E+02  1.39766E+02  1.52192E+02
#           1.65723E+02  1.80456E+02  1.96499E+02  2.13969E+02  2.32992E+02
#           2.53706E+02  2.76261E+02  3.00822E+02  3.27567E+02  3.56689E+02
#           3.88400E+02  4.22930E+02  4.60531E+02  5.01474E+02  5.46057E+02
#           5.94604E+02  6.47466E+02  7.05029E+02  7.67709E+02  8.35962E+02
#           9.10282E+02  9.91210E+02  1.07933E+03  1.17529E+03  1.27978E+03
#           1.39356E+03  1.51745E+03  1.65236E+03  1.79926E+03  1.95922E+03
#           2.13340E+03  2.32307E+03  2.52960E+03  2.75450E+03  2.99938E+03
#           3.26604E+03  3.55640E+03  3.87258E+03  4.21687E+03  4.59177E+03
#           5.00000E+03
   t-type =    2            # t-mesh is linear given by tmin, tmax and nt
     tmin =   0.000000      # minimum value of t-mesh points
     tmax =   5.000000      # maximum value of t-mesh points
#    tdel =   5.000000      # mesh width of t-mesh points
       nt =      1          # number of t-mesh points
#    data = ( t(i), i = 1, nt + 1 )
#           0.00000E+00  5.00000E+00
     unit =    1            # unit is [1/cm^2/source]
 material =  all            # (D=all) number of specific material
     axis =     eng            # axis of output
     file = track_eng.out   # file name of output for the above axis
     part =  12C        proton     neutron  
# kf/name :  6000012    2212       2112     
    gshow =    3            # 0: no 1:bnd, 2:bnd+mat, 3:bnd+reg 4:bnd+lat 5:bmp style
    resol =    1            # (D=1) resolution of gshow or rshow
    width = 0.5000000       # (D=0.5) width of lines for gshow or rshow
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         107 (  0)           0 (  0)         107 (  0)

#------------------------------------------------------------------------------
#newpage:
#   12C     
#   no. =  1   reg =      1
#  it =  1
#   t = (   0.0000E+00  -   5.0000E+00  )

x: Energy [MeV]
y: Flux [1/cm^2/source]              
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(reg      1),hh0l n  y(reg    100),hh0dr n  
#  e-lower      e-upper     reg       1  r.err   reg     100  r.err 
   1.0000E+00   1.0889E+00   9.9865E-06  0.0058   0.0000E+00  0.0000
   1.0889E+00   1.1857E+00   1.0427E-05  0.0058   0.0000E+00  0.0000
   1.1857E+00   1.2911E+00   1.0898E-05  0.0059   0.0000E+00  0.0000
   1.2911E+00   1.4059E+00   1.1412E-05  0.0059   0.0000E+00  0.0000
   1.4059E+00   1.5309E+00   1.1984E-05  0.0059   0.0000E+00  0.0000
   1.5309E+00   1.6670E+00   1.2626E-05  0.0059   0.0000E+00  0.0000
   1.6670E+00   1.8152E+00   1.3314E-05  0.0059   0.0000E+00  0.0000
   1.8152E+00   1.9766E+00   1.4084E-05  0.0059   0.0000E+00  0.0000
   1.9766E+00   2.1523E+00   1.4947E-05  0.0059   0.0000E+00  0.0000
   2.1523E+00   2.3437E+00   1.5906E-05  0.0060   0.0000E+00  0.0000
   2.3437E+00   2.5520E+00   1.6977E-05  0.0060   0.0000E+00  0.0000
   2.5520E+00   2.7789E+00   1.8172E-05  0.0060   0.0000E+00  0.0000
   2.7789E+00   3.0260E+00   1.9526E-05  0.0060   0.0000E+00  0.0000
   3.0260E+00   3.2950E+00   2.1029E-05  0.0061   0.0000E+00  0.0000
   3.2950E+00   3.5879E+00   2.2701E-05  0.0061   0.0000E+00  0.0000
   3.5879E+00   3.9069E+00   2.4602E-05  0.0062   0.0000E+00  0.0000
   3.9069E+00   4.2543E+00   2.6695E-05  0.0062   0.0000E+00  0.0000
   4.2543E+00   4.6325E+00   2.9065E-05  0.0062   0.0000E+00  0.0000
   4.6325E+00   5.0443E+00   3.1708E-05  0.0063   0.0000E+00  0.0000
   5.0443E+00   5.4928E+00   3.4541E-05  0.0063   0.0000E+00  0.0000
   5.4928E+00   5.9811E+00   3.7702E-05  0.0064   0.0000E+00  0.0000
   5.9811E+00   6.5129E+00   4.1232E-05  0.0064   0.0000E+00  0.0000
   6.5129E+00   7.0919E+00   4.5265E-05  0.0065   0.0000E+00  0.0000
   7.0919E+00   7.7224E+00   4.9834E-05  0.0065   0.0000E+00  0.0000
   7.7224E+00   8.4090E+00   5.5064E-05  0.0066   0.0000E+00  0.0000
   8.4090E+00   9.1566E+00   6.0964E-05  0.0066   0.0000E+00  0.0000
   9.1566E+00   9.9706E+00   6.7657E-05  0.0067   0.0000E+00  0.0000
   9.9706E+00   1.0857E+01   7.5230E-05  0.0067   0.0000E+00  0.0000
   1.0857E+01   1.1822E+01   8.3673E-05  0.0067   0.0000E+00  0.0000
   1.1822E+01   1.2873E+01   9.3232E-05  0.0068   0.0000E+00  0.0000
   1.2873E+01   1.4018E+01   1.0413E-04  0.0068   0.0000E+00  0.0000
   1.4018E+01   1.5264E+01   1.1655E-04  0.0068   0.0000E+00  0.0000
   1.5264E+01   1.6621E+01   1.3090E-04  0.0069   0.0000E+00  0.0000
   1.6621E+01   1.8099E+01   1.4724E-04  0.0069   0.0000E+00  0.0000
   1.8099E+01   1.9708E+01   1.6596E-04  0.0070   0.0000E+00  0.0000
   1.9708E+01   2.1460E+01   1.8734E-04  0.0070   0.0000E+00  0.0000
   2.1460E+01   2.3368E+01   2.1182E-04  0.0070   0.0000E+00  0.0000
   2.3368E+01   2.5445E+01   2.3996E-04  0.0070   0.0000E+00  0.0000
   2.5445E+01   2.7708E+01   2.7229E-04  0.0070   0.0000E+00  0.0000
   2.7708E+01   3.0171E+01   3.0959E-04  0.0071   0.0000E+00  0.0000
   3.0171E+01   3.2853E+01   3.5285E-04  0.0071   0.0000E+00  0.0000
   3.2853E+01   3.5774E+01   4.0293E-04  0.0071   0.0000E+00  0.0000
   3.5774E+01   3.8954E+01   4.6091E-04  0.0071   0.0000E+00  0.0000
   3.8954E+01   4.2418E+01   5.2842E-04  0.0071   0.0000E+00  0.0000
   4.2418E+01   4.6189E+01   6.0701E-04  0.0071   0.0000E+00  0.0000
   4.6189E+01   5.0295E+01   6.9784E-04  0.0071   0.0000E+00  0.0000
   5.0295E+01   5.4767E+01   8.0397E-04  0.0071   0.0000E+00  0.0000
   5.4767E+01   5.9636E+01   9.2751E-04  0.0071   0.0000E+00  0.0000
   5.9636E+01   6.4937E+01   1.0716E-03  0.0071   0.0000E+00  0.0000
   6.4937E+01   7.0711E+01   1.2393E-03  0.0071   0.0000E+00  0.0000
   7.0711E+01   7.6997E+01   1.4349E-03  0.0072   0.0000E+00  0.0000
   7.6997E+01   8.3843E+01   1.6637E-03  0.0072   0.0000E+00  0.0000
   8.3843E+01   9.1296E+01   1.9312E-03  0.0072   0.0000E+00  0.0000
   9.1296E+01   9.9413E+01   2.2438E-03  0.0072   0.0000E+00  0.0000
   9.9413E+01   1.0825E+02   2.6092E-03  0.0072   0.0000E+00  0.0000
   1.0825E+02   1.1788E+02   3.0362E-03  0.0072   0.0000E+00  0.0000
   1.1788E+02   1.2836E+02   3.5404E-03  0.0072   0.0000E+00  0.0000
   1.2836E+02   1.3977E+02   4.1337E-03  0.0072   0.0000E+00  0.0000
   1.3977E+02   1.5219E+02   4.8291E-03  0.0072   0.0000E+00  0.0000
   1.5219E+02   1.6572E+02   5.6480E-03  0.0071   0.0000E+00  0.0000
   1.6572E+02   1.8046E+02   6.6093E-03  0.0071   0.0000E+00  0.0000
   1.8046E+02   1.9650E+02   7.7346E-03  0.0071   0.0000E+00  0.0000
   1.9650E+02   2.1397E+02   9.0547E-03  0.0071   0.0000E+00  0.0000
   2.1397E+02   2.3299E+02   1.0615E-02  0.0071   0.0000E+00  0.0000
   2.3299E+02   2.5371E+02   1.2445E-02  0.0071   0.0000E+00  0.0000
   2.5371E+02   2.7626E+02   1.4584E-02  0.0071   0.0000E+00  0.0000
   2.7626E+02   3.0082E+02   1.7096E-02  0.0071   0.0000E+00  0.0000
   3.0082E+02   3.2757E+02   2.0032E-02  0.0070   0.0000E+00  0.0000
   3.2757E+02   3.5669E+02   2.3447E-02  0.0070   0.0000E+00  0.0000
   3.5669E+02   3.8840E+02   2.7421E-02  0.0070   0.0000E+00  0.0000
   3.8840E+02   4.2293E+02   3.2058E-02  0.0070   0.0000E+00  0.0000
   4.2293E+02   4.6053E+02   3.7538E-02  0.0069   0.0000E+00  0.0000
   4.6053E+02   5.0147E+02   4.4007E-02  0.0069   0.0000E+00  0.0000
   5.0147E+02   5.4606E+02   5.1542E-02  0.0068   0.0000E+00  0.0000
   5.4606E+02   5.9460E+02   6.0423E-02  0.0068   0.0000E+00  0.0000
   5.9460E+02   6.4747E+02   7.0871E-02  0.0067   0.0000E+00  0.0000
   6.4747E+02   7.0503E+02   8.3087E-02  0.0067   0.0000E+00  0.0000
   7.0503E+02   7.6771E+02   9.7617E-02  0.0066   0.0000E+00  0.0000
   7.6771E+02   8.3596E+02   1.1475E-01  0.0065   0.0000E+00  0.0000
   8.3596E+02   9.1028E+02   1.3506E-01  0.0064   0.0000E+00  0.0000
   9.1028E+02   9.9121E+02   1.5907E-01  0.0063   0.0000E+00  0.0000
   9.9121E+02   1.0793E+03   1.8750E-01  0.0062   0.0000E+00  0.0000
   1.0793E+03   1.1753E+03   2.2088E-01  0.0061   0.0000E+00  0.0000
   1.1753E+03   1.2798E+03   2.6120E-01  0.0059   0.0000E+00  0.0000
   1.2798E+03   1.3936E+03   3.0957E-01  0.0057   0.0000E+00  0.0000
   1.3936E+03   1.5174E+03   3.6670E-01  0.0055   0.0000E+00  0.0000
   1.5174E+03   1.6524E+03   4.3594E-01  0.0053   0.0000E+00  0.0000
   1.6524E+03   1.7993E+03   5.2031E-01  0.0050   0.0000E+00  0.0000
   1.7993E+03   1.9592E+03   6.2310E-01  0.0046   0.0000E+00  0.0000
   1.9592E+03   2.1334E+03   7.4761E-01  0.0043   0.0000E+00  0.0000
   2.1334E+03   2.3231E+03   9.0156E-01  0.0038   0.0000E+00  0.0000
   2.3231E+03   2.5296E+03   1.0926E+00  0.0032   0.0000E+00  0.0000
   2.5296E+03   2.7545E+03   1.3296E+00  0.0025   0.0000E+00  0.0000
   2.7545E+03   2.9994E+03   1.6292E+00  0.0013   0.0000E+00  0.0000
   2.9994E+03   3.2660E+03   4.3806E-03  0.0001   1.0000E+01  0.0000
   3.2660E+03   3.5564E+03   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.5564E+03   3.8726E+03   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.8726E+03   4.2169E+03   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.2169E+03   4.5918E+03   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.5918E+03   5.0000E+03   0.0000E+00  0.0000   0.0000E+00  0.0000

#   sum over                 9.7062E+00  0.0034   1.0000E+01  0.0000

'no. =  1,  part = 12C,  it =  1'
msuc: {\huge Track Detection in xyz mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.35}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.0000E+00 [cm^3]
  part  &=& 12C     
  tmin  &=&   0.0000E+00 [nsec]
  tmax  &=&   5.0000E+00 [nsec]
e:

#------------------------------------------------------------------------------
 newpage:
#   proton  
#   no. =  2   reg =      1
#  it =  1
#   t = (   0.0000E+00  -   5.0000E+00  )

x: Energy [MeV]
y: Flux [1/cm^2/source]              
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(reg      1),hh0l n  y(reg    100),hh0dr n  
#  e-lower      e-upper     reg       1  r.err   reg     100  r.err 
   1.0000E+00   1.0889E+00   9.1548E-04  0.0123   0.0000E+00  0.0000
   1.0889E+00   1.1857E+00   1.0544E-03  0.0123   0.0000E+00  0.0000
   1.1857E+00   1.2911E+00   1.2143E-03  0.0123   5.4065E-04  0.7148
   1.2911E+00   1.4059E+00   1.3980E-03  0.0123   0.0000E+00  0.0000
   1.4059E+00   1.5309E+00   1.6095E-03  0.0123   3.1122E-04  1.0000
   1.5309E+00   1.6670E+00   1.8530E-03  0.0123   0.0000E+00  0.0000
   1.6670E+00   1.8152E+00   2.1335E-03  0.0123   0.0000E+00  0.0000
   1.8152E+00   1.9766E+00   2.4558E-03  0.0123   3.2953E-04  1.0000
   1.9766E+00   2.1523E+00   2.8261E-03  0.0123   0.0000E+00  0.0000
   2.1523E+00   2.3437E+00   3.2497E-03  0.0123   5.6358E-04  0.7636
   2.3437E+00   2.5520E+00   3.7381E-03  0.0123   0.0000E+00  0.0000
   2.5520E+00   2.7789E+00   4.2989E-03  0.0123   3.5512E-04  1.0000
   2.7789E+00   3.0260E+00   4.9425E-03  0.0123   3.7760E-04  1.0000
   3.0260E+00   3.2950E+00   5.6816E-03  0.0123   5.9905E-04  0.7518
   3.2950E+00   3.5879E+00   6.5338E-03  0.0123   3.2341E-04  1.0000
   3.5879E+00   3.9069E+00   7.5100E-03  0.0123   0.0000E+00  0.0000
   3.9069E+00   4.2543E+00   8.6297E-03  0.0123   3.4572E-04  0.8972
   4.2543E+00   4.6325E+00   9.9159E-03  0.0123   0.0000E+00  0.0000
   4.6325E+00   5.0443E+00   1.1381E-02  0.0124   6.6887E-04  0.8593
   5.0443E+00   5.4928E+00   1.3061E-02  0.0124   1.2288E-03  0.7585
   5.4928E+00   5.9811E+00   1.4973E-02  0.0124   3.6630E-03  0.4157
   5.9811E+00   6.5129E+00   1.7160E-02  0.0124   1.1690E-03  0.5277
   6.5129E+00   7.0919E+00   1.9670E-02  0.0124   5.2895E-03  0.3639
   7.0919E+00   7.7224E+00   2.2512E-02  0.0124   3.0395E-03  0.5128
   7.7224E+00   8.4090E+00   2.5738E-02  0.0124   1.7301E-03  0.7325
   8.4090E+00   9.1566E+00   2.9431E-02  0.0125   3.4435E-03  0.5100
   9.1566E+00   9.9706E+00   3.3617E-02  0.0125   4.9000E-03  0.4091
   9.9706E+00   1.0857E+01   3.8451E-02  0.0125   4.3375E-03  0.4371
   1.0857E+01   1.1822E+01   4.3974E-02  0.0126   5.4487E-03  0.3829
   1.1822E+01   1.2873E+01   5.0245E-02  0.0126   9.2400E-03  0.3035
   1.2873E+01   1.4018E+01   5.7416E-02  0.0126   1.2266E-02  0.2748
   1.4018E+01   1.5264E+01   6.5626E-02  0.0127   7.6869E-03  0.3535
   1.5264E+01   1.6621E+01   7.4890E-02  0.0127   1.0187E-02  0.3132
   1.6621E+01   1.8099E+01   8.5295E-02  0.0127   1.7524E-02  0.2299
   1.8099E+01   1.9708E+01   9.6925E-02  0.0128   1.4384E-02  0.2624
   1.9708E+01   2.1460E+01   1.1006E-01  0.0128   1.5630E-02  0.2520
   2.1460E+01   2.3368E+01   1.2490E-01  0.0129   2.6661E-02  0.2074
   2.3368E+01   2.5445E+01   1.4157E-01  0.0129   3.5709E-02  0.1889
   2.5445E+01   2.7708E+01   1.6019E-01  0.0130   4.1145E-02  0.1679
   2.7708E+01   3.0171E+01   1.8097E-01  0.0130   4.6827E-02  0.1579
   3.0171E+01   3.2853E+01   2.0372E-01  0.0131   4.5949E-02  0.1662
   3.2853E+01   3.5774E+01   2.2881E-01  0.0132   6.2133E-02  0.1442
   3.5774E+01   3.8954E+01   2.5705E-01  0.0133   7.3144E-02  0.1412
   3.8954E+01   4.2418E+01   2.8756E-01  0.0134   7.9868E-02  0.1375
   4.2418E+01   4.6189E+01   3.2087E-01  0.0135   8.3989E-02  0.1352
   4.6189E+01   5.0295E+01   3.5705E-01  0.0136   1.1335E-01  0.1218
   5.0295E+01   5.4767E+01   3.9648E-01  0.0137   1.3274E-01  0.1112
   5.4767E+01   5.9636E+01   4.3890E-01  0.0139   1.2904E-01  0.1195
   5.9636E+01   6.4937E+01   4.8373E-01  0.0141   1.7293E-01  0.1062
   6.4937E+01   7.0711E+01   5.3165E-01  0.0143   1.9140E-01  0.0999
   7.0711E+01   7.6997E+01   5.8105E-01  0.0145   2.2218E-01  0.0976
   7.6997E+01   8.3843E+01   6.2901E-01  0.0148   2.0202E-01  0.1043
   8.3843E+01   9.1296E+01   6.7917E-01  0.0150   1.9528E-01  0.1049
   9.1296E+01   9.9413E+01   7.2549E-01  0.0153   2.6879E-01  0.0939
   9.9413E+01   1.0825E+02   7.7066E-01  0.0157   2.9295E-01  0.0892
   1.0825E+02   1.1788E+02   8.0626E-01  0.0162   2.5164E-01  0.0977
   1.1788E+02   1.2836E+02   8.3859E-01  0.0168   2.8372E-01  0.0953
   1.2836E+02   1.3977E+02   8.5767E-01  0.0174   2.7233E-01  0.0984
   1.3977E+02   1.5219E+02   8.5754E-01  0.0182   2.5842E-01  0.1029
   1.5219E+02   1.6572E+02   8.3600E-01  0.0193   2.3427E-01  0.1098
   1.6572E+02   1.8046E+02   7.8865E-01  0.0206   2.2513E-01  0.1161
   1.8046E+02   1.9650E+02   7.2147E-01  0.0223   1.9119E-01  0.1280
   1.9650E+02   2.1397E+02   6.1761E-01  0.0247   1.8155E-01  0.1342
   2.1397E+02   2.3299E+02   4.9787E-01  0.0278   1.2700E-01  0.1657
   2.3299E+02   2.5371E+02   3.7362E-01  0.0322   1.0051E-01  0.1868
   2.5371E+02   2.7626E+02   2.5393E-01  0.0396   4.8213E-02  0.2799
   2.7626E+02   3.0082E+02   1.6409E-01  0.0502   4.4646E-02  0.2937
   3.0082E+02   3.2757E+02   9.4897E-02  0.0674   3.3240E-02  0.3538
   3.2757E+02   3.5669E+02   4.5443E-02  0.1003   1.8787E-02  0.4561
   3.5669E+02   3.8840E+02   1.9153E-02  0.1629   4.3032E-03  1.0000
   3.8840E+02   4.2293E+02   5.8152E-03  0.3056   0.0000E+00  0.0000
   4.2293E+02   4.6053E+02   3.0542E-03  0.4719   0.0000E+00  0.0000
   4.6053E+02   5.0147E+02   1.7909E-03  0.5102   3.9831E-03  1.0000
   5.0147E+02   5.4606E+02   1.0493E-03  1.0000   0.0000E+00  0.0000
   5.4606E+02   5.9460E+02   9.1106E-04  1.0000   0.0000E+00  0.0000
   5.9460E+02   6.4747E+02   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.4747E+02   7.0503E+02   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.0503E+02   7.6771E+02   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.6771E+02   8.3596E+02   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.3596E+02   9.1028E+02   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.1028E+02   9.9121E+02   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.9121E+02   1.0793E+03   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0793E+03   1.1753E+03   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.1753E+03   1.2798E+03   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2798E+03   1.3936E+03   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.3936E+03   1.5174E+03   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5174E+03   1.6524E+03   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.6524E+03   1.7993E+03   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.7993E+03   1.9592E+03   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.9592E+03   2.1334E+03   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.1334E+03   2.3231E+03   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.3231E+03   2.5296E+03   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.5296E+03   2.7545E+03   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.7545E+03   2.9994E+03   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.9994E+03   3.2660E+03   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.2660E+03   3.5564E+03   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.5564E+03   3.8726E+03   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.8726E+03   4.2169E+03   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.2169E+03   4.5918E+03   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.5918E+03   5.0000E+03   0.0000E+00  0.0000   0.0000E+00  0.0000

#   sum over                 1.6165E+01  0.0150   4.8206E+00  0.0272

'no. =  2,  part = proton,  it =  1'
msuc: {\huge Track Detection in xyz mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.35}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.0000E+00 [cm^3]
  part  &=& proton  
  tmin  &=&   0.0000E+00 [nsec]
  tmax  &=&   5.0000E+00 [nsec]
e:

#------------------------------------------------------------------------------
 newpage:
#   neutron 
#   no. =  3   reg =      1
#  it =  1
#   t = (   0.0000E+00  -   5.0000E+00  )

x: Energy [MeV]
y: Flux [1/cm^2/source]              
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(reg      1),hh0l n  y(reg    100),hh0dr n  
#  e-lower      e-upper     reg       1  r.err   reg     100  r.err 
   1.0000E+00   1.0889E+00   5.3880E-02  0.0600   2.6539E-03  0.3186
   1.0889E+00   1.1857E+00   6.3265E-02  0.0563   2.4281E-03  0.3060
   1.1857E+00   1.2911E+00   6.8177E-02  0.0563   1.5590E-03  0.3115
   1.2911E+00   1.4059E+00   6.8713E-02  0.0552   2.3016E-03  0.3559
   1.4059E+00   1.5309E+00   7.9477E-02  0.0538   3.0266E-03  0.2466
   1.5309E+00   1.6670E+00   8.0836E-02  0.0544   4.5712E-03  0.2360
   1.6670E+00   1.8152E+00   1.0601E-01  0.0508   6.8243E-03  0.1990
   1.8152E+00   1.9766E+00   1.0537E-01  0.0506   6.4926E-03  0.1945
   1.9766E+00   2.1523E+00   1.1437E-01  0.0509   7.5060E-03  0.1916
   2.1523E+00   2.3437E+00   1.2252E-01  0.0503   7.9263E-03  0.1885
   2.3437E+00   2.5520E+00   1.3824E-01  0.0479   9.3754E-03  0.1906
   2.5520E+00   2.7789E+00   1.6953E-01  0.0449   7.6248E-03  0.1777
   2.7789E+00   3.0260E+00   1.7737E-01  0.0449   1.4111E-02  0.1446
   3.0260E+00   3.2950E+00   1.8448E-01  0.0443   1.6946E-02  0.1454
   3.2950E+00   3.5879E+00   1.8891E-01  0.0449   1.4783E-02  0.1488
   3.5879E+00   3.9069E+00   1.9235E-01  0.0445   2.2769E-02  0.1344
   3.9069E+00   4.2543E+00   2.2618E-01  0.0435   2.4741E-02  0.1207
   4.2543E+00   4.6325E+00   2.2606E-01  0.0444   2.9534E-02  0.1058
   4.6325E+00   5.0443E+00   2.5261E-01  0.0438   3.1519E-02  0.1136
   5.0443E+00   5.4928E+00   2.5810E-01  0.0443   3.3076E-02  0.0998
   5.4928E+00   5.9811E+00   2.7644E-01  0.0430   4.7654E-02  0.0912
   5.9811E+00   6.5129E+00   2.7983E-01  0.0441   5.0769E-02  0.0871
   6.5129E+00   7.0919E+00   3.0911E-01  0.0424   6.9980E-02  0.0852
   7.0919E+00   7.7224E+00   2.9625E-01  0.0434   6.5988E-02  0.0810
   7.7224E+00   8.4090E+00   2.9681E-01  0.0435   7.5758E-02  0.0816
   8.4090E+00   9.1566E+00   3.1305E-01  0.0429   9.0041E-02  0.0755
   9.1566E+00   9.9706E+00   3.3360E-01  0.0425   1.0364E-01  0.0702
   9.9706E+00   1.0857E+01   3.3674E-01  0.0433   1.0109E-01  0.0700
   1.0857E+01   1.1822E+01   3.3990E-01  0.0438   1.0892E-01  0.0734
   1.1822E+01   1.2873E+01   3.5650E-01  0.0424   1.3800E-01  0.0665
   1.2873E+01   1.4018E+01   3.4753E-01  0.0448   1.5442E-01  0.0665
   1.4018E+01   1.5264E+01   3.9979E-01  0.0426   1.7998E-01  0.0621
   1.5264E+01   1.6621E+01   3.9525E-01  0.0438   1.7451E-01  0.0646
   1.6621E+01   1.8099E+01   3.9745E-01  0.0440   1.7991E-01  0.0655
   1.8099E+01   1.9708E+01   4.1247E-01  0.0447   2.5048E-01  0.0587
   1.9708E+01   2.1460E+01   4.1348E-01  0.0452   2.3542E-01  0.0623
   2.1460E+01   2.3368E+01   4.5726E-01  0.0442   2.7146E-01  0.0585
   2.3368E+01   2.5445E+01   4.7568E-01  0.0444   3.0183E-01  0.0586
   2.5445E+01   2.7708E+01   4.9557E-01  0.0436   3.2786E-01  0.0567
   2.7708E+01   3.0171E+01   4.9360E-01  0.0443   3.3490E-01  0.0575
   3.0171E+01   3.2853E+01   5.4028E-01  0.0437   4.0572E-01  0.0549
   3.2853E+01   3.5774E+01   5.8633E-01  0.0430   4.3990E-01  0.0527
   3.5774E+01   3.8954E+01   6.7965E-01  0.0403   5.2159E-01  0.0494
