[ T - H e a t ]
    title = [t-heat] in r-z mesh
     mesh =  r-z            # mesh type is r-z scoring mesh
       x0 =   0.000000      # center x-position of r-z mesh
       y0 =   0.000000      # center y-position of r-z mesh
   r-type =    2            # r-mesh is linear given by rmin, rmax and nr
     rmin =   0.000000      # minimum value of r-mesh points
     rmax =   1.500000      # maximum value of r-mesh points
#    rdel =   1.500000      # mesh width of r-mesh points
       nr =    1            # number of r-mesh points
#    data = ( r(i), i = 1, nr + 1 )
#           0.00000E+00  1.50000E+00
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =   0.000000      # minimum value of z-mesh points
     zmax =   20.00000      # maximum value of z-mesh points
#    zdel =  0.2000000      # mesh width of z-mesh points
       nz =  100            # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#           0.00000E+00  2.00000E-01  4.00000E-01  6.00000E-01  8.00000E-01
#           1.00000E+00  1.20000E+00  1.40000E+00  1.60000E+00  1.80000E+00
#           2.00000E+00  2.20000E+00  2.40000E+00  2.60000E+00  2.80000E+00
#           3.00000E+00  3.20000E+00  3.40000E+00  3.60000E+00  3.80000E+00
#           4.00000E+00  4.20000E+00  4.40000E+00  4.60000E+00  4.80000E+00
#           5.00000E+00  5.20000E+00  5.40000E+00  5.60000E+00  5.80000E+00
#           6.00000E+00  6.20000E+00  6.40000E+00  6.60000E+00  6.80000E+00
#           7.00000E+00  7.20000E+00  7.40000E+00  7.60000E+00  7.80000E+00
#           8.00000E+00  8.20000E+00  8.40000E+00  8.60000E+00  8.80000E+00
#           9.00000E+00  9.20000E+00  9.40000E+00  9.60000E+00  9.80000E+00
#           1.00000E+01  1.02000E+01  1.04000E+01  1.06000E+01  1.08000E+01
#           1.10000E+01  1.12000E+01  1.14000E+01  1.16000E+01  1.18000E+01
#           1.20000E+01  1.22000E+01  1.24000E+01  1.26000E+01  1.28000E+01
#           1.30000E+01  1.32000E+01  1.34000E+01  1.36000E+01  1.38000E+01
#           1.40000E+01  1.42000E+01  1.44000E+01  1.46000E+01  1.48000E+01
#           1.50000E+01  1.52000E+01  1.54000E+01  1.56000E+01  1.58000E+01
#           1.60000E+01  1.62000E+01  1.64000E+01  1.66000E+01  1.68000E+01
#           1.70000E+01  1.72000E+01  1.74000E+01  1.76000E+01  1.78000E+01
#           1.80000E+01  1.82000E+01  1.84000E+01  1.86000E+01  1.88000E+01
#           1.90000E+01  1.92000E+01  1.94000E+01  1.96000E+01  1.98000E+01
#           2.00000E+01
     unit =    1            # unit is [MeV/cm^3/source]
     axis =    z            # axis of output
     file = dep100.out      # file name of output for the above axis
 material =  all            # (D=all) number of specific material
   output = heat            # only heat is written
 electron =    0            # (D=0) 0-> photon library, 1-> electron ionization
    angel = ylin form(0.7)
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         309 (  0)         205 (  0)         514 (  0)

#------------------------------------------------------------------------------
#newpage:
msuc: {\huge [t-heat] in r-z mesh}
msdl: {\it plotted by \ANGEL \version}
msdr: {\it calculated by \PHITS  2.30}
p: xlin ylog afac(0.8) form(0.9)

'no. =  1,    heat,    ir =  1'
#----------------------------------------#
# Total heat without ncut, gcut and pcut #
#----------------------------------------#
wt: s(0.7)
\vspace{-3}
  without ncut
  gcut and pcut
  rmin  &=&   0.0000E+00 [cm]
  rmax  &=&   1.5000E+00 [cm]
e:
x: z [cm]
y: Heat [MeV/cm^3/source]
p: ylin form(0.7)
h: n            x            y(total),hh0l n
#  z-lower      z-upper         heat     r.err
   0.0000E+00   2.0000E-01   7.1225E+00  0.0882
   2.0000E-01   4.0000E-01   6.8071E+00  0.0908
   4.0000E-01   6.0000E-01   7.0243E+00  0.0887
   6.0000E-01   8.0000E-01   6.8663E+00  0.0909
   8.0000E-01   1.0000E+00   6.8040E+00  0.0922
   1.0000E+00   1.2000E+00   6.8422E+00  0.0909
   1.2000E+00   1.4000E+00   6.8947E+00  0.0924
   1.4000E+00   1.6000E+00   7.0455E+00  0.0904
   1.6000E+00   1.8000E+00   6.9341E+00  0.0920
   1.8000E+00   2.0000E+00   7.0957E+00  0.0920
   2.0000E+00   2.2000E+00   7.1211E+00  0.0849
   2.2000E+00   2.4000E+00   7.2584E+00  0.0876
   2.4000E+00   2.6000E+00   7.2697E+00  0.0890
   2.6000E+00   2.8000E+00   7.1544E+00  0.0911
   2.8000E+00   3.0000E+00   7.3517E+00  0.0888
   3.0000E+00   3.2000E+00   7.1329E+00  0.0922
   3.2000E+00   3.4000E+00   7.0849E+00  0.0935
   3.4000E+00   3.6000E+00   7.3066E+00  0.0880
   3.6000E+00   3.8000E+00   7.0998E+00  0.0912
   3.8000E+00   4.0000E+00   7.0027E+00  0.0940
   4.0000E+00   4.2000E+00   6.8607E+00  0.0819
   4.2000E+00   4.4000E+00   7.1250E+00  0.0916
   4.4000E+00   4.6000E+00   7.1766E+00  0.0901
   4.6000E+00   4.8000E+00   7.1086E+00  0.0934
   4.8000E+00   5.0000E+00   7.1141E+00  0.0911
   5.0000E+00   5.2000E+00   6.9785E+00  0.0944
   5.2000E+00   5.4000E+00   7.0633E+00  0.0956
   5.4000E+00   5.6000E+00   6.9822E+00  0.0957
   5.6000E+00   5.8000E+00   7.0708E+00  0.0968
   5.8000E+00   6.0000E+00   7.0645E+00  0.0962
   6.0000E+00   6.2000E+00   7.0947E+00  0.0787
   6.2000E+00   6.4000E+00   6.9972E+00  0.0959
   6.4000E+00   6.6000E+00   7.0297E+00  0.0972
   6.6000E+00   6.8000E+00   7.0381E+00  0.0985
   6.8000E+00   7.0000E+00   7.0626E+00  0.0983
   7.0000E+00   7.2000E+00   7.1102E+00  0.0995
   7.2000E+00   7.4000E+00   7.1536E+00  0.0988
   7.4000E+00   7.6000E+00   7.1001E+00  0.0995
   7.6000E+00   7.8000E+00   7.2006E+00  0.0995
   7.8000E+00   8.0000E+00   7.3224E+00  0.0967
   8.0000E+00   8.2000E+00   7.2137E+00  0.0800
   8.2000E+00   8.4000E+00   7.3998E+00  0.0968
   8.4000E+00   8.6000E+00   7.3131E+00  0.0998
   8.6000E+00   8.8000E+00   7.3774E+00  0.1009
   8.8000E+00   9.0000E+00   7.5946E+00  0.0993
   9.0000E+00   9.2000E+00   7.6280E+00  0.0985
   9.2000E+00   9.4000E+00   7.6182E+00  0.0986
   9.4000E+00   9.6000E+00   7.8296E+00  0.0986
   9.6000E+00   9.8000E+00   8.0336E+00  0.0965
   9.8000E+00   1.0000E+01   7.9905E+00  0.0788
   1.0000E+01   1.0200E+01   7.9513E+00  0.1013
   1.0200E+01   1.0400E+01   8.1980E+00  0.0971
   1.0400E+01   1.0600E+01   7.9656E+00  0.1017
   1.0600E+01   1.0800E+01   8.0974E+00  0.1019
   1.0800E+01   1.1000E+01   8.4513E+00  0.0660
   1.1000E+01   1.1200E+01   8.4204E+00  0.1031
   1.1200E+01   1.1400E+01   8.5435E+00  0.1026
   1.1400E+01   1.1600E+01   8.7734E+00  0.1008
   1.1600E+01   1.1800E+01   9.1616E+00  0.1006
