[ T - C r o s s ]
    title = [t-cross] in r-z mesh
     mesh =  r-z            # mesh type is r-z scoring mesh
       x0 =   0.000000      # center x-position of r-z mesh
       y0 =   0.000000      # center y-position of r-z mesh
   r-type =    2            # r-mesh is linear given by rmin, rmax and nr
     rmin =   0.000000      # minimum value of r-mesh points
     rmax =   7.500000      # maximum value of r-mesh points
#    rdel =   7.500000      # mesh width of r-mesh points
       nr =    1            # number of r-mesh points
#    data = ( r(i), i = 1, nr + 1 )
#           0.00000E+00  7.50000E+00
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =   0.000000      # minimum value of z-mesh points
     zmax =   30.00000      # maximum value of z-mesh points
#    zdel =  0.2000000      # mesh width of z-mesh points
       nz =  150            # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#           0.00000E+00  2.00000E-01  4.00000E-01  6.00000E-01  8.00000E-01
#           1.00000E+00  1.20000E+00  1.40000E+00  1.60000E+00  1.80000E+00
#           2.00000E+00  2.20000E+00  2.40000E+00  2.60000E+00  2.80000E+00
#           3.00000E+00  3.20000E+00  3.40000E+00  3.60000E+00  3.80000E+00
#           4.00000E+00  4.20000E+00  4.40000E+00  4.60000E+00  4.80000E+00
#           5.00000E+00  5.20000E+00  5.40000E+00  5.60000E+00  5.80000E+00
#           6.00000E+00  6.20000E+00  6.40000E+00  6.60000E+00  6.80000E+00
#           7.00000E+00  7.20000E+00  7.40000E+00  7.60000E+00  7.80000E+00
#           8.00000E+00  8.20000E+00  8.40000E+00  8.60000E+00  8.80000E+00
#           9.00000E+00  9.20000E+00  9.40000E+00  9.60000E+00  9.80000E+00
#           1.00000E+01  1.02000E+01  1.04000E+01  1.06000E+01  1.08000E+01
#           1.10000E+01  1.12000E+01  1.14000E+01  1.16000E+01  1.18000E+01
#           1.20000E+01  1.22000E+01  1.24000E+01  1.26000E+01  1.28000E+01
#           1.30000E+01  1.32000E+01  1.34000E+01  1.36000E+01  1.38000E+01
#           1.40000E+01  1.42000E+01  1.44000E+01  1.46000E+01  1.48000E+01
#           1.50000E+01  1.52000E+01  1.54000E+01  1.56000E+01  1.58000E+01
#           1.60000E+01  1.62000E+01  1.64000E+01  1.66000E+01  1.68000E+01
#           1.70000E+01  1.72000E+01  1.74000E+01  1.76000E+01  1.78000E+01
#           1.80000E+01  1.82000E+01  1.84000E+01  1.86000E+01  1.88000E+01
#           1.90000E+01  1.92000E+01  1.94000E+01  1.96000E+01  1.98000E+01
#           2.00000E+01  2.02000E+01  2.04000E+01  2.06000E+01  2.08000E+01
#           2.10000E+01  2.12000E+01  2.14000E+01  2.16000E+01  2.18000E+01
#           2.20000E+01  2.22000E+01  2.24000E+01  2.26000E+01  2.28000E+01
#           2.30000E+01  2.32000E+01  2.34000E+01  2.36000E+01  2.38000E+01
#           2.40000E+01  2.42000E+01  2.44000E+01  2.46000E+01  2.48000E+01
#           2.50000E+01  2.52000E+01  2.54000E+01  2.56000E+01  2.58000E+01
#           2.60000E+01  2.62000E+01  2.64000E+01  2.66000E+01  2.68000E+01
#           2.70000E+01  2.72000E+01  2.74000E+01  2.76000E+01  2.78000E+01
#           2.80000E+01  2.82000E+01  2.84000E+01  2.86000E+01  2.88000E+01
#           2.90000E+01  2.92000E+01  2.94000E+01  2.96000E+01  2.98000E+01
#           3.00000E+01
     unit =    1            # unit is [1/cm^2/source]
     axis =    z            # axis of output
     file = fluence.out     # file name of output for the above axis
   output = o-curr          # surface crossing omni current
     part =  deuteron   triton     4He        12C        N          O        
# kf/name :  1000002    1000003    2000004    6000012    7000000    8000000  
   factor =  176.7146       # (D=1.0) normalization factor
    angel = ylin
    x-txt = Depth [cm]
    y-txt = Fluence [1/source]
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :        5571 (  0)        5415 (  0)       10986 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ir  =  1
#   r = (   0.0000E+00  -   7.5000E+00  )

x: Depth [cm]
y: Fluence [1/source]
p: xlin ylog afac(0.8) form(0.9)
p: ylin
h:              x            y(deuteron),hh0l  n  y(triton  ),hh0dr n  y(4He     ),hh0mb n  y(12C     ),hh0ug n  y(N       ),hh0pc n  y(O       ),hh0q  n  
#       z surface position     o-curr    r.err      o-curr    r.err      o-curr    r.err      o-curr    r.err      o-curr    r.err      o-curr    r.err 
                0.0000E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
                2.0000E-01   1.0000E-02  0.7036   5.0000E-03  0.9975   1.0000E-02  0.7036   9.8500E-01  0.0087   0.0000E+00  0.0000   0.0000E+00  0.0000
                4.0000E-01   1.0000E-02  0.7036   5.0000E-03  0.9975   0.0000E+00  0.0000   9.8000E-01  0.0101   0.0000E+00  0.0000   0.0000E+00  0.0000
                6.0000E-01   1.5000E-02  0.5730   5.0000E-03  0.9975   5.0000E-03  0.9975   9.7000E-01  0.0124   0.0000E+00  0.0000   0.0000E+00  0.0000
                8.0000E-01   1.5000E-02  0.5730   5.0000E-03  0.9975   5.0000E-03  0.9975   9.7000E-01  0.0124   0.0000E+00  0.0000   0.0000E+00  0.0000
                1.0000E+00   1.5000E-02  0.5730   5.0000E-03  0.9975   5.0000E-03  0.9975   9.7000E-01  0.0124   0.0000E+00  0.0000   0.0000E+00  0.0000
                1.2000E+00   1.5000E-02  0.5730   5.0000E-03  0.9975   5.0000E-03  0.9975   9.6500E-01  0.0135   0.0000E+00  0.0000   0.0000E+00  0.0000
                1.4000E+00   1.5000E-02  0.5730   5.0000E-03  0.9975   5.0000E-03  0.9975   9.6000E-01  0.0144   0.0000E+00  0.0000   0.0000E+00  0.0000
                1.6000E+00   2.0000E-02  0.4950   5.0000E-03  0.9975   1.0000E-02  0.7036   9.5500E-01  0.0153   0.0000E+00  0.0000   0.0000E+00  0.0000
                1.8000E+00   2.0000E-02  0.4950   5.0000E-03  0.9975   1.0000E-02  0.7036   9.5000E-01  0.0162   0.0000E+00  0.0000   0.0000E+00  0.0000
                2.0000E+00   2.0000E-02  0.4950   5.0000E-03  0.9975   1.0000E-02  0.7036   9.5000E-01  0.0162   0.0000E+00  0.0000   0.0000E+00  0.0000
                2.2000E+00   2.5000E-02  0.4416   5.0000E-03  0.9975   2.0000E-02  0.4950   9.4500E-01  0.0171   0.0000E+00  0.0000   0.0000E+00  0.0000
                2.4000E+00   3.0000E-02  0.4021   1.0000E-02  0.7036   2.0000E-02  0.4950   9.3500E-01  0.0186   0.0000E+00  0.0000   0.0000E+00  0.0000
                2.6000E+00   3.5000E-02  0.3713   1.0000E-02  0.7036   3.0000E-02  0.4021   9.2500E-01  0.0201   0.0000E+00  0.0000   0.0000E+00  0.0000
                2.8000E+00   4.5000E-02  0.3257   1.5000E-02  0.5730   4.0000E-02  0.3464   9.1000E-01  0.0222   0.0000E+00  0.0000   0.0000E+00  0.0000
                3.0000E+00   4.0000E-02  0.3464   1.5000E-02  0.5730   5.0000E-02  0.3082   9.0500E-01  0.0229   0.0000E+00  0.0000   0.0000E+00  0.0000
                3.2000E+00   4.0000E-02  0.3464   1.0000E-02  0.7036   5.0000E-02  0.3082   9.0500E-01  0.0229   0.0000E+00  0.0000   0.0000E+00  0.0000
                3.4000E+00   5.0000E-02  0.3082   1.0000E-02  0.7036   5.0000E-02  0.3082   9.0000E-01  0.0236   0.0000E+00  0.0000   0.0000E+00  0.0000
                3.6000E+00   5.0000E-02  0.3082   1.0000E-02  0.7036   5.0000E-02  0.3082   8.9000E-01  0.0249   0.0000E+00  0.0000   0.0000E+00  0.0000
                3.8000E+00   5.0000E-02  0.3082   1.0000E-02  0.7036   5.0000E-02  0.3082   8.9000E-01  0.0249   0.0000E+00  0.0000   0.0000E+00  0.0000
                4.0000E+00   5.5000E-02  0.2931   1.0000E-02  0.7036   5.0000E-02  0.3082   8.8000E-01  0.0261   0.0000E+00  0.0000   0.0000E+00  0.0000
                4.2000E+00   5.5000E-02  0.2931   1.0000E-02  0.7036   6.5000E-02  0.2682   8.7500E-01  0.0267   0.0000E+00  0.0000   0.0000E+00  0.0000
                4.4000E+00   7.0000E-02  0.2577   1.0000E-02  0.7036   8.0000E-02  0.2398   8.5500E-01  0.0291   0.0000E+00  0.0000   0.0000E+00  0.0000
                4.6000E+00   7.0000E-02  0.2577   1.0000E-02  0.7036   8.0000E-02  0.2398   8.5500E-01  0.0291   0.0000E+00  0.0000   0.0000E+00  0.0000
                4.8000E+00   7.5000E-02  0.2483   1.0000E-02  0.7036   8.0000E-02  0.2398   8.5000E-01  0.0297   0.0000E+00  0.0000   0.0000E+00  0.0000
                5.0000E+00   8.5000E-02  0.2320   1.0000E-02  0.7036   8.5000E-02  0.2320   8.3500E-01  0.0314   0.0000E+00  0.0000   0.0000E+00  0.0000
                5.2000E+00   8.5000E-02  0.2320   1.0000E-02  0.7036   9.5000E-02  0.2182   8.2500E-01  0.0326   0.0000E+00  0.0000   0.0000E+00  0.0000
                5.4000E+00   8.0000E-02  0.2398   1.0000E-02  0.7036   9.5000E-02  0.2182   8.2500E-01  0.0326   0.0000E+00  0.0000   0.0000E+00  0.0000
                5.6000E+00   9.0000E-02  0.2248   1.0000E-02  0.7036   1.2500E-01  0.1871   8.0500E-01  0.0348   0.0000E+00  0.0000   0.0000E+00  0.0000
                5.8000E+00   9.5000E-02  0.2182   1.0000E-02  0.7036   1.2500E-01  0.1871   8.0500E-01  0.0348   0.0000E+00  0.0000   0.0000E+00  0.0000
                6.0000E+00   9.0000E-02  0.2248   1.0000E-02  0.7036   1.2500E-01  0.1871   8.0000E-01  0.0354   0.0000E+00  0.0000   0.0000E+00  0.0000
                6.2000E+00   9.5000E-02  0.2182   1.0000E-02  0.7036   1.4000E-01  0.1753   7.9000E-01  0.0365   0.0000E+00  0.0000   0.0000E+00  0.0000
                6.4000E+00   8.5000E-02  0.2320   1.0000E-02  0.7036   1.5000E-01  0.1683   7.8000E-01  0.0376   0.0000E+00  0.0000   0.0000E+00  0.0000
                6.6000E+00   9.0000E-02  0.2248   5.0000E-03  0.9975   1.6000E-01  0.1620   7.6500E-01  0.0392   0.0000E+00  0.0000   0.0000E+00  0.0000
                6.8000E+00   1.1500E-01  0.1962   1.0000E-02  0.7036   1.6500E-01  0.1591   7.6000E-01  0.0397   0.0000E+00  0.0000   0.0000E+00  0.0000
