[ T - C r o s s ]
    title = [t-cross] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg =    2            # number of crossing regions
      non     r-in    r-out      area
        1     100     502      1.000000    
        2     100     504      1.000000    
   e-type =    3            # e-mesh is log given by emin, emax and ne
     emin =   1.000000      # minimum value of e-mesh points
     emax =   1000.000      # maximum value of e-mesh points
#    edel =  0.1151293      # mesh width of e-mesh points
       ne =   60            # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E+00  1.12202E+00  1.25893E+00  1.41254E+00  1.58489E+00
#           1.77828E+00  1.99526E+00  2.23872E+00  2.51189E+00  2.81838E+00
#           3.16228E+00  3.54813E+00  3.98107E+00  4.46684E+00  5.01187E+00
#           5.62341E+00  6.30957E+00  7.07946E+00  7.94328E+00  8.91251E+00
#           1.00000E+01  1.12202E+01  1.25893E+01  1.41254E+01  1.58489E+01
#           1.77828E+01  1.99526E+01  2.23872E+01  2.51189E+01  2.81838E+01
#           3.16228E+01  3.54813E+01  3.98107E+01  4.46684E+01  5.01187E+01
#           5.62341E+01  6.30957E+01  7.07946E+01  7.94328E+01  8.91251E+01
#           1.00000E+02  1.12202E+02  1.25893E+02  1.41254E+02  1.58489E+02
#           1.77828E+02  1.99526E+02  2.23872E+02  2.51189E+02  2.81838E+02
#           3.16228E+02  3.54813E+02  3.98107E+02  4.46684E+02  5.01187E+02
#           5.62341E+02  6.30957E+02  7.07946E+02  7.94328E+02  8.91251E+02
#           1.00000E+03
     unit =    3            # unit is [1/cm^2/Lethargy/source]
     axis =  eng            # axis of output
     file = flux_neutron.dat  # file name of output for the above axis
   output = flux            # surface crossing flux
     part =  neutron  
# kf/name :  2112     
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         321 (  0)         302 (  0)         623 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =    1   reg = 100 - 502

x: Energy [MeV]
y:   Flux  [1/cm^2/Lethargy/source]        
p: xlog ylog afac(0.8) form(0.9) nofr noms notl nocm legx(2.0) legy(1.e-03)
# h: n            x            y(neutron ),hh0l  n  
h: ny1 ny2 x=[(y1+y2)/2] y3(neutron),n3 ny4 d3=[y3*y4]   
#  e-lower      e-upper         flux     r.err 
   1.0000E+00   1.1220E+00   6.1492E-03  0.2674
   1.1220E+00   1.2589E+00   5.7569E-03  0.2779
   1.2589E+00   1.4125E+00   4.7787E-03  0.3014
   1.4125E+00   1.5849E+00   7.8524E-03  0.2356
   1.5849E+00   1.7783E+00   8.2516E-03  0.2293
   1.7783E+00   1.9953E+00   1.0872E-02  0.1999
   1.9953E+00   2.2387E+00   9.9904E-03  0.2084
   2.2387E+00   2.5119E+00   7.3830E-03  0.2424
   2.5119E+00   2.8184E+00   1.1298E-02  0.1960
   2.8184E+00   3.1623E+00   7.8681E-03  0.2357
   3.1623E+00   3.5481E+00   9.5970E-03  0.2131
   3.5481E+00   3.9811E+00   9.1202E-03  0.2181
   3.9811E+00   4.4668E+00   9.9888E-03  0.2084
   4.4668E+00   5.0119E+00   1.2160E-02  0.1888
   5.0119E+00   5.6234E+00   8.2516E-03  0.2293
   5.6234E+00   6.3096E+00   1.0857E-02  0.1999
   6.3096E+00   7.0795E+00   9.5889E-03  0.2131
   7.0795E+00   7.9433E+00   7.8173E-03  0.2356
   7.9433E+00   8.9125E+00   9.5545E-03  0.2131
   8.9125E+00   1.0000E+01   1.2595E-02  0.1856
   1.0000E+01   1.1220E+01   6.9563E-03  0.2499
   1.1220E+01   1.2589E+01   6.5144E-03  0.2581
   1.2589E+01   1.4125E+01   1.0857E-02  0.1999
