#
#http://nds121.iaea.org/alberto/mediawiki-1.6.10/index.php/Benchmark:ExpDataSets:p-Fe-1200-ddxsn-leray
#
#PROJECTILE: proton
#ENERGY: 1200 MeV
#TARGET: Fe
#
#OBSERVABLE: neutron double differential cross section (theta = xxx degree)
#REFERENCE: S. Leray et al., PRC 65 (2002) 044621
#CONTACT PERSON: Sylvie Leray - CEA-Saclay SPhN - sylvie.leray@cea.fr
#
#FORMAT: E  Delta_E data error
#(UNIT) (MeV) (MeV) (mb/sr/MeV) (mb/sr/MeV)
#
#ADD.INFO: Target@f3xt3cm, Distance@350cm, Detector size@f16cm
#

# theta:  0  degrees
#  Energy      Delta_E    Data         Error
# (MeV)       (MeV)      (mb/sr/MeV)  (mb/sr/MeV)
 252.8678131   5.8530049   0.4257229   0.0492293
 264.8518066   6.1303926   0.5113210   0.0380453
 277.4037781   6.4209266   0.5166676   0.0323404
 289.1354980   5.3101044   0.4822125   0.0296660
 300.9750061   6.5294199   0.4366201   0.0255067
 314.1250000   6.6204200   0.4111805   0.0255493
 327.4540100   6.7086802   0.4191965   0.0255442
 340.9570007   6.7940698   0.5193732   0.0258224
 354.6279907   6.8768902   0.5409926   0.0255930
 368.4609985   6.9570298   0.4394529   0.0256272
 382.4530029   7.0346699   0.4468542   0.0257702
 396.5979919   7.1099200   0.4541176   0.0256788
 410.8900146   7.1827402   0.4454807   0.0254972
 425.3269958   7.2533598   0.4599721   0.0257272
 439.9020081   7.3216600   0.4895332   0.0259573
 454.6109924   7.3878798   0.3452864   0.0257432
 469.4509888   7.4520302   0.4128565   0.0256350
 484.4169922   7.5141001   0.3885964   0.0257048
 499.5060120   7.5743399   0.4336623   0.0257782
 514.7130127   7.6326299   0.4504501   0.0256124
 530.0339966   7.6892099   0.3380695   0.0253013
 545.4669800   7.7438998   0.4247038   0.0254718
 561.0079956   7.7969999   0.3921202   0.0254628
 576.6539917   7.8485098   0.3815806   0.0253254
 592.4010010   7.8983202   0.3845406   0.0248731
 608.2459717   7.9467201   0.4646337   0.0251760
 624.1859741   7.9935899   0.3424291   0.0247773
 640.2189941   8.0390596   0.3572125   0.0249703
 656.3410034   8.0831900   0.4297452   0.0247686
 672.5499878   8.1259804   0.3885917   0.0245639
 688.8439941   8.1674805   0.4872597   0.0253679
 705.2189941   8.2077599   0.4696936   0.0253093
 721.6729736   8.2468300   0.5134774   0.0257400
 738.2050171   8.2847900   0.7074988   0.0263022
 754.8109741   8.3216600   0.7410545   0.0270584
 771.4910278   8.3574200   0.8498855   0.0275697
 788.2399902   8.3921499   0.9424973   0.0283336
 805.0579834   8.4258404   0.8973176   0.0285951
 821.9429932   8.4586802   1.0558590   0.0291912
 838.8920288   8.4905396   1.1477120   0.0294211
 855.9039917   8.5214195   1.1685020   0.0292043
 872.9769897   8.5515099   1.2025141   0.0289177
 890.1090088   8.5807505   1.1852400   0.0286937
 907.2990112   8.6091900   1.0662850   0.0277651
 924.5449829   8.6368399   0.9014710   0.0264811
 941.8460083   8.6637001   0.8084866   0.0250968
 959.1989746   8.6898804   0.6888037   0.0229854
 976.6040039   8.7152700   0.4783944   0.0207794
 994.0599976   8.7400503   0.3741760   0.0186695
1011.5599976   8.7641602   0.2811888   0.0168255
1029.1199951   8.7875700   0.1846332   0.0156471
1046.7099609   8.8105497   0.1846817   0.0152994
1064.3599854   8.8326397   0.2615456   0.0155409
1082.0400391   8.8542500   0.3642536   0.0163080
1099.7700195   8.8754902   0.5180398   0.0173401
1117.5400391   8.8959999   0.7481176   0.0189021
1135.3599854   8.9160204   0.8195471   0.0191716
1153.2099609   8.9354200   0.6250294   0.0182240
1171.0999756   8.9545898   0.3706680   0.0165271
1189.0300293   8.9730196   0.1290533   0.0137752
1206.9899902   8.9912100   0.0006476   0.0104037

# theta:  10  degrees
#  Energy      Delta_E    Data         Error
# (MeV)       (MeV)      (mb/sr/MeV)  (mb/sr/MeV)
   4.1088886   0.3265831  17.2154865   1.0171906
   4.8184371   0.3829795  14.0030699   0.8136034
   5.6505151   0.4491148  11.9515152   0.6921820
   6.6262817   0.5266708   9.9119625   0.5815014
   7.7705493   0.6176196   7.4405012   0.4543353
   9.1124163   0.7242740   6.4229155   0.3950540
  10.6860056   0.8493462   5.1145091   0.3258803
  12.5313320   0.9960166   4.2298083   0.2722383
  14.6953211   1.1680150   3.4698534   0.2262586
  17.2330017   1.3697152   3.0608914   0.1943395
  20.2089043   1.6062461   2.1953368   0.1426494
  23.6987038   1.8836228   1.9718324   0.1243900
  27.7911453   2.2088985   1.7841370   0.1105850
  32.5902939   2.5903451   1.6492933   0.1008625
  38.2181892   3.0376620   1.5431315   0.0929513
  44.8179474   3.5622246   1.3175259   0.0798879
  52.5573921   4.1773720   1.3273904   0.0779469
  61.6333313   4.8987465   1.2913390   0.0743776
  72.2765579   5.7446928   1.1391850   0.0654376
  84.7577286   6.7367225   0.9891803   0.0569674
  99.3942261   7.9000621   0.9334068   0.0530423
 116.5582428   9.2642937   0.8649774   0.0485357
 136.6862488  10.8641100   0.7531070   0.0422068
 160.2900848  12.7401924   0.6726808   0.0373925
 179.5278931   6.4976273   0.5953720   0.0530876
 191.7508240   5.7258525   0.5590835   0.0480408
 203.5544128   6.0783181   0.5409591   0.0437536
 216.0845947   6.4524808   0.5258878   0.0403555
 229.3860931   6.8496752   0.4711164   0.0365700
 243.5063934   7.2713203   0.4895175   0.0348018
 258.4959106   7.7189207   0.4519901   0.0331920
 273.8942871   7.6802368   0.4649966   0.0324414
 288.0100098   6.4354901   0.4638550   0.0340015
 300.9750061   6.5294199   0.4258480   0.0334123
 314.1250000   6.6204200   0.3895940   0.0334962
 327.4540100   6.7086802   0.3986380   0.0332203
 340.9570007   6.7940698   0.4020330   0.0328835
 354.6279907   6.8768902   0.4336210   0.0334878
 368.4609985   6.9570298   0.4082370   0.0332163
 382.4530029   7.0346699   0.3963200   0.0330694
 396.5979919   7.1099200   0.4103670   0.0329070
 410.8900146   7.1827402   0.4010800   0.0331146
 425.3269958   7.2533598   0.3896050   0.0329713
 439.9020081   7.3216600   0.3779100   0.0321915
 454.6109924   7.3878798   0.3761720   0.0325668
 469.4509888   7.4520302   0.3846370   0.0320251
 484.4169922   7.5141001   0.3710050   0.0320505
 499.5060120   7.5743399   0.3378080   0.0314975
 514.7130127   7.6326299   0.3533850   0.0314126
