[ T - C r o s s ]
    title = [t-cross] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg =    5            # number of crossing regions
      non     r-in    r-out      area
        1     100     502      35042.79    
        2     100     504      28815.02    
        3     100     506      22611.10    
        4     100     508      14866.30    
        5     100     510      6108.349    
   e-type =    3            # e-mesh is log given by emin, emax and ne
     emin =   1.000000      # minimum value of e-mesh points
     emax =   10000.00      # maximum value of e-mesh points
#    edel =  0.1151293      # mesh width of e-mesh points
       ne =   80            # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E+00  1.12202E+00  1.25893E+00  1.41254E+00  1.58489E+00
#           1.77828E+00  1.99526E+00  2.23872E+00  2.51189E+00  2.81838E+00
#           3.16228E+00  3.54813E+00  3.98107E+00  4.46684E+00  5.01187E+00
#           5.62341E+00  6.30957E+00  7.07946E+00  7.94328E+00  8.91251E+00
#           1.00000E+01  1.12202E+01  1.25893E+01  1.41254E+01  1.58489E+01
#           1.77828E+01  1.99526E+01  2.23872E+01  2.51189E+01  2.81838E+01
#           3.16228E+01  3.54813E+01  3.98107E+01  4.46684E+01  5.01187E+01
#           5.62341E+01  6.30957E+01  7.07946E+01  7.94328E+01  8.91251E+01
#           1.00000E+02  1.12202E+02  1.25893E+02  1.41254E+02  1.58489E+02
#           1.77828E+02  1.99526E+02  2.23872E+02  2.51189E+02  2.81838E+02
#           3.16228E+02  3.54813E+02  3.98107E+02  4.46684E+02  5.01187E+02
#           5.62341E+02  6.30957E+02  7.07946E+02  7.94328E+02  8.91251E+02
#           1.00000E+03  1.12202E+03  1.25893E+03  1.41254E+03  1.58489E+03
#           1.77828E+03  1.99526E+03  2.23872E+03  2.51189E+03  2.81838E+03
#           3.16228E+03  3.54813E+03  3.98107E+03  4.46684E+03  5.01187E+03
#           5.62341E+03  6.30957E+03  7.07946E+03  7.94328E+03  8.91251E+03
#           1.00000E+04
     unit =    2            # unit is [1/cm^2/MeV/source]
     axis =  eng            # axis of output
     file = flux_neutron.dat  # file name of output for the above axis
   output = flux            # surface crossing flux
     part =  neutron  
# kf/name :  2112     
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         922 (  0)         882 (  0)        1804 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =    1   reg = 100 - 502

x: Energy [MeV]
y:   Flux  [1/cm^2/MeV/source]             
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(neutron ),hh0l  n  
#  e-lower      e-upper         flux     r.err 
   1.0000E+00   1.1220E+00   7.2631E-08  0.0129
   1.1220E+00   1.2589E+00   7.3976E-08  0.0119
   1.2589E+00   1.4125E+00   7.1558E-08  0.0115
   1.4125E+00   1.5849E+00   6.8393E-08  0.0111
   1.5849E+00   1.7783E+00   6.3771E-08  0.0108
   1.7783E+00   1.9953E+00   6.1776E-08  0.0103
   1.9953E+00   2.2387E+00   5.5636E-08  0.0103
   2.2387E+00   2.5119E+00   5.2161E-08  0.0104
   2.5119E+00   2.8184E+00   4.6452E-08  0.0100
   2.8184E+00   3.1623E+00   4.2338E-08  0.0099
   3.1623E+00   3.5481E+00   3.7801E-08  0.0099
   3.5481E+00   3.9811E+00   3.3721E-08  0.0099
   3.9811E+00   4.4668E+00   3.1235E-08  0.0097
   4.4668E+00   5.0119E+00   2.7446E-08  0.0098
   5.0119E+00   5.6234E+00   2.3697E-08  0.0099
   5.6234E+00   6.3096E+00   2.1370E-08  0.0099
   6.3096E+00   7.0795E+00   1.8561E-08  0.0100
   7.0795E+00   7.9433E+00   1.5337E-08  0.0104
   7.9433E+00   8.9125E+00   1.3393E-08  0.0105
   8.9125E+00   1.0000E+01   1.1767E-08  0.0105
   1.0000E+01   1.1220E+01   1.0072E-08  0.0107
   1.1220E+01   1.2589E+01   8.6513E-09  0.0109
   1.2589E+01   1.4125E+01   7.3634E-09  0.0112
   1.4125E+01   1.5849E+01   6.3403E-09  0.0114
   1.5849E+01   1.7783E+01   5.4219E-09  0.0117
   1.7783E+01   1.9953E+01   4.6318E-09  0.0119
   1.9953E+01   2.2387E+01   4.0979E-09  0.0120
   2.2387E+01   2.5119E+01   3.4517E-09  0.0123
   2.5119E+01   2.8184E+01   3.0823E-09  0.0123
   2.8184E+01   3.1623E+01   2.6674E-09  0.0125
   3.1623E+01   3.5481E+01   2.3629E-09  0.0125
   3.5481E+01   3.9811E+01   2.1232E-09  0.0125
   3.9811E+01   4.4668E+01   1.8563E-09  0.0126
   4.4668E+01   5.0119E+01   1.6174E-09  0.0127
   5.0119E+01   5.6234E+01   1.4697E-09  0.0126
