[ T - T r a c k ]
    title = [t-track] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg = 2
   e-type =    3            # e-mesh is log given by emin, emax and ne
     emin =   1.000000      # minimum value of e-mesh points
     emax =   1000.000      # maximum value of e-mesh points
#    edel =  0.1381551      # mesh width of e-mesh points
       ne =   50            # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E+00  1.14815E+00  1.31826E+00  1.51356E+00  1.73780E+00
#           1.99526E+00  2.29087E+00  2.63027E+00  3.01995E+00  3.46737E+00
#           3.98107E+00  4.57088E+00  5.24807E+00  6.02560E+00  6.91831E+00
#           7.94328E+00  9.12011E+00  1.04713E+01  1.20226E+01  1.38038E+01
#           1.58489E+01  1.81970E+01  2.08930E+01  2.39883E+01  2.75423E+01
#           3.16228E+01  3.63078E+01  4.16869E+01  4.78630E+01  5.49541E+01
#           6.30957E+01  7.24436E+01  8.31764E+01  9.54993E+01  1.09648E+02
#           1.25893E+02  1.44544E+02  1.65959E+02  1.90546E+02  2.18776E+02
#           2.51189E+02  2.88403E+02  3.31131E+02  3.80189E+02  4.36516E+02
#           5.01187E+02  5.75440E+02  6.60693E+02  7.58578E+02  8.70964E+02
#           1.00000E+03
     unit =    2            # unit is [1/cm^2/MeV/source]
 material =  all            # (D=all) number of specific material
     axis =  eng            # axis of output
     file = cnt00.dat       # file name of output for the above axis
     part =  neutron  
# kf/name :  2112     
    angel = ymin(1.e-8) ymax(1.e-2) nosy
   epsout =    1            # (D=0) generate eps file by ANGEL
 ctmin(1) =    0            # (D=-9999) min. of counter 1
 ctmax(1) =    0            # (D= 9999) max. of counter 1
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         155 (  0)         154 (  0)         309 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    2

x: Energy [MeV]
y: Flux [1/cm^2/MeV/source]          
p: xlog ylog afac(0.8) form(0.9)
p: ymin(1.e-8) ymax(1.e-2) nosy
h: n            x            y(neutron ),hh0l  n  
#  e-lower      e-upper         flux     r.err 
   1.0000E+00   1.1482E+00   2.3323E-03  0.0229
   1.1482E+00   1.3183E+00   1.8091E-03  0.0258
   1.3183E+00   1.5136E+00   1.6846E-03  0.0237
   1.5136E+00   1.7378E+00   1.3158E-03  0.0270
   1.7378E+00   1.9953E+00   1.1163E-03  0.0269
   1.9953E+00   2.2909E+00   8.2995E-04  0.0295
   2.2909E+00   2.6303E+00   6.4983E-04  0.0302
   2.6303E+00   3.0200E+00   5.6976E-04  0.0317
   3.0200E+00   3.4674E+00   4.5211E-04  0.0338
   3.4674E+00   3.9811E+00   3.0083E-04  0.0410
   3.9811E+00   4.5709E+00   2.3516E-04  0.0434
   4.5709E+00   5.2481E+00   1.9916E-04  0.0477
   5.2481E+00   6.0256E+00   1.7650E-04  0.0482
   6.0256E+00   6.9183E+00   1.2429E-04  0.0547
   6.9183E+00   7.9433E+00   9.4514E-05  0.0615
   7.9433E+00   9.1201E+00   6.9597E-05  0.0748
   9.1201E+00   1.0471E+01   4.7972E-05  0.0774
   1.0471E+01   1.2023E+01   5.0362E-05  0.0697
   1.2023E+01   1.3804E+01   3.2802E-05  0.0849
   1.3804E+01   1.5849E+01   2.7498E-05  0.0892
   1.5849E+01   1.8197E+01   1.6501E-05  0.0978
   1.8197E+01   2.0893E+01   1.9673E-05  0.0882
   2.0893E+01   2.3988E+01   1.6776E-05  0.0895
   2.3988E+01   2.7542E+01   1.4116E-05  0.0921
   2.7542E+01   3.1623E+01   1.5044E-05  0.0840
   3.1623E+01   3.6308E+01   1.0085E-05  0.0930
   3.6308E+01   4.1687E+01   7.1351E-06  0.1081
   4.1687E+01   4.7863E+01   8.0163E-06  0.1005
   4.7863E+01   5.4954E+01   5.0150E-06  0.1187
   5.4954E+01   6.3096E+01   6.6650E-06  0.0966
   6.3096E+01   7.2444E+01   5.1097E-06  0.0991
   7.2444E+01   8.3176E+01   4.6649E-06  0.0954
   8.3176E+01   9.5499E+01   4.0553E-06  0.0990
   9.5499E+01   1.0965E+02   2.3781E-06  0.1191
   1.0965E+02   1.2589E+02   2.2056E-06  0.1234
   1.2589E+02   1.4454E+02   2.0817E-06  0.1228
   1.4454E+02   1.6596E+02   2.0994E-06  0.1151
   1.6596E+02   1.9055E+02   1.3992E-06  0.1311
   1.9055E+02   2.1878E+02   9.9626E-07  0.1425
   2.1878E+02   2.5119E+02   7.3321E-07  0.1569
   2.5119E+02   2.8840E+02   4.4540E-07  0.1945
   2.8840E+02   3.3113E+02   7.1997E-07  0.1534
   3.3113E+02   3.8019E+02   4.2748E-07  0.2057
   3.8019E+02   4.3652E+02   3.0909E-07  0.2120
   4.3652E+02   5.0119E+02   2.4978E-07  0.2402
   5.0119E+02   5.7544E+02   0.0000E+00  0.0000
   5.7544E+02   6.6069E+02   0.0000E+00  0.0000
   6.6069E+02   7.5858E+02   0.0000E+00  0.0000
   7.5858E+02   8.7096E+02   0.0000E+00  0.0000
   8.7096E+02   1.0000E+03   0.0000E+00  0.0000

#   sum over                 4.5371E-03  0.0082

'no. =  1,  reg  =      2'
msuc: {\huge [t-track] in region mesh}
msdl: {\it plotted by \ANGEL \version}
msdr: {\it calculated by \PHITS  2.30}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.0603E+04 [cm^3]
e:
