[ T - T r a c k ]
    title = [t-track] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg = 2
   e-type =    3            # e-mesh is log given by emin, emax and ne
     emin =   1.000000      # minimum value of e-mesh points
     emax =   1000.000      # maximum value of e-mesh points
#    edel =  0.1381551      # mesh width of e-mesh points
       ne =   50            # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E+00  1.14815E+00  1.31826E+00  1.51356E+00  1.73780E+00
#           1.99526E+00  2.29087E+00  2.63027E+00  3.01995E+00  3.46737E+00
#           3.98107E+00  4.57088E+00  5.24807E+00  6.02560E+00  6.91831E+00
#           7.94328E+00  9.12011E+00  1.04713E+01  1.20226E+01  1.38038E+01
#           1.58489E+01  1.81970E+01  2.08930E+01  2.39883E+01  2.75423E+01
#           3.16228E+01  3.63078E+01  4.16869E+01  4.78630E+01  5.49541E+01
#           6.30957E+01  7.24436E+01  8.31764E+01  9.54993E+01  1.09648E+02
#           1.25893E+02  1.44544E+02  1.65959E+02  1.90546E+02  2.18776E+02
#           2.51189E+02  2.88403E+02  3.31131E+02  3.80189E+02  4.36516E+02
#           5.01187E+02  5.75440E+02  6.60693E+02  7.58578E+02  8.70964E+02
#           1.00000E+03
     unit =    2            # unit is [1/cm^2/MeV/source]
 material =  all            # (D=all) number of specific material
     axis =  eng            # axis of output
     file = cnt01.dat       # file name of output for the above axis
     part =  neutron  
# kf/name :  2112     
    angel = ymin(1.e-8) ymax(1.e-2) nosy
   epsout =    1            # (D=0) generate eps file by ANGEL
 ctmin(1) =    1            # (D=-9999) min. of counter 1
 ctmax(1) = 9999            # (D= 9999) max. of counter 1
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         155 (  0)         154 (  0)         309 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    2

x: Energy [MeV]
y: Flux [1/cm^2/MeV/source]          
p: xlog ylog afac(0.8) form(0.9)
p: ymin(1.e-8) ymax(1.e-2) nosy
h: n            x            y(neutron ),hh0l  n  
#  e-lower      e-upper         flux     r.err 
   1.0000E+00   1.1482E+00   8.1338E-05  0.1876
   1.1482E+00   1.3183E+00   8.8503E-05  0.1854
   1.3183E+00   1.5136E+00   4.7452E-05  0.2129
   1.5136E+00   1.7378E+00   5.2109E-05  0.2147
   1.7378E+00   1.9953E+00   4.6689E-05  0.1815
   1.9953E+00   2.2909E+00   3.5082E-05  0.2153
   2.2909E+00   2.6303E+00   2.3727E-05  0.2357
   2.6303E+00   3.0200E+00   9.6570E-06  0.2879
   3.0200E+00   3.4674E+00   1.2831E-05  0.2904
   3.4674E+00   3.9811E+00   1.1138E-05  0.2843
   3.9811E+00   4.5709E+00   7.5040E-06  0.3203
   4.5709E+00   5.2481E+00   7.5335E-06  0.2511
   5.2481E+00   6.0256E+00   5.4677E-06  0.3246
   6.0256E+00   6.9183E+00   1.5179E-06  0.5749
   6.9183E+00   7.9433E+00   1.4446E-06  0.5210
   7.9433E+00   9.1201E+00   1.2166E-06  0.5787
   9.1201E+00   1.0471E+01   3.8279E-07  0.9995
   1.0471E+01   1.2023E+01   8.8858E-07  0.6133
   1.2023E+01   1.3804E+01   5.4639E-07  0.7067
   1.3804E+01   1.5849E+01   6.3628E-07  0.5028
   1.5849E+01   1.8197E+01   4.0697E-07  0.5425
   1.8197E+01   2.0893E+01   7.3870E-07  0.4885
   2.0893E+01   2.3988E+01   4.1587E-07  0.6203
   2.3988E+01   2.7542E+01   1.0006E-06  0.5708
   2.7542E+01   3.1623E+01   7.3049E-07  0.3693
   3.1623E+01   3.6308E+01   3.8664E-07  0.5106
   3.6308E+01   4.1687E+01   5.4824E-07  0.4140
   4.1687E+01   4.7863E+01   8.6654E-08  0.9995
   4.7863E+01   5.4954E+01   1.9869E-07  0.5876
   5.4954E+01   6.3096E+01   2.9647E-07  0.5248
   6.3096E+01   7.2444E+01   1.8072E-07  0.4081
   7.2444E+01   8.3176E+01   0.0000E+00  0.0000
   8.3176E+01   9.5499E+01   4.6445E-08  0.9004
   9.5499E+01   1.0965E+02   1.0182E-07  0.7420
   1.0965E+02   1.2589E+02   1.3988E-07  0.4036
   1.2589E+02   1.4454E+02   7.0601E-08  0.5556
   1.4454E+02   1.6596E+02   9.7710E-09  0.9995
   1.6596E+02   1.9055E+02   0.0000E+00  0.0000
   1.9055E+02   2.1878E+02   0.0000E+00  0.0000
   2.1878E+02   2.5119E+02   0.0000E+00  0.0000
   2.5119E+02   2.8840E+02   0.0000E+00  0.0000
   2.8840E+02   3.3113E+02   0.0000E+00  0.0000
   3.3113E+02   3.8019E+02   0.0000E+00  0.0000
   3.8019E+02   4.3652E+02   0.0000E+00  0.0000
   4.3652E+02   5.0119E+02   0.0000E+00  0.0000
   5.0119E+02   5.7544E+02   0.0000E+00  0.0000
   5.7544E+02   6.6069E+02   0.0000E+00  0.0000
   6.6069E+02   7.5858E+02   0.0000E+00  0.0000
   7.5858E+02   8.7096E+02   0.0000E+00  0.0000
   8.7096E+02   1.0000E+03   0.0000E+00  0.0000

#   sum over                 1.4333E-04  0.0574

'no. =  1,  reg  =      2'
msuc: {\huge [t-track] in region mesh}
msdl: {\it plotted by \ANGEL \version}
msdr: {\it calculated by \PHITS  2.30}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.0603E+04 [cm^3]
e:
