[ T - T r a c k ]
    title = [t-track] in xyz mesh
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    2            # x-mesh is linear given by xmin, xmax and nx
     xmin =  -400.0000      # minimum value of x-mesh points
     xmax =   800.0000      # maximum value of x-mesh points
#    xdel =   6.000000      # mesh width of x-mesh points
       nx =  200            # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
#          -4.00000E+02 -3.94000E+02 -3.88000E+02 -3.82000E+02 -3.76000E+02
#          -3.70000E+02 -3.64000E+02 -3.58000E+02 -3.52000E+02 -3.46000E+02
#          -3.40000E+02 -3.34000E+02 -3.28000E+02 -3.22000E+02 -3.16000E+02
#          -3.10000E+02 -3.04000E+02 -2.98000E+02 -2.92000E+02 -2.86000E+02
#          -2.80000E+02 -2.74000E+02 -2.68000E+02 -2.62000E+02 -2.56000E+02
#          -2.50000E+02 -2.44000E+02 -2.38000E+02 -2.32000E+02 -2.26000E+02
#          -2.20000E+02 -2.14000E+02 -2.08000E+02 -2.02000E+02 -1.96000E+02
#          -1.90000E+02 -1.84000E+02 -1.78000E+02 -1.72000E+02 -1.66000E+02
#          -1.60000E+02 -1.54000E+02 -1.48000E+02 -1.42000E+02 -1.36000E+02
#          -1.30000E+02 -1.24000E+02 -1.18000E+02 -1.12000E+02 -1.06000E+02
#          -1.00000E+02 -9.40000E+01 -8.80000E+01 -8.20000E+01 -7.60000E+01
#          -7.00000E+01 -6.40000E+01 -5.80000E+01 -5.20000E+01 -4.60000E+01
#          -4.00000E+01 -3.40000E+01 -2.80000E+01 -2.20000E+01 -1.60000E+01
#          -1.00000E+01 -4.00000E+00  2.00000E+00  8.00000E+00  1.40000E+01
#           2.00000E+01  2.60000E+01  3.20000E+01  3.80000E+01  4.40000E+01
#           5.00000E+01  5.60000E+01  6.20000E+01  6.80000E+01  7.40000E+01
#           8.00000E+01  8.60000E+01  9.20000E+01  9.80000E+01  1.04000E+02
#           1.10000E+02  1.16000E+02  1.22000E+02  1.28000E+02  1.34000E+02
#           1.40000E+02  1.46000E+02  1.52000E+02  1.58000E+02  1.64000E+02
#           1.70000E+02  1.76000E+02  1.82000E+02  1.88000E+02  1.94000E+02
#           2.00000E+02  2.06000E+02  2.12000E+02  2.18000E+02  2.24000E+02
#           2.30000E+02  2.36000E+02  2.42000E+02  2.48000E+02  2.54000E+02
#           2.60000E+02  2.66000E+02  2.72000E+02  2.78000E+02  2.84000E+02
#           2.90000E+02  2.96000E+02  3.02000E+02  3.08000E+02  3.14000E+02
#           3.20000E+02  3.26000E+02  3.32000E+02  3.38000E+02  3.44000E+02
#           3.50000E+02  3.56000E+02  3.62000E+02  3.68000E+02  3.74000E+02
#           3.80000E+02  3.86000E+02  3.92000E+02  3.98000E+02  4.04000E+02
#           4.10000E+02  4.16000E+02  4.22000E+02  4.28000E+02  4.34000E+02
#           4.40000E+02  4.46000E+02  4.52000E+02  4.58000E+02  4.64000E+02
#           4.70000E+02  4.76000E+02  4.82000E+02  4.88000E+02  4.94000E+02
#           5.00000E+02  5.06000E+02  5.12000E+02  5.18000E+02  5.24000E+02
#           5.30000E+02  5.36000E+02  5.42000E+02  5.48000E+02  5.54000E+02
#           5.60000E+02  5.66000E+02  5.72000E+02  5.78000E+02  5.84000E+02
#           5.90000E+02  5.96000E+02  6.02000E+02  6.08000E+02  6.14000E+02
#           6.20000E+02  6.26000E+02  6.32000E+02  6.38000E+02  6.44000E+02
#           6.50000E+02  6.56000E+02  6.62000E+02  6.68000E+02  6.74000E+02
#           6.80000E+02  6.86000E+02  6.92000E+02  6.98000E+02  7.04000E+02
#           7.10000E+02  7.16000E+02  7.22000E+02  7.28000E+02  7.34000E+02
#           7.40000E+02  7.46000E+02  7.52000E+02  7.58000E+02  7.64000E+02
#           7.70000E+02  7.76000E+02  7.82000E+02  7.88000E+02  7.94000E+02
#           8.00000E+02
   y-type =    2            # y-mesh is linear given by ymin, ymax and ny
     ymin =  -200.0000      # minimum value of y-mesh points
     ymax =   200.0000      # maximum value of y-mesh points
#    ydel =   400.0000      # mesh width of y-mesh points
       ny =    1            # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
#          -2.00000E+02  2.00000E+02
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =  -1000.000      # minimum value of z-mesh points
     zmax =   1100.000      # maximum value of z-mesh points
#    zdel =   10.50000      # mesh width of z-mesh points
       nz =  200            # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -1.00000E+03 -9.89500E+02 -9.79000E+02 -9.68500E+02 -9.58000E+02
#          -9.47500E+02 -9.37000E+02 -9.26500E+02 -9.16000E+02 -9.05500E+02
#          -8.95000E+02 -8.84500E+02 -8.74000E+02 -8.63500E+02 -8.53000E+02
#          -8.42500E+02 -8.32000E+02 -8.21500E+02 -8.11000E+02 -8.00500E+02
#          -7.90000E+02 -7.79500E+02 -7.69000E+02 -7.58500E+02 -7.48000E+02
#          -7.37500E+02 -7.27000E+02 -7.16500E+02 -7.06000E+02 -6.95500E+02
#          -6.85000E+02 -6.74500E+02 -6.64000E+02 -6.53500E+02 -6.43000E+02
#          -6.32500E+02 -6.22000E+02 -6.11500E+02 -6.01000E+02 -5.90500E+02
#          -5.80000E+02 -5.69500E+02 -5.59000E+02 -5.48500E+02 -5.38000E+02
#          -5.27500E+02 -5.17000E+02 -5.06500E+02 -4.96000E+02 -4.85500E+02
#          -4.75000E+02 -4.64500E+02 -4.54000E+02 -4.43500E+02 -4.33000E+02
#          -4.22500E+02 -4.12000E+02 -4.01500E+02 -3.91000E+02 -3.80500E+02
#          -3.70000E+02 -3.59500E+02 -3.49000E+02 -3.38500E+02 -3.28000E+02
#          -3.17500E+02 -3.07000E+02 -2.96500E+02 -2.86000E+02 -2.75500E+02
#          -2.65000E+02 -2.54500E+02 -2.44000E+02 -2.33500E+02 -2.23000E+02
#          -2.12500E+02 -2.02000E+02 -1.91500E+02 -1.81000E+02 -1.70500E+02
#          -1.60000E+02 -1.49500E+02 -1.39000E+02 -1.28500E+02 -1.18000E+02
#          -1.07500E+02 -9.70000E+01 -8.65000E+01 -7.60000E+01 -6.55000E+01
#          -5.50000E+01 -4.45000E+01 -3.40000E+01 -2.35000E+01 -1.30000E+01
#          -2.50000E+00  8.00000E+00  1.85000E+01  2.90000E+01  3.95000E+01
#           5.00000E+01  6.05000E+01  7.10000E+01  8.15000E+01  9.20000E+01
#           1.02500E+02  1.13000E+02  1.23500E+02  1.34000E+02  1.44500E+02
#           1.55000E+02  1.65500E+02  1.76000E+02  1.86500E+02  1.97000E+02
#           2.07500E+02  2.18000E+02  2.28500E+02  2.39000E+02  2.49500E+02
#           2.60000E+02  2.70500E+02  2.81000E+02  2.91500E+02  3.02000E+02
#           3.12500E+02  3.23000E+02  3.33500E+02  3.44000E+02  3.54500E+02
#           3.65000E+02  3.75500E+02  3.86000E+02  3.96500E+02  4.07000E+02
#           4.17500E+02  4.28000E+02  4.38500E+02  4.49000E+02  4.59500E+02
#           4.70000E+02  4.80500E+02  4.91000E+02  5.01500E+02  5.12000E+02
#           5.22500E+02  5.33000E+02  5.43500E+02  5.54000E+02  5.64500E+02
#           5.75000E+02  5.85500E+02  5.96000E+02  6.06500E+02  6.17000E+02
#           6.27500E+02  6.38000E+02  6.48500E+02  6.59000E+02  6.69500E+02
#           6.80000E+02  6.90500E+02  7.01000E+02  7.11500E+02  7.22000E+02
#           7.32500E+02  7.43000E+02  7.53500E+02  7.64000E+02  7.74500E+02
#           7.85000E+02  7.95500E+02  8.06000E+02  8.16500E+02  8.27000E+02
#           8.37500E+02  8.48000E+02  8.58500E+02  8.69000E+02  8.79500E+02
#           8.90000E+02  9.00500E+02  9.11000E+02  9.21500E+02  9.32000E+02
#           9.42500E+02  9.53000E+02  9.63500E+02  9.74000E+02  9.84500E+02
#           9.95000E+02  1.00550E+03  1.01600E+03  1.02650E+03  1.03700E+03
#           1.04750E+03  1.05800E+03  1.06850E+03  1.07900E+03  1.08950E+03
#           1.10000E+03
     trcl =    1            # transform ID
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =   0.000000      # minimum value of e-mesh points
     emax =   100000.0      # maximum value of e-mesh points
#    edel =   100000.0      # mesh width of e-mesh points
       ne =    1            # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           0.00000E+00  1.00000E+05
     unit =    1            # unit is [1/cm^2/source]
 material =  all            # (D=all) number of specific material
  2D-type =    3            # 1:Cont, 2:Clust, 3:Color, 4:xyz, 5:mat, 6:Clust+Cont, 7:Col+Cont
     axis =   xz            # axis of output
     file = t-xz02.dat      # file name of output for the above axis
     part =  all      
# kf/name :  0        
    gshow =    1            # 0: no 1:bnd, 2:bnd+mat, 3:bnd+reg 4:bnd+lat
    resol =    1            # (D=1) resolution of gshow or rshow
    width = 0.5000000       # (D=0.5) width of lines for gshow or rshow
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :       80408 (  0)      120403 (  1)      200811 (  1)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ie  =  1   iy  =  1   part. = all     
#   e = (   0.0000E+00  -   1.0000E+05  )
#   y = (  -2.0000E+02  -   2.0000E+02  )

'no. =  1,  ie =  1,  iy =  1'
msuc: {\huge [t-track] in xyz mesh}
msdl: {\it plotted by \ANGEL \version}
msdr: {\it calculated by \PHITS  2.30}

x: z [cm]
y: x [cm]
set: c1[ 0.571] c2[ 1.191] c5[ 0.800] c6[ 0.822] c7[ 0.000] c8[ 0.300]
p: form[c1] xfac[c2] afac[c5] scal[c6] xorg[c7] yorg[c8] nosp
set: c3[   1.148617E-08] c4[   4.519739E-04]
p: cmin[c3] cmax[c4]
p: dmin(1e-31)
p: zlog
p: xmin( -1000.000    ) xmax(  1100.000    )
p: ymin( -400.0000    ) ymax(  800.0000    )
#  nx = 200   nz = 200
# ( ( data(z,x), z = 1, nz ), x = nx, 1, -1 )

hc:  y =   797.0000     to  -397.0000     by   6.000000     ; x =  -994.7500     to   1094.750     by   10.50000     ;
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
