[ T - L E T ]
    title = [t-let] in r-z mesh
     mesh =  r-z            # mesh type is r-z scoring mesh
       x0 =   0.000000      # center x-position of r-z mesh
       y0 =   0.000000      # center y-position of r-z mesh
   r-type =    2            # r-mesh is linear given by rmin, rmax and nr
     rmin =   0.000000      # minimum value of r-mesh points
     rmax =   5.000000      # maximum value of r-mesh points
#    rdel =   5.000000      # mesh width of r-mesh points
       nr =    1            # number of r-mesh points
#    data = ( r(i), i = 1, nr + 1 )
#           0.00000E+00  5.00000E+00
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =   5.000000      # minimum value of z-mesh points
     zmax =   55.00000      # maximum value of z-mesh points
#    zdel =   50.00000      # mesh width of z-mesh points
       nz =    1            # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#           5.00000E+00  5.50000E+01
   l-type =    3            # l-mesh is log given by lmin, lmax and nl
     lmin =  0.1000000      # minimum value of l-mesh points
     lmax =   100000.0      # maximum value of l-mesh points
#    ldel =  0.2763102      # mesh width of l-mesh points
       nl =   50            # number of l-mesh points
#    data = ( l(i), i = 1, nl + 1 )
#           1.00000E-01  1.31826E-01  1.73780E-01  2.29087E-01  3.01995E-01
#           3.98107E-01  5.24807E-01  6.91831E-01  9.12011E-01  1.20226E+00
#           1.58489E+00  2.08930E+00  2.75423E+00  3.63078E+00  4.78630E+00
#           6.30957E+00  8.31764E+00  1.09648E+01  1.44544E+01  1.90546E+01
#           2.51189E+01  3.31131E+01  4.36516E+01  5.75440E+01  7.58578E+01
#           1.00000E+02  1.31826E+02  1.73780E+02  2.29087E+02  3.01995E+02
#           3.98107E+02  5.24807E+02  6.91831E+02  9.12011E+02  1.20226E+03
#           1.58489E+03  2.08930E+03  2.75423E+03  3.63078E+03  4.78630E+03
#           6.30957E+03  8.31764E+03  1.09648E+04  1.44544E+04  1.90546E+04
#           2.51189E+04  3.31131E+04  4.36516E+04  5.75440E+04  7.58578E+04
#           1.00000E+05
     unit =    2            # unit is [MeV/(keV/um)/source]
   letmat =    5            # (D=0) material id for LET, 0: real material
 material =  all            # (D=all) number of specific material
     axis =  let            # axis of output
     file = let-arzp.dat    # file name of output for the above axis
     part =  proton     nucleus    electron   alpha      pion+      muon+    
# kf/name :  2212       0          11         2000004    211        -13      
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         655 (  0)         650 (  0)        1305 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ir  =  1   iz  =  1
#   r = (   0.0000E+00  -   5.0000E+00  )
#   z = (   5.0000E+00  -   5.5000E+01  )

x: LET [keV/um]
y: Dose [MeV/(keV/um)/source]       
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(proton  ),hh0l  n  y(nucleus ),hh0dr n  y(electron),hh0mb n  y(alpha   ),hh0ug n  y(pion+   ),hh0pc n  y(muon+   ),hh0q  n  
#  let-lwr      let-upr         LET      r.err       LET      r.err       LET      r.err       LET      r.err       LET      r.err       LET      r.err 
   1.0000E-01   1.3183E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   3.1188E-02  0.1574   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.3183E-01   1.7378E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.2208E-01  0.0555   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.7378E-01   2.2909E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   4.1563E-02  0.0824   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.2909E-01   3.0200E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.9875E-02  0.0513   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.0200E-01   3.9811E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0766E-02  0.0740   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.9811E-01   5.2481E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   7.5032E-03  0.0640   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.2481E-01   6.9183E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   4.8127E-03  0.0553   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.9183E-01   9.1201E-01   1.0964E+02  0.0000   0.0000E+00  0.0000   1.7247E-03  0.0233   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.1201E-01   1.2023E+00   7.3529E+01  0.0000   0.0000E+00  0.0000   1.4433E-03  0.0244   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2023E+00   1.5849E+00   3.9204E+01  0.0000   0.0000E+00  0.0000   8.3610E-04  0.0194   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5849E+00   2.0893E+00   2.1043E+01  0.0000   0.0000E+00  0.0000   5.8397E-04  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.0893E+00   2.7542E+00   1.1026E+01  0.0000   0.0000E+00  0.0000   4.1672E-04  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.7542E+00   3.6308E+00   6.2315E+00  0.0000   0.0000E+00  0.0000   3.2092E-04  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.6308E+00   4.7863E+00   3.3815E+00  0.0000   0.0000E+00  0.0000   2.3743E-04  0.0000   1.4547E-08  0.0081   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.7863E+00   6.3096E+00   1.8339E+00  0.0000   0.0000E+00  0.0000   1.8616E-04  0.0000   3.1425E-08  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.3096E+00   8.3176E+00   9.9645E-01  0.0000   2.0709E-10  0.1985   1.1427E-04  0.0000   5.0503E-08  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.3176E+00   1.0965E+01   5.4005E-01  0.0000   3.8034E-09  0.0280   7.4222E-05  0.0000   8.3453E-08  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0965E+01   1.4454E+01   2.9350E-01  0.0000   4.2698E-08  0.0000   4.1618E-05  0.0000   1.4778E-07  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4454E+01   1.9055E+01   1.5929E-01  0.0000   7.8317E-08  0.0000   2.2929E-05  0.0000   2.9252E-07  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.9055E+01   2.5119E+01   8.8680E-02  0.0000   1.1630E-07  0.0000   1.1099E-05  0.0000   6.5553E-07  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.5119E+01   3.3113E+01   4.7096E-02  0.0000   1.7983E-07  0.0000   5.3911E-06  0.0000   1.6476E-06  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.3113E+01   4.3652E+01   2.6698E-02  0.0000   2.8949E-07  0.0000   2.3708E-06  0.0000   3.4514E-06  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.3652E+01   5.7544E+01   1.5783E-02  0.0000   4.9043E-07  0.0000   1.2032E-06  0.0000   5.5140E-06  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.7544E+01   7.5858E+01   9.6941E-03  0.0000   9.4984E-07  0.0000   9.5754E-08  0.0813   6.6754E-04  0.0849   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.5858E+01   1.0000E+02   7.9062E-03  0.0000   2.2604E-06  0.0000   0.0000E+00  0.0000   1.0420E-03  0.0439   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0000E+02   1.3183E+02   0.0000E+00  0.0000   1.2153E-05  0.0000   0.0000E+00  0.0000   9.0362E-04  0.0266   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.3183E+02   1.7378E+02   0.0000E+00  0.0000   4.2186E-05  0.0000   0.0000E+00  0.0000   8.6219E-04  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.7378E+02   2.2909E+02   0.0000E+00  0.0000   1.1128E-04  0.0000   0.0000E+00  0.0000   6.6980E-04  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.2909E+02   3.0200E+02   0.0000E+00  0.0000   1.6864E-04  0.0000   0.0000E+00  0.0000   2.1184E-04  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.0200E+02   3.9811E+02   0.0000E+00  0.0000   2.0626E-04  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.9811E+02   5.2481E+02   0.0000E+00  0.0000   1.7703E-04  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.2481E+02   6.9183E+02   0.0000E+00  0.0000   2.0664E-04  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.9183E+02   9.1201E+02   0.0000E+00  0.0000   2.3394E-04  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.1201E+02   1.2023E+03   0.0000E+00  0.0000   1.1646E-04  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2023E+03   1.5849E+03   0.0000E+00  0.0000   3.3939E-07  0.4976   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
