[ T - Deposit ]
    title = [t-deposit] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg = { 1 - 4 }
     unit =    3            # unit is [1/source] : only for output=deposit
   letmat =    5            # (D=0) material id for LET, 0: real material
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output = deposit         # deposit enerygy distribution
   e-type =    3            # e-mesh is log given by emin, emax and ne
     emin =  1.0000000E-03  # minimum value of e-mesh points
     emax =   1000.000      # maximum value of e-mesh points
#    edel =  0.2763102      # mesh width of e-mesh points
       ne =   50            # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-03  1.31826E-03  1.73780E-03  2.29087E-03  3.01995E-03
#           3.98107E-03  5.24807E-03  6.91831E-03  9.12011E-03  1.20226E-02
#           1.58489E-02  2.08930E-02  2.75423E-02  3.63078E-02  4.78630E-02
#           6.30957E-02  8.31764E-02  1.09648E-01  1.44544E-01  1.90546E-01
#           2.51189E-01  3.31131E-01  4.36516E-01  5.75440E-01  7.58578E-01
#           1.00000E+00  1.31826E+00  1.73780E+00  2.29087E+00  3.01995E+00
#           3.98107E+00  5.24807E+00  6.91831E+00  9.12011E+00  1.20226E+01
#           1.58489E+01  2.08930E+01  2.75423E+01  3.63078E+01  4.78630E+01
#           6.30957E+01  8.31764E+01  1.09648E+02  1.44544E+02  1.90546E+02
#           2.51189E+02  3.31131E+02  4.36516E+02  5.75440E+02  7.58578E+02
#           1.00000E+03
     axis =   eng           # axis of output
     file = d-reg-eng.dat   # file name of output for the above axis
     part =  all        proton     nucleus    electron   alpha      pion+    
# kf/name :  0          2212       0          11         2000004    211      
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :        2505 (  0)        2459 (  0)        4964 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    1

x: Deposit Energy [MeV]
y: Number [1/source]     
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(all     ),hh0l  n  y(proton  ),hh0dr n  y(nucleus ),hh0mb n  y(electron),hh0ug n  y(alpha   ),hh0pc n  y(pion+   ),hh0q  n  
#  e-lower      e-upper     deposit      r.err   deposit      r.err   deposit      r.err   deposit      r.err   deposit      r.err   deposit      r.err 
   1.0000E-03   1.3183E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.3183E-03   1.7378E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.7378E-03   2.2909E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.2909E-03   3.0200E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   2.0000E-03  0.7064   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.0200E-03   3.9811E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   2.0000E-03  0.7064   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.9811E-03   5.2481E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.2481E-03   6.9183E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   2.0000E-03  0.7064   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.9183E-03   9.1201E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0000E-03  0.9995   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.1201E-03   1.2023E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   2.0000E-03  0.7064   2.0000E-03  0.7064   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2023E-02   1.5849E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   3.0000E-03  0.5765   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
