[ T - P r o d u c t ]
    title = [t-product] in r-z mesh
     mesh =  r-z            # mesh type is r-z scoring mesh
       x0 =   0.000000      # center x-position of r-z mesh
       y0 =   0.000000      # center y-position of r-z mesh
   r-type =    2            # r-mesh is linear given by rmin, rmax and nr
     rmin =   0.000000      # minimum value of r-mesh points
     rmax =   500.0000      # maximum value of r-mesh points
#    rdel =   500.0000      # mesh width of r-mesh points
       nr =    1            # number of r-mesh points
#    data = ( r(i), i = 1, nr + 1 )
#           0.00000E+00  5.00000E+02
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =   0.000000      # minimum value of z-mesh points
     zmax =   50.00000      # maximum value of z-mesh points
#    zdel =   50.00000      # mesh width of z-mesh points
       nz =    1            # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#           0.00000E+00  5.00000E+01
   e-type =    3            # e-mesh is log given by emin, emax and ne
     emin =  1.0000000E-06  # minimum value of e-mesh points
     emax =   1000.000      # maximum value of e-mesh points
#    edel =  0.1036163      # mesh width of e-mesh points
       ne =  200            # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-06  1.10917E-06  1.23027E-06  1.36458E-06  1.51356E-06
#           1.67880E-06  1.86209E-06  2.06538E-06  2.29087E-06  2.54097E-06
#           2.81838E-06  3.12608E-06  3.46737E-06  3.84592E-06  4.26580E-06
#           4.73151E-06  5.24807E-06  5.82103E-06  6.45654E-06  7.16143E-06
#           7.94328E-06  8.81049E-06  9.77237E-06  1.08393E-05  1.20226E-05
#           1.33352E-05  1.47911E-05  1.64059E-05  1.81970E-05  2.01837E-05
#           2.23872E-05  2.48313E-05  2.75423E-05  3.05492E-05  3.38844E-05
#           3.75837E-05  4.16869E-05  4.62381E-05  5.12861E-05  5.68853E-05
#           6.30957E-05  6.99842E-05  7.76247E-05  8.60994E-05  9.54993E-05
#           1.05925E-04  1.17490E-04  1.30317E-04  1.44544E-04  1.60325E-04
#           1.77828E-04  1.97242E-04  2.18776E-04  2.42661E-04  2.69153E-04
#           2.98538E-04  3.31131E-04  3.67282E-04  4.07380E-04  4.51856E-04
#           5.01187E-04  5.55904E-04  6.16595E-04  6.83912E-04  7.58578E-04
#           8.41395E-04  9.33254E-04  1.03514E-03  1.14815E-03  1.27350E-03
#           1.41254E-03  1.56675E-03  1.73780E-03  1.92752E-03  2.13796E-03
#           2.37137E-03  2.63027E-03  2.91743E-03  3.23594E-03  3.58922E-03
#           3.98107E-03  4.41570E-03  4.89779E-03  5.43250E-03  6.02560E-03
#           6.68344E-03  7.41310E-03  8.22243E-03  9.12011E-03  1.01158E-02
#           1.12202E-02  1.24451E-02  1.38038E-02  1.53109E-02  1.69824E-02
#           1.88365E-02  2.08930E-02  2.31739E-02  2.57040E-02  2.85102E-02
#           3.16228E-02  3.50752E-02  3.89045E-02  4.31519E-02  4.78630E-02
#           5.30884E-02  5.88844E-02  6.53131E-02  7.24436E-02  8.03526E-02
#           8.91251E-02  9.88553E-02  1.09648E-01  1.21619E-01  1.34896E-01
#           1.49624E-01  1.65959E-01  1.84077E-01  2.04174E-01  2.26464E-01
#           2.51189E-01  2.78612E-01  3.09030E-01  3.42768E-01  3.80189E-01
#           4.21697E-01  4.67735E-01  5.18800E-01  5.75440E-01  6.38263E-01
#           7.07946E-01  7.85236E-01  8.70964E-01  9.66051E-01  1.07152E+00
#           1.18850E+00  1.31826E+00  1.46218E+00  1.62181E+00  1.79887E+00
#           1.99526E+00  2.21309E+00  2.45471E+00  2.72270E+00  3.01995E+00
#           3.34965E+00  3.71535E+00  4.12098E+00  4.57088E+00  5.06991E+00
#           5.62341E+00  6.23735E+00  6.91831E+00  7.67361E+00  8.51138E+00
#           9.44061E+00  1.04713E+01  1.16145E+01  1.28825E+01  1.42889E+01
#           1.58489E+01  1.75792E+01  1.94984E+01  2.16272E+01  2.39883E+01
#           2.66073E+01  2.95121E+01  3.27341E+01  3.63078E+01  4.02717E+01
#           4.46684E+01  4.95450E+01  5.49541E+01  6.09537E+01  6.76083E+01
#           7.49894E+01  8.31764E+01  9.22571E+01  1.02329E+02  1.13501E+02
#           1.25893E+02  1.39637E+02  1.54882E+02  1.71791E+02  1.90546E+02
#           2.11349E+02  2.34423E+02  2.60016E+02  2.88403E+02  3.19890E+02
#           3.54813E+02  3.93550E+02  4.36516E+02  4.84172E+02  5.37032E+02
#           5.95662E+02  6.60693E+02  7.32825E+02  8.12831E+02  9.01571E+02
#           1.00000E+03
 material =  all            # (D=all) number of specific material
   mother =  all            # (D=all) number of specific mother
     unit =    1            # unit is [1/source]
     axis =  eng            # axis of output
     file = source1.dat     # file name of output for the above axis
   output = source          # (D=nuclear) source distribution
     part =  proton     photon     neutron  
# kf/name :  2212       22         2112     
    angel = ymin(1.e-6)
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :        1409 (  0)         202 (  0)        1611 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ir  =  1   iz  =  1
#   r = (   0.0000E+00  -   5.0000E+02  )
#   z = (   0.0000E+00  -   5.0000E+01  )

x: Energy [MeV]
y: Number [1/source]                      
p: xlog ylog afac(0.8) form(0.9)
p: ymin(1.e-6)
h: n            x            y(proton  ),hh0l  n  y(photon  ),hh0dr n  y(neutron ),hh0mb n  
#  e-lower      e-upper        number    r.err      number    r.err      number    r.err 
   1.0000E-06   1.1092E-06   3.1577E-04  0.0277   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.1092E-06   1.2303E-06   3.8450E-04  0.0271   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2303E-06   1.3646E-06   4.1787E-04  0.0281   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.3646E-06   1.5136E-06   5.4123E-04  0.0267   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5136E-06   1.6788E-06   5.7473E-04  0.0280   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.6788E-06   1.8621E-06   6.6778E-04  0.0281   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.8621E-06   2.0654E-06   7.8455E-04  0.0279   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.0654E-06   2.2909E-06   9.2293E-04  0.0278   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.2909E-06   2.5410E-06   1.1356E-03  0.0270   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.5410E-06   2.8184E-06   1.2344E-03  0.0280   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.8184E-06   3.1261E-06   1.4489E-03  0.0279   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.1261E-06   3.4674E-06   1.8289E-03  0.0267   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.4674E-06   3.8459E-06   1.9886E-03  0.0277   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.8459E-06   4.2658E-06   2.2884E-03  0.0279   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.2658E-06   4.7315E-06   2.6244E-03  0.0281   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.7315E-06   5.2481E-06   3.3139E-03  0.0269   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.2481E-06   5.8210E-06   3.6521E-03  0.0277   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.8210E-06   6.4565E-06   4.1914E-03  0.0278   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.4565E-06   7.1614E-06   4.9014E-03  0.0277   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.1614E-06   7.9433E-06   5.5592E-03  0.0280   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.9433E-06   8.8105E-06   6.4000E-03  0.0281   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.8105E-06   9.7724E-06   7.0718E-03  0.0288   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.7724E-06   1.0839E-05   8.9166E-03  0.0275   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0839E-05   1.2023E-05   1.0792E-02  0.0269   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2023E-05   1.3335E-05   1.1773E-02  0.0277   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.3335E-05   1.4791E-05   1.3578E-02  0.0277   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4791E-05   1.6406E-05   1.5676E-02  0.0276   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.6406E-05   1.8197E-05   1.7366E-02  0.0281   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.8197E-05   2.0184E-05   2.1260E-02  0.0272   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.0184E-05   2.2387E-05   2.3533E-02  0.0276   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.2387E-05   2.4831E-05   2.4357E-02  0.0291   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.4831E-05   2.7542E-05   3.0055E-02  0.0279   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.7542E-05   3.0549E-05   3.3672E-02  0.0281   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.0549E-05   3.3884E-05   3.7522E-02  0.0283   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.3884E-05   3.7584E-05   4.2224E-02  0.0283   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.7584E-05   4.1687E-05   4.6735E-02  0.0285   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.1687E-05   4.6238E-05   5.5025E-02  0.0278   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.6238E-05   5.1286E-05   6.1814E-02  0.0277   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.1286E-05   5.6885E-05   6.9138E-02  0.0275   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.6885E-05   6.3096E-05   7.4240E-02  0.0279   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.3096E-05   6.9984E-05   8.0367E-02  0.0280   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.9984E-05   7.7625E-05   8.9756E-02  0.0276   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.7625E-05   8.6099E-05   9.2397E-02  0.0283   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.6099E-05   9.5499E-05   9.9926E-02  0.0281   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.5499E-05   1.0593E-04   1.0898E-01  0.0277   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0593E-04   1.1749E-04   1.1283E-01  0.0278   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.1749E-04   1.3032E-04   1.1627E-01  0.0279   0.0000E+00  0.0000   0.0000E+00  0.0000
