[ T - P r o d u c t ]
    title = [t-product] in r-z mesh
     mesh =  r-z            # mesh type is r-z scoring mesh
       x0 =   0.000000      # center x-position of r-z mesh
       y0 =   0.000000      # center y-position of r-z mesh
   r-type =    2            # r-mesh is linear given by rmin, rmax and nr
     rmin =   0.000000      # minimum value of r-mesh points
     rmax =   500.0000      # maximum value of r-mesh points
#    rdel =   500.0000      # mesh width of r-mesh points
       nr =    1            # number of r-mesh points
#    data = ( r(i), i = 1, nr + 1 )
#           0.00000E+00  5.00000E+02
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =   0.000000      # minimum value of z-mesh points
     zmax =   50.00000      # maximum value of z-mesh points
#    zdel =   50.00000      # mesh width of z-mesh points
       nz =    1            # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#           0.00000E+00  5.00000E+01
   e-type =    3            # e-mesh is log given by emin, emax and ne
     emin =  1.0000000E-06  # minimum value of e-mesh points
     emax =   1000.000      # maximum value of e-mesh points
#    edel =   20.72327      # mesh width of e-mesh points
       ne =    1            # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-06  1.00000E+03
   a-type =    2            # a-mesh is linear given by amin, amax and na
     amin =   0.000000      # minimum value of a-mesh points
     amax =   1.000000      # maximum value of a-mesh points
#    adel =  1.0000000E-02  # mesh width of a-mesh points
       na =  100            # number of a-mesh points
#    data = ( a(i), i = 1, na + 1 )
#           0.00000E+00  1.00000E-02  2.00000E-02  3.00000E-02  4.00000E-02
#           5.00000E-02  6.00000E-02  7.00000E-02  8.00000E-02  9.00000E-02
#           1.00000E-01  1.10000E-01  1.20000E-01  1.30000E-01  1.40000E-01
#           1.50000E-01  1.60000E-01  1.70000E-01  1.80000E-01  1.90000E-01
#           2.00000E-01  2.10000E-01  2.20000E-01  2.30000E-01  2.40000E-01
#           2.50000E-01  2.60000E-01  2.70000E-01  2.80000E-01  2.90000E-01
#           3.00000E-01  3.10000E-01  3.20000E-01  3.30000E-01  3.40000E-01
#           3.50000E-01  3.60000E-01  3.70000E-01  3.80000E-01  3.90000E-01
#           4.00000E-01  4.10000E-01  4.20000E-01  4.30000E-01  4.40000E-01
#           4.50000E-01  4.60000E-01  4.70000E-01  4.80000E-01  4.90000E-01
#           5.00000E-01  5.10000E-01  5.20000E-01  5.30000E-01  5.40000E-01
#           5.50000E-01  5.60000E-01  5.70000E-01  5.80000E-01  5.90000E-01
#           6.00000E-01  6.10000E-01  6.20000E-01  6.30000E-01  6.40000E-01
#           6.50000E-01  6.60000E-01  6.70000E-01  6.80000E-01  6.90000E-01
#           7.00000E-01  7.10000E-01  7.20000E-01  7.30000E-01  7.40000E-01
#           7.50000E-01  7.60000E-01  7.70000E-01  7.80000E-01  7.90000E-01
#           8.00000E-01  8.10000E-01  8.20000E-01  8.30000E-01  8.40000E-01
#           8.50000E-01  8.60000E-01  8.70000E-01  8.80000E-01  8.90000E-01
#           9.00000E-01  9.10000E-01  9.20000E-01  9.30000E-01  9.40000E-01
#           9.50000E-01  9.60000E-01  9.70000E-01  9.80000E-01  9.90000E-01
#           1.00000E+00
 material =  all            # (D=all) number of specific material
   mother =  all            # (D=all) number of specific mother
     unit =   21            # unit is [1/SR/source]
  2D-type =    3            # 1:Cont, 2:Clust, 3:Color, 4:xyz, 5:mat, 6:Clust+Cont, 7:Col+Cont
     axis =  cos            # axis of output
     file = source5.dat     # file name of output for the above axis
   output = source          # (D=nuclear) source distribution
     part =  proton     photon     neutron  
# kf/name :  2212       22         2112     
    angel = ylin
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         709 (  0)         102 (  0)         811 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ir  =  1   iz  =  1   ie  =  1
#   r = (   0.0000E+00  -   5.0000E+02  )
#   z = (   0.0000E+00  -   5.0000E+01  )
#   e = (   1.0000E-06  -   1.0000E+03  )

x: cos(\theta)
y: Number [1/SR/source]                   
p: xlin ylog afac(0.8) form(0.9)
p: ylin
h: n            x            y(proton  ),hh0l  n  y(photon  ),hh0dr n  y(neutron ),hh0mb n  
#  a-lower      a-upper        number    r.err      number    r.err      number    r.err 
   0.0000E+00   1.0000E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0000E-02   2.0000E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.0000E-02   3.0000E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.0000E-02   4.0000E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.0000E-02   5.0000E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.0000E-02   6.0000E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.0000E-02   7.0000E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.0000E-02   8.0000E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.0000E-02   9.0000E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.0000E-02   1.0000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0000E-01   1.1000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.1000E-01   1.2000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   2.8882E-08  1.0000
   1.2000E-01   1.3000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.3000E-01   1.4000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4000E-01   1.5000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   3.6482E-08  1.0000
   1.5000E-01   1.6000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.6000E-01   1.7000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.7000E-01   1.8000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.8000E-01   1.9000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.9000E-01   2.0000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.0000E-01   2.1000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.1000E-01   2.2000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   3.8278E-04  1.0000
   2.2000E-01   2.3000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.5819E-03  1.0000
   2.3000E-01   2.4000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   2.8873E-06  1.0000
   2.4000E-01   2.5000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.5000E-01   2.6000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   7.5028E-04  1.0000
   2.6000E-01   2.7000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.7000E-01   2.8000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0114E-03  1.0000
   2.8000E-01   2.9000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.9889E-05  1.0000
   2.9000E-01   3.0000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   6.0319E-06  1.0000
   3.0000E-01   3.1000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.1000E-01   3.2000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   3.4753E-03  0.8776
   3.2000E-01   3.3000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   6.3422E-05  1.0000
   3.3000E-01   3.4000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.3309E-03  0.9256
   3.4000E-01   3.5000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.4586E-04  0.9769
   3.5000E-01   3.6000E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   7.1080E-04  0.7711
