[ T-Track ]
    title = energy spectrum in lead plate
     mesh =  reg            # mesh type is region-wise
      reg = 400
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =  1.0000000E-03  # minimum value of e-mesh points
     emax =   200.0000      # maximum value of e-mesh points
#    edel =   1.999990      # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-03  2.00099E+00  4.00098E+00  6.00097E+00  8.00096E+00
#           1.00009E+01  1.20009E+01  1.40009E+01  1.60009E+01  1.80009E+01
#           2.00009E+01  2.20009E+01  2.40009E+01  2.60009E+01  2.80009E+01
#           3.00008E+01  3.20008E+01  3.40008E+01  3.60008E+01  3.80008E+01
#           4.00008E+01  4.20008E+01  4.40008E+01  4.60008E+01  4.80008E+01
#           5.00007E+01  5.20007E+01  5.40007E+01  5.60007E+01  5.80007E+01
#           6.00007E+01  6.20007E+01  6.40007E+01  6.60007E+01  6.80007E+01
#           7.00007E+01  7.20006E+01  7.40006E+01  7.60006E+01  7.80006E+01
#           8.00006E+01  8.20006E+01  8.40006E+01  8.60006E+01  8.80006E+01
#           9.00006E+01  9.20005E+01  9.40005E+01  9.60005E+01  9.80005E+01
#           1.00001E+02  1.02000E+02  1.04000E+02  1.06000E+02  1.08000E+02
#           1.10000E+02  1.12000E+02  1.14000E+02  1.16000E+02  1.18000E+02
#           1.20000E+02  1.22000E+02  1.24000E+02  1.26000E+02  1.28000E+02
#           1.30000E+02  1.32000E+02  1.34000E+02  1.36000E+02  1.38000E+02
#           1.40000E+02  1.42000E+02  1.44000E+02  1.46000E+02  1.48000E+02
#           1.50000E+02  1.52000E+02  1.54000E+02  1.56000E+02  1.58000E+02
#           1.60000E+02  1.62000E+02  1.64000E+02  1.66000E+02  1.68000E+02
#           1.70000E+02  1.72000E+02  1.74000E+02  1.76000E+02  1.78000E+02
#           1.80000E+02  1.82000E+02  1.84000E+02  1.86000E+02  1.88000E+02
#           1.90000E+02  1.92000E+02  1.94000E+02  1.96000E+02  1.98000E+02
#           2.00000E+02
     unit =    1            # unit is [1/cm^2/source]
 material =  all            # (D=all) number of specific material
     axis =     eng            # axis of output
     file = spectrum_lead.out  # file name of output for the above axis
     part =  proton     neutron  
# kf/name :  2212       2112     
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         107 (  0)           0 (  0)         107 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    400

x: Energy [MeV]
y: Flux [1/cm^2/source]              
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(proton  ),hh0l n  y(neutron ),hh0dr n  
#  e-lower      e-upper        proton    r.err      neutron   r.err 
   1.0000E-03   2.0010E+00   8.5894E-05  0.0632   1.9107E-01  0.0573
   2.0010E+00   4.0010E+00   1.5272E-04  0.0632   9.6107E-02  0.0685
   4.0010E+00   6.0010E+00   2.0482E-04  0.0632   3.6284E-02  0.0932
   6.0010E+00   8.0010E+00   2.4580E-04  0.0636   1.1575E-02  0.1342
   8.0010E+00   1.0001E+01   2.7166E-04  0.0650   8.3961E-03  0.1536
   1.0001E+01   1.2001E+01   2.9414E-04  0.0665   3.9123E-03  0.2223
   1.2001E+01   1.4001E+01   3.2314E-04  0.0672   2.2902E-03  0.2869
   1.4001E+01   1.6001E+01   3.4222E-04  0.0684   1.1429E-03  0.3275
   1.6001E+01   1.8001E+01   3.5944E-04  0.0694   1.5707E-03  0.3397
   1.8001E+01   2.0001E+01   3.7803E-04  0.0700   2.3286E-03  0.3358
   2.0001E+01   2.2001E+01   3.8775E-04  0.0710   1.5885E-03  0.3532
   2.2001E+01   2.4001E+01   3.9756E-04  0.0719   2.2447E-03  0.2655
   2.4001E+01   2.6001E+01   3.9324E-04  0.0746   1.1407E-03  0.3199
   2.6001E+01   2.8001E+01   3.8141E-04  0.0773   1.1434E-03  0.3498
   2.8001E+01   3.0001E+01   3.7719E-04  0.0793   1.1566E-03  0.4323
   3.0001E+01   3.2001E+01   3.9138E-04  0.0787   3.1972E-04  0.4686
   3.2001E+01   3.4001E+01   3.8729E-04  0.0808   2.0289E-03  0.2837
   3.4001E+01   3.6001E+01   3.8552E-04  0.0813   8.1843E-04  0.4841
   3.6001E+01   3.8001E+01   3.6611E-04  0.0839   1.3730E-03  0.3352
   3.8001E+01   4.0001E+01   3.6183E-04  0.0857   1.3923E-03  0.3508
   4.0001E+01   4.2001E+01   3.6287E-04  0.0870   1.5633E-03  0.4157
   4.2001E+01   4.4001E+01   3.5558E-04  0.0899   1.9384E-03  0.3035
   4.4001E+01   4.6001E+01   3.5650E-04  0.0905   1.4833E-03  0.3685
   4.6001E+01   4.8001E+01   3.4645E-04  0.0929   9.4789E-04  0.3749
   4.8001E+01   5.0001E+01   3.2887E-04  0.0976   2.8592E-04  0.6111
   5.0001E+01   5.2001E+01   3.2574E-04  0.0992   6.9655E-04  0.5382
   5.2001E+01   5.4001E+01   3.2603E-04  0.0994   1.0467E-03  0.4009
   5.4001E+01   5.6001E+01   3.1390E-04  0.1024   2.4113E-04  0.5853
   5.6001E+01   5.8001E+01   3.0566E-04  0.1046   7.0926E-05  0.7083
   5.8001E+01   6.0001E+01   2.9750E-04  0.1068   8.5516E-04  0.5689
   6.0001E+01   6.2001E+01   2.9336E-04  0.1087   6.3823E-04  0.6191
