[ T-Deposit ]
    title = Bragg peak in pouch
     mesh =  xyz            # mesh type is xyz scoring mesh
   x-type =    1            # x-mesh is given by the below data
       nx =      1          # number of x-mesh points
#    data = ( x(i), i = 1, nx + 1 )
           -1.00000E-01  1.00000E-01
   y-type =    1            # y-mesh is given by the below data
       ny =      1          # number of y-mesh points
#    data = ( y(i), i = 1, ny + 1 )
           -5.00000E-02  5.00000E-02
   z-type =    2            # z-mesh is linear given by zmin, zmax and nz
     zmin =  -1.000000      # minimum value of z-mesh points
     zmax =   2.000000      # maximum value of z-mesh points
#    zdel =  1.5000000E-02  # mesh width of z-mesh points
       nz =    200          # number of z-mesh points
#    data = ( z(i), i = 1, nz + 1 )
#          -1.00000E+00 -9.85000E-01 -9.70000E-01 -9.55000E-01 -9.40000E-01
#          -9.25000E-01 -9.10000E-01 -8.95000E-01 -8.80000E-01 -8.65000E-01
#          -8.50000E-01 -8.35000E-01 -8.20000E-01 -8.05000E-01 -7.90000E-01
#          -7.75000E-01 -7.60000E-01 -7.45000E-01 -7.30000E-01 -7.15000E-01
#          -7.00000E-01 -6.85000E-01 -6.70000E-01 -6.55000E-01 -6.40000E-01
#          -6.25000E-01 -6.10000E-01 -5.95000E-01 -5.80000E-01 -5.65000E-01
#          -5.50000E-01 -5.35000E-01 -5.20000E-01 -5.05000E-01 -4.90000E-01
#          -4.75000E-01 -4.60000E-01 -4.45000E-01 -4.30000E-01 -4.15000E-01
#          -4.00000E-01 -3.85000E-01 -3.70000E-01 -3.55000E-01 -3.40000E-01
#          -3.25000E-01 -3.10000E-01 -2.95000E-01 -2.80000E-01 -2.65000E-01
#          -2.50000E-01 -2.35000E-01 -2.20000E-01 -2.05000E-01 -1.90000E-01
#          -1.75000E-01 -1.60000E-01 -1.45000E-01 -1.30000E-01 -1.15000E-01
#          -1.00000E-01 -8.50000E-02 -7.00000E-02 -5.50000E-02 -4.00000E-02
#          -2.50000E-02 -1.00000E-02  5.00000E-03  2.00000E-02  3.50000E-02
#           5.00000E-02  6.50000E-02  8.00000E-02  9.50000E-02  1.10000E-01
#           1.25000E-01  1.40000E-01  1.55000E-01  1.70000E-01  1.85000E-01
#           2.00000E-01  2.15000E-01  2.30000E-01  2.45000E-01  2.60000E-01
#           2.75000E-01  2.90000E-01  3.05000E-01  3.20000E-01  3.35000E-01
#           3.50000E-01  3.65000E-01  3.80000E-01  3.95000E-01  4.10000E-01
#           4.25000E-01  4.40000E-01  4.55000E-01  4.70000E-01  4.85000E-01
#           5.00000E-01  5.15000E-01  5.30000E-01  5.45000E-01  5.60000E-01
#           5.75000E-01  5.90000E-01  6.05000E-01  6.20000E-01  6.35000E-01
#           6.50000E-01  6.65000E-01  6.80000E-01  6.95000E-01  7.10000E-01
#           7.25000E-01  7.40000E-01  7.55000E-01  7.70000E-01  7.85000E-01
#           8.00000E-01  8.15000E-01  8.30000E-01  8.45000E-01  8.60000E-01
#           8.75000E-01  8.90000E-01  9.05000E-01  9.20000E-01  9.35000E-01
#           9.50000E-01  9.65000E-01  9.80000E-01  9.95000E-01  1.01000E+00
#           1.02500E+00  1.04000E+00  1.05500E+00  1.07000E+00  1.08500E+00
#           1.10000E+00  1.11500E+00  1.13000E+00  1.14500E+00  1.16000E+00
#           1.17500E+00  1.19000E+00  1.20500E+00  1.22000E+00  1.23500E+00
#           1.25000E+00  1.26500E+00  1.28000E+00  1.29500E+00  1.31000E+00
#           1.32500E+00  1.34000E+00  1.35500E+00  1.37000E+00  1.38500E+00
#           1.40000E+00  1.41500E+00  1.43000E+00  1.44500E+00  1.46000E+00
#           1.47500E+00  1.49000E+00  1.50500E+00  1.52000E+00  1.53500E+00
#           1.55000E+00  1.56500E+00  1.58000E+00  1.59500E+00  1.61000E+00
#           1.62500E+00  1.64000E+00  1.65500E+00  1.67000E+00  1.68500E+00
#           1.70000E+00  1.71500E+00  1.73000E+00  1.74500E+00  1.76000E+00
#           1.77500E+00  1.79000E+00  1.80500E+00  1.82000E+00  1.83500E+00
#           1.85000E+00  1.86500E+00  1.88000E+00  1.89500E+00  1.91000E+00
#           1.92500E+00  1.94000E+00  1.95500E+00  1.97000E+00  1.98500E+00
#           2.00000E+00
     unit =    0            # unit is [Gy/source]
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output =  dose           # total deposit energy
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
     axis =     z           # axis of output
     file = bragg_pouch_z.out  # file name of output for the above axis
     part =  proton   
# kf/name :  2212     
   mother =  all            # (D=all) number of specific mother
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         208 (  0)           0 (  0)         208 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   ix  =  1   iy  =  1
#   x = (  -1.0000E-01  -   1.0000E-01  )
#   y = (  -5.0000E-02  -   5.0000E-02  )

x: z[cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(proton  ),hh0l n 
#  z-lower      z-upper        proton    r.err 
  -1.0000E+00  -9.8500E-01   1.0177E-08  0.0947
  -9.8500E-01  -9.7000E-01   1.0176E-08  0.0947
  -9.7000E-01  -9.5500E-01   1.0175E-08  0.0947
  -9.5500E-01  -9.4000E-01   1.0174E-08  0.0947
  -9.4000E-01  -9.2500E-01   1.0172E-08  0.0947
  -9.2500E-01  -9.1000E-01   1.0171E-08  0.0947
  -9.1000E-01  -8.9500E-01   1.0170E-08  0.0947
  -8.9500E-01  -8.8000E-01   1.0168E-08  0.0947
  -8.8000E-01  -8.6500E-01   1.0167E-08  0.0947
  -8.6500E-01  -8.5000E-01   1.0166E-08  0.0947
  -8.5000E-01  -8.3500E-01   1.0164E-08  0.0947
  -8.3500E-01  -8.2000E-01   1.0163E-08  0.0947
  -8.2000E-01  -8.0500E-01   1.0162E-08  0.0947
  -8.0500E-01  -7.9000E-01   1.0160E-08  0.0947
  -7.9000E-01  -7.7500E-01   1.0159E-08  0.0947
  -7.7500E-01  -7.6000E-01   1.0158E-08  0.0947
  -7.6000E-01  -7.4500E-01   1.0156E-08  0.0947
  -7.4500E-01  -7.3000E-01   1.0155E-08  0.0947
  -7.3000E-01  -7.1500E-01   1.0154E-08  0.0947
  -7.1500E-01  -7.0000E-01   1.0152E-08  0.0947
  -7.0000E-01  -6.8500E-01   1.0151E-08  0.0947
  -6.8500E-01  -6.7000E-01   1.0150E-08  0.0947
  -6.7000E-01  -6.5500E-01   1.0148E-08  0.0947
  -6.5500E-01  -6.4000E-01   1.0147E-08  0.0947
  -6.4000E-01  -6.2500E-01   1.0146E-08  0.0947
  -6.2500E-01  -6.1000E-01   1.0144E-08  0.0947
  -6.1000E-01  -5.9500E-01   1.0143E-08  0.0947
  -5.9500E-01  -5.8000E-01   1.0142E-08  0.0947
  -5.8000E-01  -5.6500E-01   1.0141E-08  0.0947
  -5.6500E-01  -5.5000E-01   1.0139E-08  0.0947
  -5.5000E-01  -5.3500E-01   1.0138E-08  0.0947
  -5.3500E-01  -5.2000E-01   1.0227E-08  0.0943
  -5.2000E-01  -5.0500E-01   1.0264E-08  0.0944
  -5.0500E-01  -4.9000E-01   1.0262E-08  0.0944
  -4.9000E-01  -4.7500E-01   1.0261E-08  0.0944
  -4.7500E-01  -4.6000E-01   1.0260E-08  0.0944
  -4.6000E-01  -4.4500E-01   1.0258E-08  0.0944
  -4.4500E-01  -4.3000E-01   1.0257E-08  0.0944
  -4.3000E-01  -4.1500E-01   1.0256E-08  0.0944
  -4.1500E-01  -4.0000E-01   1.0254E-08  0.0944
  -4.0000E-01  -3.8500E-01   1.0253E-08  0.0944
  -3.8500E-01  -3.7000E-01   1.0251E-08  0.0944
  -3.7000E-01  -3.5500E-01   1.0276E-08  0.0942
  -3.5500E-01  -3.4000E-01   1.0343E-08  0.0939
  -3.4000E-01  -3.2500E-01   1.0342E-08  0.0939
  -3.2500E-01  -3.1000E-01   1.0452E-08  0.0935
  -3.1000E-01  -2.9500E-01   1.0306E-08  0.0939
  -2.9500E-01  -2.8000E-01   1.0210E-08  0.0943
  -2.8000E-01  -2.6500E-01   1.0209E-08  0.0943
  -2.6500E-01  -2.5000E-01   1.0208E-08  0.0943
  -2.5000E-01  -2.3500E-01   1.0206E-08  0.0943
  -2.3500E-01  -2.2000E-01   1.0205E-08  0.0943
  -2.2000E-01  -2.0500E-01   1.0204E-08  0.0943
  -2.0500E-01  -1.9000E-01   1.0292E-08  0.0939
  -1.9000E-01  -1.7500E-01   1.0356E-08  0.0941
  -1.7500E-01  -1.6000E-01   1.0355E-08  0.0941
  -1.6000E-01  -1.4500E-01   1.0353E-08  0.0941
  -1.4500E-01  -1.3000E-01   1.0352E-08  0.0941
  -1.3000E-01  -1.1500E-01   1.0351E-08  0.0941
  -1.1500E-01  -1.0000E-01   1.1128E-08  0.0940
  -1.0000E-01  -8.5000E-02   9.8877E-09  0.0939
  -8.5000E-02  -7.0000E-02   9.0233E-09  0.0939
  -7.0000E-02  -5.5000E-02   8.3624E-09  0.0939
  -5.5000E-02  -4.0000E-02   7.8799E-09  0.0935
  -4.0000E-02  -2.5000E-02   7.4679E-09  0.0935
  -2.5000E-02  -1.0000E-02   7.0922E-09  0.0934
  -1.0000E-02   5.0000E-03   6.7705E-09  0.0934
   5.0000E-03   2.0000E-02   6.5399E-09  0.0930
   2.0000E-02   3.5000E-02   6.3077E-09  0.0930
   3.5000E-02   5.0000E-02   6.0865E-09  0.0930
   5.0000E-02   6.5000E-02   5.8884E-09  0.0930
   6.5000E-02   8.0000E-02   5.7095E-09  0.0930
   8.0000E-02   9.5000E-02   5.5469E-09  0.0930
   9.5000E-02   1.1000E-01   5.4033E-09  0.0927
   1.1000E-01   1.2500E-01   5.0294E-09  0.0982
   1.2500E-01   1.4000E-01   4.5873E-09  0.0930
   1.4000E-01   1.5500E-01   5.0707E-09  0.1382
   1.5500E-01   1.7000E-01   4.5432E-09  0.0939
   1.7000E-01   1.8500E-01   4.3624E-09  0.0930
   1.8500E-01   2.0000E-01   4.5513E-09  0.1042
